Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Cairo Santos,KC,@ CIN,L  21-36,7,7,0,0,21
Chandler Catanzaro,ARI,vs,L  22-24,5,5,1,1,16
Travis Coons,CLE,@,L  27-30,4,4,1,1,13
Graham Gano,CAR,@ TB,W  37-23,3,3,4,4,13
Josh Lambo,,vs CLE,W  30-27,3,3,3,3,12
Dustin Hopkins,WAS,vs PHI,W  23-20,3,3,2,2,11
Brandon McManus,DEN,vs MIN,W  23-20,3,3,2,2,11
Justin Tucker,BAL,@ PIT,W  23-20,3,3,2,2,11
Robbie Gould,CHI,vs OAK,W  22-20,3,3,1,2,10
Adam Vinatieri,IND,vs,W  16-13,3,3,1,1,10
Nick Folk,NYJ,@ MIA,W  27-14,2,3,3,3,9
Dan Bailey,DAL,@ NO,L  20-26,2,2,2,2,8
Zach Hocker,NO,vs DAL,W  26-20,2,3,2,2,8
Sebastian Janikowski,OAK,@ CHI,L  20-22,2,2,2,2,8
Josh Scobee,PIT,vs BAL,L  20-23,2,4,2,2,8
Blair Walsh,MIN,@ DEN,L  20-23,2,3,2,2,8
Stephen Hauschka,SEA,vs DET,W  13-10,2,2,1,1,7
Jason Myers,,@ IND,L  13-16,2,4,1,1,7
Matt Bryant,ATL,vs HOU,W  48-21,0,0,6,6,6
Greg Zuerlein,,@ ARI,W  24-22,1,1,3,3,6
Kyle Brindza,TB,vs CAR,L  23-37,1,3,2,3,5
Mason Crosby,GB,@ SF,W  17-3,1,2,2,2,5
Josh Brown,NYG,@ BUF,W  24-10,1,1,1,2,4
Dan Carpenter,BUF,vs NYG,L  10-24,1,2,1,1,4
Mike Nugent,CIN,vs KC,W  36-21,0,1,4,4,4
Matt Prater,DET,@ SEA,L  10-13,1,1,1,1,4
Phil Dawson,SF,vs GB,L  3-17,1,1,0,0,3
Nick Novak,HOU,@ ATL,L  21-48,0,1,3,3,3
Andrew Franks,MIA,vs NYJ,L  14-27,0,0,2,2,2
Caleb Sturgis,PHI,@ WAS,L  20-23,0,1,2,3,2
