Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Matthew Stafford,DET,@ GB,W  30-17,26,33,361,2,0,1,0,132.4
Matt Ryan,ATL,@ CAR,L  17-20,24,38,313,2,1,2,0,95.6
Jay Cutler,MIA,vs OAK,L  24-27,34,42,311,3,0,1,0,121.3
Jared Goff,LA,@ NYG,W  51-17,14,22,311,4,0,0,0,146.8
Jacoby Brissett,IND,@ HOU,W  20-14,20,30,308,2,0,3,1,122.6
Derek Carr,OAK,@ MIA,W  27-24,21,30,300,1,1,1,0,99.3
Russell Wilson,SEA,vs WAS,L  14-17,24,45,297,2,2,2,0,70.3
C.J. Beathard,SF,vs ARI,L  10-20,24,51,294,0,1,5,0,57.1
Tyrod Taylor,BUF,@ NYJ,L  21-34,29,40,285,2,0,7,1,108.9
Drew Brees,NO,vs TB,W  30-10,22,27,263,2,0,1,0,131.9
Alex Smith,KC,@ DAL,L  17-28,25,34,263,2,1,2,0,102.9
Joe Flacco,BAL,@ TEN,L  20-23,34,52,261,2,2,2,0,74.3
Blake Bortles,JAX,vs CIN,W  23-7,24,38,259,1,0,0,0,91.9
Dak Prescott,DAL,vs KC,W  28-17,21,33,249,2,0,1,0,106.8
Kirk Cousins,WAS,@ SEA,W  17-14,21,31,247,0,0,6,1,91.7
Brett Hundley,GB,vs DET,L  17-30,26,38,245,0,0,3,0,86.0
Eli Manning,NYG,vs LA,L  17-51,20,36,220,2,1,2,1,80.8
Tom Savage,HOU,vs IND,L  14-20,19,44,219,1,0,2,1,66.4
Marcus Mariota,TEN,vs BAL,W  23-20,19,28,218,2,1,3,0,100.0
Brock Osweiler,DEN,@ PHI,L  23-51,19,38,208,1,2,3,0,53.4
Drew Stanton,ARI,@ SF,W  20-10,15,30,201,2,1,0,0,80.0
Carson Wentz,PHI,vs DEN,W  51-23,15,27,199,4,0,1,0,118.7
Josh McCown,NYJ,vs BUF,W  34-21,14,20,140,1,0,1,0,106.2
Cam Newton,CAR,vs ATL,W  20-17,13,24,137,0,0,1,0,71.0
Andy Dalton,CIN,@ JAX,L  7-23,10,18,136,0,0,2,0,79.9
Ryan Fitzpatrick,TB,@ NO,L  10-30,8,15,68,1,0,2,0,87.6
Jameis Winston,TB,@ NO,L  10-30,7,13,67,0,0,2,0,68.4
Nick Foles,PHI,vs DEN,W  51-23,1,1,35,0,0,1,1,118.8
Sam Koch,BAL,@ TEN,L  20-23,1,1,16,0,0,0,0,118.8
Geno Smith,NYG,vs LA,L  17-51,0,2,0,0,0,0,0,39.6
