Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Matt Bryant,ATL,vs DAL,L  19-22,4,4,1,1,13
Wil Lutz,NO,vs PHI,W  48-7,2,2,6,6,12
Greg Zuerlein,LA,vs KC,W  54-51,2,2,6,7,12
Daniel Carlson,OAK,@ ARI,W  23-21,3,3,2,2,11
Ka'imi Fairbairn,HOU,@ WAS,W  23-21,3,5,2,2,11
Michael Badgley,LAC,vs DEN,L  22-23,3,3,1,2,10
Josh Lambo,JAX,vs PIT,L  16-20,3,3,1,1,10
Brett Maher,DAL,@ ATL,W  22-19,3,3,1,2,10
Justin Tucker,BAL,vs CIN,W  24-21,3,3,1,1,10
Harrison Butker,KC,@ LA,L  51-54,1,1,6,7,9
Sebastian Janikowski,SEA,vs GB,W  27-24,2,2,3,3,9
Cody Parkey,CHI,vs MIN,W  25-20,3,3,0,0,9
Matt Prater,DET,vs CAR,W  20-19,2,2,2,2,8
Aldrick Rosas,NYG,vs TB,W  38-35,1,1,5,5,8
Adam Vinatieri,IND,vs TEN,W  38-10,1,1,5,5,8
Dan Bailey,MIN,@ CHI,L  20-25,2,2,0,0,6
Mason Crosby,GB,@ SEA,L  24-27,1,2,3,3,6
Brandon McManus,DEN,@ LAC,W  23-22,1,1,2,2,5
Cairo Santos,TB,@ NYG,L  35-38,0,0,5,5,5
Ryan Succop,TEN,@ IND,L  10-38,1,1,1,1,4
Randy Bullock,CIN,@ BAL,L  21-24,0,1,3,3,3
Dustin Hopkins,WAS,vs HOU,L  21-23,0,1,3,3,3
Matthew McCrane,ARI,vs OAK,L  21-23,0,0,3,3,3
Chris Boswell,PIT,@ JAX,W  20-16,0,0,2,2,2
Jake Elliott,PHI,@ NO,L  7-48,0,0,1,1,1
Graham Gano,CAR,@ DET,L  19-20,0,1,1,2,1
