Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Matt Darr,MIA,vs IND,L  12-18,3,157,52.3,40.7,0,1,59,0
Shane Lechler,HOU,@ TEN,W  34-6,6,314,52.3,47.0,0,1,56,0
Pat McAfee,IND,@ MIA,W  18-12,5,255,51.0,44.0,1,1,63,0
Bryan Anger,JAX,@ NO,L  27-38,3,150,50.0,49.7,0,2,53,0
Marquette King,OAK,vs,W  23-20,8,400,50.0,49.8,0,6,65,0
Tress Way,WAS,@ PHI,W  38-24,7,347,49.6,47.1,1,1,57,0
Thomas Morstead,NO,vs JAX,W  38-27,2,99,49.5,37.5,1,0,52,0
Ryan Quigley,NYJ,vs NE,W  26-20,5,239,47.8,40.0,1,2,57,0
Colton Schmidt,BUF,vs DAL,W  16-6,3,143,47.7,37.0,0,1,49,0
Kevin Huber,CIN,@ DEN,L  17-20,5,237,47.4,35.4,2,1,56,0
Brett Kern,TEN,vs HOU,L  6-34,9,427,47.4,43.3,0,7,60,0
Ryan Allen,NE,@ NYJ,L  20-26,4,184,46.0,44.0,0,2,52,0
Tim Masthay,GB,@ ARI,L  8-38,6,271,45.2,43.7,0,2,49,0
Andy Lee,CLE,@ KC,L  13-17,3,135,45.0,39.3,0,0,49,0
Pat O'Donnell,CHI,@ TB,W  26-21,4,177,44.3,35.4,0,2,48,1
Jordan Berry,PIT,@ BAL,L  17-20,3,131,43.7,44.0,0,1,46,0
Sam Martin,DET,vs SF,W  32-17,3,131,43.7,43.7,0,2,52,0
Donnie Jones,PHI,vs WAS,L  24-38,7,305,43.6,42.1,0,3,56,0
Britton Colquitt,DEN,vs CIN,W  20-17,5,217,43.4,41.8,0,3,54,0
Brad Nortman,CAR,@ ATL,L  13-20,3,130,43.3,36.7,1,2,63,0
Jacob Schum,TB,vs CHI,L  21-26,4,173,43.3,37.0,1,0,60,0
Drew Butler,ARI,vs GB,W  38-8,4,172,43.0,43.0,0,3,54,0
Mike Scifres,,@ OAK,L  20-23,5,214,42.8,41.0,0,1,52,0
Bradley Pinion,SF,@ DET,L  17-32,3,125,41.7,41.7,0,1,47,0
Jeff Locke,MIN,vs NYG,W  49-17,4,162,40.5,37.5,0,2,52,0
Jon Ryan,SEA,vs,L  17-23,5,202,40.4,35.6,0,2,45,0
Brad Wing,NYG,@ MIN,L  17-49,6,241,40.2,40.0,0,2,48,0
Johnny Hekker,,@ SEA,W  23-17,6,240,40.0,36.7,0,2,50,0
Sam Koch,BAL,vs PIT,W  20-17,6,234,39.0,32.3,2,2,44,0
Dustin Colquitt,KC,vs CLE,W  17-13,5,184,36.8,29.4,1,1,47,0
Chris Jones,DAL,@ BUF,L  6-16,4,138,34.5,34.5,0,3,45,0
Matt Bosher,ATL,vs CAR,W  20-13,1,25,25.0,25.0,0,1,25,0
