Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Sebastian Janikowski,OAK,@ JAX,W  33-16,4,4,3,3,15
Josh Lambo,,@ ATL,W  33-30,4,4,3,3,15
Matt Bryant,ATL,vs,L  30-33,3,4,3,3,12
Roberto Aguayo,TB,@ SF,W  34-17,2,3,4,4,10
Chris Boswell,PIT,vs NE,L  16-27,3,5,1,1,10
Jason Myers,JAX,vs OAK,L  16-33,3,3,1,1,10
Justin Tucker,BAL,@ NYJ,L  16-24,3,3,1,1,10
Adam Vinatieri,IND,@ TEN,W  34-26,2,2,4,4,10
Brandon McManus,DEN,vs HOU,W  27-9,2,2,3,3,9
Nick Novak,HOU,@ DEN,L  9-27,3,3,0,0,9
Cairo Santos,KC,vs NO,W  27-21,2,2,3,3,9
Mason Crosby,GB,vs CHI,W  26-10,2,3,2,3,8
Andrew Franks,MIA,vs BUF,W  28-25,2,2,2,2,8
Matt Prater,DET,vs WAS,W  20-17,2,3,2,2,8
Ryan Succop,TEN,vs IND,L  26-34,2,2,2,2,8
Mike Nugent,CIN,vs CLE,W  31-17,1,3,4,4,7
Caleb Sturgis,PHI,vs MIN,W  21-10,2,2,1,1,7
Chandler Catanzaro,ARI,vs SEA,T 6-6,2,4,0,0,6
Nick Folk,NYJ,vs BAL,W  24-16,1,2,3,3,6
Stephen Hauschka,SEA,@ ARI,T 6-6,2,3,0,0,6
Dan Carpenter,BUF,@ MIA,L  25-28,1,1,2,2,5
Phil Dawson,SF,vs TB,L  17-34,1,1,2,2,5
Robbie Gould,NYG,@ LA,W  17-10,1,1,2,2,5
Dustin Hopkins,WAS,@ DET,L  17-20,1,2,2,2,5
Cody Parkey,CLE,@ CIN,L  17-31,1,1,2,2,5
Connor Barth,CHI,@ GB,L  10-26,1,1,1,1,4
Blair Walsh,MIN,@ PHI,L  10-21,1,1,1,1,4
Greg Zuerlein,LA,vs NYG,L  10-17,1,1,1,1,4
Stephen Gostkowski,NE,@ PIT,W  27-16,0,0,3,4,3
Wil Lutz,NO,@ KC,L  21-27,0,0,3,3,3
