Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Greg Zuerlein,LA,@ DAL,W  35-30,7,7,2,2,23
Ka'imi Fairbairn,HOU,vs TEN,W  57-14,3,3,6,7,15
Robbie Gould,SF,@ ARI,L  15-18,5,5,0,0,15
Jake Elliott,PHI,@ LAC,W  26-24,4,4,2,2,14
Phil Dawson,ARI,vs SF,W  18-15,4,4,0,0,12
Stephen Gostkowski,NE,vs CAR,L  30-33,3,3,3,3,12
Harrison Butker,KC,vs WAS,W  29-20,3,4,2,2,11
Chandler Catanzaro,NYJ,vs JAX,W  23-20,3,4,2,2,11
Stephen Hauschka,BUF,@ ATL,W  23-17,3,3,2,2,11
Brandon McManus,DEN,vs OAK,W  16-10,3,4,1,1,10
Graham Gano,CAR,@ NE,W  33-30,2,2,3,4,9
Chris Boswell,PIT,@ BAL,W  26-9,2,3,2,2,8
Dustin Hopkins,WAS,@ KC,L  20-29,2,2,2,2,8
Wil Lutz,NO,@ MIA,W  20-0,2,3,2,2,8
Jason Myers,JAX,@ NYJ,L  20-23,2,3,2,2,8
Blair Walsh,SEA,vs IND,W  46-18,1,2,5,5,8
Randy Bullock,CIN,@ CLE,W  31-7,1,1,4,4,7
Nick Folk,TB,vs NYG,W  25-23,2,4,1,2,7
Dan Bailey,DAL,vs LA,L  30-35,1,1,3,3,6
Younghoe Koo,LAC,vs PHI,L  24-26,1,1,3,3,6
Matt Prater,DET,@ MIN,W  14-7,2,3,0,0,6
Matt Bryant,ATL,vs BUF,L  17-23,1,1,2,2,5
Mason Crosby,GB,vs CHI,W  35-14,0,0,5,5,5
Aldrick Rosas,NYG,@ TB,L  23-25,1,2,2,2,5
Giorgio Tavecchio,OAK,@ DEN,L  10-16,1,1,1,1,4
Adam Vinatieri,IND,@ SEA,L  18-46,1,1,1,1,4
Justin Tucker,BAL,vs PIT,L  9-26,1,2,0,0,3
Connor Barth,CHI,@ GB,L  14-35,0,1,2,2,2
Ryan Succop,TEN,@ HOU,L  14-57,0,0,2,2,2
Kai Forbath,MIN,vs DET,L  7-14,0,1,1,1,1
Zane Gonzalez,CLE,vs CIN,L  7-31,0,1,1,1,1
