Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Ben Roethlisberger,PIT,vs BAL,W  39-38,44,66,506,2,0,3,0,99.7
Matthew Stafford,DET,@ TB,W  24-21,36,44,381,1,2,0,0,91.4
Jimmy Garoppolo,SF,@ HOU,W  26-16,20,33,334,1,1,2,0,92.2
Dak Prescott,DAL,@ NYG,W  30-10,20,30,332,3,0,0,0,137.1
Philip Rivers,LAC,vs WAS,W  30-13,18,31,319,2,0,2,0,114.9
Carson Wentz,PHI,@ LA,W  43-35,23,41,291,4,1,1,0,100.8
Jameis Winston,TB,vs DET,L  21-24,26,38,285,2,2,3,1,86.0
Case Keenum,MIN,@ CAR,L  24-31,27,44,280,2,2,6,1,75.9
Drew Brees,NO,@ ATL,L  17-20,26,35,271,2,1,2,0,103.4
Mitchell Trubisky,CHI,@ CIN,W  33-7,25,32,271,1,0,2,0,112.4
Russell Wilson,SEA,@ JAX,L  24-30,17,31,271,3,3,2,0,76.9
Joe Flacco,BAL,@ PIT,L  38-39,20,35,269,2,1,1,0,88.9
Blake Bortles,JAX,vs SEA,W  30-24,18,27,268,2,0,0,0,123.7
Alex Smith,KC,vs OAK,W  26-15,20,34,268,0,1,4,0,71.7
Brett Hundley,GB,@ CLE,W  27-21,35,46,265,3,0,1,0,111.2
Jay Cutler,MIA,vs NE,W  27-20,25,38,263,3,0,2,0,112.1
Tom Brady,NE,@ MIA,L  20-27,24,43,233,1,2,2,0,59.5
Eli Manning,NYG,vs DAL,L  10-30,31,46,228,1,2,0,0,68.0
Matt Ryan,ATL,vs NO,W  20-17,15,27,221,1,3,1,0,55.2
DeShone Kizer,CLE,vs GB,L  21-27,20,28,214,3,2,2,0,99.4
Derek Carr,OAK,@ KC,L  15-26,24,41,211,1,2,3,0,60.1
Trevor Siemian,DEN,vs NYJ,W  23-0,19,31,200,1,0,2,0,90.8
Jared Goff,LA,vs PHI,L  35-43,16,26,199,2,0,2,1,110.9
Blaine Gabbert,ARI,vs TEN,W  12-7,17,26,178,0,0,8,0,85.1
T.J. Yates,HOU,vs SF,L  16-26,14,26,175,2,0,1,0,100.6
Marcus Mariota,TEN,@ ARI,L  7-12,16,31,159,0,2,3,0,39.6
Kirk Cousins,WAS,@ LAC,L  13-30,15,27,151,1,1,2,0,68.6
Andy Dalton,CIN,vs CHI,L  7-33,14,29,141,1,1,2,0,59.7
Cam Newton,CAR,vs MIN,W  31-24,13,25,137,1,1,2,0,64.9
Jacoby Brissett,IND,@ BUF,L  7-13,11,22,69,1,0,1,0,72.0
Tom Savage,HOU,vs SF,L  16-26,6,12,63,0,0,2,0,65.6
Nathan Peterman,BUF,vs IND,W  13-7,5,10,57,1,0,0,0,100.8
A.J. McCarron,CIN,vs CHI,L  7-33,4,8,47,0,0,1,0,68.2
Josh McCown,NYJ,@ DEN,L  0-23,6,12,46,0,1,4,1,25.0
Nick Foles,PHI,@ LA,W  43-35,6,10,42,0,0,1,0,69.6
Joe Webb,BUF,vs IND,W  13-7,2,6,35,0,1,0,0,14.6
Bryce Petty,NYJ,@ DEN,L  0-23,2,9,14,0,0,0,0,39.6
Kellen Clemens,LAC,vs WAS,W  30-13,1,3,3,0,1,0,0,2.8
