Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Stephen Gostkowski,NE,@ BUF,W  25-6,4,5,1,1,13
Graham Gano,CAR,vs BAL,W  36-21,3,3,3,3,12
Josh Lambo,JAX,vs PHI,L  18-24,4,4,0,0,12
Wil Lutz,NO,@ MIN,W  30-20,3,3,3,3,12
Jason Sanders,MIA,@ HOU,L  23-42,3,3,2,2,11
Adam Vinatieri,IND,@ OAK,W  42-28,2,2,4,4,10
Mason Crosby,GB,@ LA,L  27-29,2,2,3,3,9
Chandler Catanzaro,TB,@ CIN,L  34-37,2,2,2,3,8
Dustin Hopkins,WAS,@ NYG,W  20-13,2,3,2,2,8
Chris Boswell,PIT,vs CLE,W  33-18,1,1,4,4,7
Randy Bullock,CIN,vs TB,W  37-34,1,1,4,5,7
Robbie Gould,SF,@ ARI,L  15-18,2,2,1,1,7
Aldrick Rosas,NYG,vs WAS,L  13-20,2,2,1,1,7
Greg Zuerlein,LA,vs GB,W  29-27,2,2,1,1,7
Harrison Butker,KC,vs DEN,W  30-23,1,1,3,4,6
Jake Elliott,PHI,@ JAX,W  24-18,1,1,3,3,6
Ka'imi Fairbairn,HOU,vs MIA,W  42-23,0,0,6,6,6
Stephen Hauschka,BUF,vs NE,L  6-25,2,2,0,0,6
Greg Joseph,CLE,@ PIT,L  18-33,2,3,0,1,6
Cody Parkey,CHI,vs NYJ,W  24-10,1,2,3,3,6
Brandon McManus,DEN,@ KC,L  23-30,1,2,2,2,5
Daniel Carlson,OAK,vs IND,L  28-42,0,0,4,4,4
Phil Dawson,ARI,vs SF,W  18-15,1,1,1,1,4
Sebastian Janikowski,SEA,@ DET,W  28-14,0,0,4,4,4
Jason Myers,NYJ,@ CHI,L  10-24,1,1,1,1,4
Justin Tucker,BAL,@ CAR,L  21-36,0,0,3,3,3
Dan Bailey,MIN,vs NO,L  20-30,0,0,2,3,2
Matt Prater,DET,vs SEA,L  14-28,0,0,2,2,2
