Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Shane Lechler,HOU,vs TEN,W  57-14,2,122,61.0,59.5,0,1,61,0
Johnny Hekker,LA,@ DAL,W  35-30,2,108,54.0,54.0,0,2,62,0
Marquette King,OAK,@ DEN,L  10-16,6,306,51.0,44.7,0,2,58,0
Bradley Pinion,SF,@ ARI,L  15-18,7,351,50.1,48.4,0,3,59,0
Bryan Anger,TB,vs NYG,W  25-23,4,199,49.8,49.8,0,2,62,0
Britton Colquitt,CLE,vs CIN,L  7-31,6,295,49.2,37.0,0,1,53,0
Brett Kern,TEN,@ HOU,L  14-57,5,246,49.2,48.4,0,1,54,0
Pat O'Donnell,CHI,@ GB,L  14-35,3,147,49.0,47.3,0,2,59,0
Andy Lee,ARI,vs SF,W  18-15,6,293,48.8,42.0,0,2,60,0
Kevin Huber,CIN,@ CLE,W  31-7,4,191,47.8,46.8,0,2,56,0
Drew Kaser,LAC,vs PHI,L  24-26,4,191,47.8,39.0,1,2,53,0
Justin Vogel,GB,vs CHI,W  35-14,5,238,47.6,46.2,0,1,62,0
Donnie Jones,PHI,@ LAC,W  26-24,2,95,47.5,46.0,0,2,54,0
Colton Schmidt,BUF,@ ATL,W  23-17,4,189,47.3,44.5,0,1,60,0
Chris Jones,DAL,vs LA,L  30-35,3,141,47.0,40.3,0,1,55,0
Thomas Morstead,NO,@ MIA,W  20-0,3,141,47.0,44.0,0,0,58,0
Jeff Locke,DET,@ MIN,W  14-7,7,325,46.4,44.1,0,3,54,0
Riley Dixon,DEN,vs OAK,W  16-10,6,271,45.2,43.8,0,3,53,0
Brad Nortman,JAX,@ NYJ,L  20-23,8,361,45.1,44.3,0,5,61,0
Ryan Allen,NE,vs CAR,L  30-33,3,135,45.0,36.7,0,0,49,0
Sam Koch,BAL,vs PIT,L  9-26,5,222,44.4,41.4,0,2,51,0
Matt Haack,MIA,vs NO,L  0-20,6,263,43.8,39.5,0,2,49,0
Lachlan Edwards,NYJ,vs JAX,W  23-20,6,262,43.7,40.3,1,3,70,0
Tress Way,WAS,@ KC,L  20-29,4,169,42.3,37.3,1,2,52,0
Rigoberto Sanchez,IND,@ SEA,L  18-46,6,250,41.7,41.7,0,2,61,0
Brad Wing,NYG,@ TB,L  23-25,5,205,41.0,33.8,1,0,56,0
Ryan Quigley,MIN,vs DET,L  7-14,5,201,40.2,40.2,0,2,51,0
Matt Bosher,ATL,vs BUF,L  17-23,3,120,40.0,40.0,0,3,42,0
Jordan Berry,PIT,@ BAL,W  26-9,4,150,37.5,37.5,0,1,48,0
Dustin Colquitt,KC,vs WAS,W  29-20,3,105,35.0,28.3,1,1,39,0
Michael Palardy,CAR,@ NE,W  33-30,1,35,35.0,35.0,0,0,35,0
Jon Ryan,SEA,vs IND,W  46-18,1,35,35.0,35.0,0,1,35,0
