Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Ryan Succop,TEN,vs IND,W  36-22,5,5,3,3,18
Kai Forbath,MIN,vs GB,W  23-10,3,3,2,2,11
Graham Gano,CAR,vs PHI,L  23-28,3,3,2,2,11
Aldrick Rosas,NYG,@ DEN,W  23-10,3,4,2,2,11
Wil Lutz,NO,vs DET,W  52-38,1,1,7,7,10
Justin Tucker,BAL,vs CHI,L  24-27,3,3,1,1,10
Adam Vinatieri,IND,@ TEN,L  22-36,3,3,1,2,10
Connor Barth,CHI,@ BAL,W  27-24,2,2,3,3,9
Greg Zuerlein,LA,@ JAX,W  27-17,2,2,3,3,9
Phil Dawson,ARI,vs TB,W  38-33,1,1,5,5,8
Jake Elliott,PHI,@ CAR,W  28-23,2,2,2,2,8
Dustin Hopkins,WAS,vs SF,W  26-24,2,2,2,3,8
Cody Parkey,MIA,@ ATL,W  20-17,2,2,2,2,8
Matt Prater,DET,@ NO,L  38-52,1,2,5,5,8
Harrison Butker,KC,vs PIT,L  13-19,2,2,1,1,7
Stephen Gostkowski,NE,@ NYJ,W  24-17,1,2,3,3,6
Robbie Gould,SF,@ WAS,L  24-26,1,2,3,3,6
Chris Boswell,PIT,@ KC,W  19-13,1,1,2,2,5
Matt Bryant,ATL,vs MIA,L  17-20,1,2,2,2,5
Chandler Catanzaro,NYJ,vs NE,L  17-24,1,1,2,2,5
Ka'imi Fairbairn,HOU,vs CLE,W  33-17,1,1,2,3,5
Zane Gonzalez,CLE,@ HOU,L  17-33,1,1,2,2,5
Jason Myers,JAX,vs LA,L  17-27,1,3,2,2,5
Nick Novak,LAC,@ OAK,W  17-16,1,2,2,2,5
Mason Crosby,GB,@ MIN,L  10-23,1,1,1,1,4
Brandon McManus,DEN,vs NYG,L  10-23,1,3,1,1,4
Giorgio Tavecchio,OAK,vs LAC,L  16-17,1,1,1,2,4
Patrick Murray,TB,@ ARI,L  33-38,0,0,1,1,1
