Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Ben Roethlisberger,PIT,vs DEN,W  34-27,40,55,380,3,2,3,0,94.5
Jameis Winston,TB,@,L  23-31,29,50,363,2,1,0,1,85.7
Sam Bradford,PHI,vs ARI,L  17-40,28,41,361,2,2,2,1,91.6
Drew Brees,NO,vs DET,L  27-35,34,52,341,3,0,1,0,103.1
Cam Newton,CAR,@ NYG,W  38-35,25,45,340,5,0,3,1,116.9
Kirk Cousins,WAS,vs BUF,W  35-25,22,28,319,4,0,1,0,153.7
Philip Rivers,,vs MIA,W  30-14,26,36,311,3,2,1,0,102.9
Ryan Fitzpatrick,NYJ,@ DAL,W  19-16,26,39,299,1,1,2,0,87.4
Blake Bortles,JAX,vs ATL,L  17-23,23,38,297,1,1,2,0,82.9
Brock Osweiler,DEN,@ PIT,L  27-34,21,44,296,3,1,2,0,83.1
Blaine Gabbert,SF,vs CIN,L  14-24,30,50,295,1,3,4,0,58.3
Jimmy Clausen,BAL,vs KC,L  14-34,26,45,281,2,2,2,0,72.5
Derek Carr,OAK,vs GB,L  20-30,23,47,276,2,2,3,0,63.8
Carson Palmer,ARI,@ PHI,W  40-17,20,32,274,1,0,2,0,100.3
Tom Brady,NE,vs TEN,W  33-16,23,35,267,2,0,2,0,107.7
Matthew Stafford,DET,@ NO,W  35-27,22,25,254,3,0,3,0,148.6
Russell Wilson,SEA,vs CLE,W  30-13,21,30,249,3,0,2,0,128.3
Matt Ryan,ATL,@ JAX,W  23-17,22,35,246,1,1,1,0,81.4
Eli Manning,NYG,vs CAR,L  35-38,29,46,245,4,1,0,0,96.7
Zach Mettenberger,TEN,@ NE,L  16-33,20,28,242,2,2,2,0,91.7
Tyrod Taylor,BUF,@ WAS,L  25-35,16,27,235,2,0,5,0,112.4
Case Keenum,,vs TB,W  31-23,14,17,234,2,0,2,0,158.0
Teddy Bridgewater,MIN,vs CHI,W  38-17,17,20,231,4,0,1,0,154.4
Jay Cutler,CHI,@ MIN,L  17-38,26,37,231,2,1,5,1,93.4
Ryan Tannehill,MIA,@,L  14-30,20,34,216,0,0,3,0,77.6
Aaron Rodgers,GB,@ OAK,W  30-20,22,39,204,1,1,2,0,68.8
A.J. McCarron,CIN,@ SF,W  24-14,15,21,192,1,0,4,0,115.6
Alex Smith,KC,@ BAL,W  34-14,21,25,171,1,0,3,0,108.5
Johnny Manziel,CLE,@ SEA,L  13-30,19,32,161,1,1,3,0,69.9
Kellen Moore,DAL,vs NYJ,L  16-19,15,25,158,1,3,1,0,52.2
Matt Hasselbeck,IND,vs HOU,L  10-16,17,30,147,1,1,2,0,66.9
Brandon Weeden,HOU,@ IND,W  16-10,11,18,105,1,0,1,0,95.8
T.J. Yates,HOU,@ IND,W  16-10,6,10,68,0,1,2,0,40.8
Matt Cassel,DAL,vs NYJ,L  16-19,3,8,37,0,1,1,0,13.0
Marcus Mariota,TEN,@ NE,L  16-33,3,6,32,0,0,3,1,66.0
Charlie Whitehurst,IND,vs HOU,L  10-16,1,2,13,0,0,1,0,70.8
Drew Stanton,ARI,@ PHI,W  40-17,0,1,0,0,0,0,0,39.6
