Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Pat O'Donnell,CHI,@ ARI,W  16-14,3,158,52.7,43.7,1,1,61,0
Matt Wile,MIN,vs BUF,L  6-27,5,259,51.8,45.2,1,1,70,0
Trevor Daniel,HOU,vs NYG,L  22-27,3,155,51.7,49.7,0,1,57,0
Drew Kaser,LAC,@ LA,L  23-35,2,102,51.0,31.3,0,0,52,1
Andy Lee,ARI,vs CHI,L  14-16,4,203,50.8,39.8,1,1,61,0
Thomas Morstead,NO,@ ATL,W  43-37,4,202,50.5,42.5,1,2,57,0
Riley Dixon,NYG,@ HOU,W  27-22,4,198,49.5,38.3,0,0,53,0
Sam Koch,BAL,vs DEN,W  27-14,4,197,49.3,33.2,0,2,57,1
Lachlan Edwards,NYJ,@ CLE,L  17-21,7,344,49.1,46.3,0,3,62,0
Johnny Hekker,LA,vs LAC,W  35-23,1,49,49.0,38.0,0,0,49,0
Chris Jones,DAL,@ SEA,L  13-24,5,240,48.0,43.0,0,1,50,0
Matt Haack,MIA,vs OAK,W  28-20,6,282,47.0,41.8,1,3,63,0
Tress Way,WAS,vs GB,W  31-17,5,235,47.0,41.2,0,1,57,0
Brett Kern,TEN,@ JAX,W  9-6,6,280,46.7,41.5,1,3,54,0
J.K. Scott,GB,@ WAS,L  17-31,5,232,46.4,44.6,0,2,58,0
Jordan Berry,PIT,@ TB,W  30-27,5,228,45.6,41.6,1,2,56,0
Logan Cooke,JAX,vs TEN,L  6-9,6,273,45.5,37.8,1,2,52,0
Sam Martin,DET,vs NE,W  26-10,2,90,45.0,45.0,0,1,50,0
Rigoberto Sanchez,IND,@ PHI,L  16-20,5,222,44.4,43.6,0,2,53,0
Kevin Huber,CIN,@ CAR,L  21-31,3,132,44.0,42.7,0,2,48,0
Michael Dickson,SEA,vs DAL,W  24-13,8,350,43.8,41.3,0,2,61,0
Dustin Colquitt,KC,vs SF,W  38-27,2,87,43.5,43.0,0,1,48,0
Ryan Allen,NE,@ DET,L  10-26,5,217,43.4,37.8,0,1,51,0
Corey Bojorquez,BUF,@ MIN,W  27-6,6,259,43.2,43.2,0,5,59,0
Matt Bosher,ATL,vs NO,L  37-43,5,216,43.2,33.3,0,1,48,1
Cameron Johnston,PHI,vs IND,W  20-16,3,128,42.7,42.0,0,0,52,0
Bryan Anger,TB,vs PIT,L  27-30,3,126,42.0,36.7,0,1,64,0
Michael Palardy,CAR,vs CIN,W  31-21,4,165,41.3,39.0,0,3,59,0
Marquette King,DEN,@ BAL,L  14-27,7,287,41.0,39.3,0,3,55,0
Johnny Townsend,OAK,@ MIA,L  20-28,3,112,37.3,37.3,0,1,54,0
Bradley Pinion,SF,@ KC,L  27-38,4,148,37.0,35.8,0,1,43,0
Britton Colquitt,CLE,vs NYJ,W  21-17,8,273,34.1,32.6,0,5,55,0
