Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Bryan Anger,TB,@ CAR,L  19-22,1,50,50.0,47.0,0,0,50,0
Johnny Hekker,LA,@ TEN,W  27-23,4,200,50.0,42.0,1,1,57,0
Chris Jones,DAL,vs SEA,L  12-21,2,100,50.0,45.5,0,1,51,0
Tress Way,WAS,vs DEN,W  27-11,5,247,49.4,45.8,0,1,64,0
Dustin Colquitt,KC,vs MIA,W  29-13,1,49,49.0,49.0,0,0,49,0
Shane Lechler,HOU,vs PIT,L  6-34,7,342,48.9,37.1,0,2,60,0
Colton Schmidt,BUF,@ NE,L  16-37,3,144,48.0,41.7,0,1,55,0
Jordan Berry,PIT,@ HOU,W  34-6,3,143,47.7,45.3,0,1,57,0
Britton Colquitt,CLE,@ CHI,L  3-20,7,334,47.7,41.0,1,3,58,0
Andy Lee,ARI,vs NYG,W  23-0,7,329,47.0,41.4,1,2,61,0
Matt Bosher,ATL,@ NO,L  13-23,5,234,46.8,38.2,0,1,55,0
Lachlan Edwards,NYJ,vs LAC,L  7-14,9,421,46.8,43.6,0,5,50,0
Drew Kaser,LAC,@ NYJ,W  14-7,9,416,46.2,42.9,0,2,63,0
Jon Ryan,SEA,@ DAL,W  21-12,7,323,46.1,41.6,0,1,54,0
Pat O'Donnell,CHI,vs CLE,W  20-3,8,361,45.1,39.3,1,1,60,0
Thomas Morstead,NO,vs ATL,W  23-13,6,268,44.7,39.8,0,1,59,0
Riley Dixon,DEN,@ WAS,L  11-27,5,221,44.2,43.6,0,2,53,0
Ryan Allen,NE,vs BUF,W  37-16,1,44,44.0,44.0,0,0,44,0
Brad Wing,NYG,@ ARI,L  0-23,6,263,43.8,39.0,1,2,49,0
Bradley Pinion,SF,vs JAX,W  44-33,3,131,43.7,43.7,0,2,45,0
Donnie Jones,PHI,vs OAK,W  19-10,8,334,41.8,39.3,0,1,51,0
Marquette King,OAK,@ PHI,L  10-19,5,207,41.4,37.8,0,1,51,0
Sam Martin,DET,@ CIN,L  17-26,5,202,40.4,35.8,1,2,60,0
Michael Palardy,CAR,vs TB,W  22-19,3,119,39.7,39.7,0,2,46,0
Ryan Quigley,MIN,@ GB,W  16-0,7,277,39.6,35.4,0,2,50,0
Brad Nortman,JAX,@ SF,L  33-44,4,156,39.0,30.0,1,1,47,0
Justin Vogel,GB,vs MIN,L  0-16,6,231,38.5,36.7,0,1,51,0
Kevin Huber,CIN,vs DET,W  26-17,4,152,38.0,38.0,0,1,40,0
Rigoberto Sanchez,IND,@ BAL,L  16-23,2,74,37.0,37.0,0,0,38,0
Brett Kern,TEN,vs LA,L  23-27,4,145,36.3,35.5,0,2,62,0
Sam Koch,BAL,vs IND,W  23-16,2,71,35.5,21.0,0,0,43,1
Matt Haack,MIA,@ KC,L  13-29,2,59,29.5,29.0,0,0,34,0
Brandon McManus,DEN,@ WAS,L  11-27,1,26,26.0,26.0,0,1,26,0
