Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Antonio Brown,PIT,@ CLE,W  28-12,13,187,14.4,1,1
Terrance Williams,DAL,vs WAS,L  23-34,8,173,21.6,0,0
Zach Ertz,PHI,@ NYG,W  35-30,9,152,16.9,0,0
Julio Jones,ATL,vs NO,L  17-20,9,149,16.6,0,0
Calvin Johnson,DET,@ CHI,W  24-20,10,137,13.7,1,0
Sammy Watkins,BUF,vs NYJ,W  22-17,11,136,12.4,0,0
Brandon Marshall,NYJ,@ BUF,L  17-22,8,126,15.8,1,0
Devin Funchess,CAR,vs TB,W  38-10,7,120,17.1,1,1
Demaryius Thomas,DEN,vs,W  27-20,5,117,23.4,1,0
Jamison Crowder,WAS,@ DAL,W  34-23,5,109,21.8,1,0
Allen Robinson,,@ HOU,L  6-30,5,108,21.6,0,0
DeVante Parker,MIA,vs NE,W  20-10,5,106,21.2,1,0
James Jones,GB,vs MIN,L  13-20,4,102,25.5,0,0
Mike Evans,TB,@ CAR,L  10-38,4,99,24.8,0,0
Emmanuel Sanders,DEN,vs,W  27-20,5,99,19.8,0,1
Delanie Walker,TEN,@ IND,L  24-30,9,94,10.4,0,0
Tyrell Williams,,@ DEN,L  20-27,2,90,45.0,1,0
DeAndre Hopkins,HOU,vs,W  30-6,7,89,12.7,0,0
Coby Fleener,IND,vs TEN,W  30-24,7,88,12.6,1,0
DuJuan Harris,SF,vs,W  19-16,8,86,10.8,0,0
Kenny Britt,,@ SF,L  16-19,3,81,27.0,0,0
Brandon Coleman,NO,@ ATL,W  20-17,5,81,16.2,0,0
Marc Mariani,CHI,vs DET,L  20-24,6,80,13.3,0,0
Rueben Randle,NYG,vs PHI,L  30-35,4,79,19.8,1,0
Travaris Cadet,NO,@ ATL,W  20-17,6,77,12.8,0,1
Kamar Aiken,BAL,@ CIN,L  16-24,5,76,15.2,0,0
Darrius Heyward-Bey,PIT,@ CLE,W  28-12,2,74,37.0,0,0
Greg Jennings,MIA,vs NE,W  20-10,4,74,18.5,0,0
Charles Sims,TB,@ CAR,L  10-38,9,74,8.2,0,0
Jarvis Landry,MIA,vs NE,W  20-10,6,72,12.0,0,0
Shane Vereen,NYG,vs PHI,L  30-35,6,72,12.0,0,0
Anquan Boldin,SF,vs,W  19-16,5,71,14.2,1,0
Rashad Ross,WAS,@ DAL,W  34-23,2,71,35.5,1,0
Will Tye,NYG,vs PHI,L  30-35,5,67,13.4,1,0
Gary Barnidge,CLE,vs PIT,L  12-28,8,66,8.2,0,0
James White,NE,@ MIA,L  10-20,2,63,31.5,0,0
Torrey Smith,SF,vs,W  19-16,5,61,12.2,0,0
Jacob Tamme,ATL,vs NO,L  17-20,4,61,15.2,0,0
Brice Butler,DAL,vs WAS,L  23-34,4,60,15.0,0,0
Doug Martin,TB,@ CAR,L  10-38,7,60,8.6,0,0
Richard Rodgers,GB,vs MIN,L  13-20,7,59,8.4,1,0
Benjamin Watson,NO,@ ATL,W  20-17,6,59,9.8,1,0
Corey Brown,CAR,vs TB,W  38-10,3,58,19.3,0,0
Jason Witten,DAL,vs WAS,L  23-34,6,58,9.7,1,0
Jeremy Butler,BAL,@ CIN,L  16-24,6,57,9.5,0,0
Markus Wheaton,PIT,@ CLE,W  28-12,3,57,19.0,1,0
Jaelen Strong,HOU,vs,W  30-6,6,56,9.3,0,0
Larry Fitzgerald,ARI,vs SEA,L  6-36,6,55,9.2,1,0
Davante Adams,GB,vs MIN,L  13-20,4,54,13.5,0,0
Odell Beckham,NYG,vs PHI,L  30-35,5,54,10.8,0,0
Jeremy Maclin,KC,vs OAK,W  23-17,3,54,18.0,1,0
Jordan Matthews,PHI,@ NYG,W  35-30,7,54,7.7,2,0
Cole Beasley,DAL,vs WAS,L  23-34,5,53,10.6,2,0
Travis Benjamin,CLE,vs PIT,L  12-28,5,53,10.6,0,0
Darren McFadden,DAL,vs WAS,L  23-34,5,53,10.6,0,1
Maxx Williams,BAL,@ CIN,L  16-24,6,53,8.8,0,0
