Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Robbie Gould,SF,@ CHI,W  15-14,5,5,0,0,15
Justin Tucker,BAL,vs DET,W  44-20,3,3,5,5,14
Greg Zuerlein,LA,@ ARI,W  32-16,4,4,2,3,14
Travis Coons,LAC,vs CLE,W  19-10,4,5,1,1,13
Chandler Catanzaro,NYJ,vs KC,W  38-31,3,3,3,3,12
Chris Boswell,PIT,@ CIN,W  23-20,3,3,2,2,11
Stephen Gostkowski,NE,@ BUF,W  23-3,3,3,2,2,11
Josh Lambo,JAX,vs IND,W  30-10,3,3,1,1,10
Matt Bryant,ATL,vs MIN,L  9-14,3,4,0,0,9
Dan Bailey,DAL,vs WAS,W  38-14,1,1,5,5,8
Randy Bullock,CIN,vs PIT,L  20-23,2,2,2,2,8
Mason Crosby,GB,vs TB,W  26-20,2,2,2,2,8
Patrick Murray,TB,@ GB,L  20-26,2,2,2,2,8
Harrison Butker,KC,@ NYJ,L  31-38,1,2,4,4,7
Ka'imi Fairbairn,HOU,@ TEN,L  13-24,2,4,1,1,7
Wil Lutz,NO,vs CAR,W  31-21,1,2,4,4,7
Cody Parkey,MIA,vs DEN,W  35-9,1,1,4,4,7
Ryan Succop,TEN,vs HOU,W  24-13,1,2,3,3,6
Giorgio Tavecchio,OAK,vs NYG,W  24-17,1,1,3,3,6
Blair Walsh,SEA,vs PHI,W  24-10,1,1,3,3,6
Aldrick Rosas,NYG,@ OAK,L  17-24,1,1,2,2,5
Phil Dawson,ARI,vs LA,L  16-32,1,2,1,2,4
Jake Elliott,PHI,@ SEA,L  10-24,1,1,1,1,4
Zane Gonzalez,CLE,@ LAC,L  10-19,1,1,1,1,4
Adam Vinatieri,IND,@ JAX,L  10-30,1,1,1,1,4
Graham Gano,CAR,@ NO,L  21-31,0,0,3,3,3
Stephen Hauschka,BUF,vs NE,L  3-23,1,1,0,0,3
Brandon McManus,DEN,@ MIA,L  9-35,1,1,0,0,3
Kai Forbath,MIN,@ ATL,W  14-9,0,0,2,2,2
Matt Prater,DET,@ BAL,L  20-44,0,1,2,3,2
Nick Rose,WAS,@ DAL,L  14-38,0,0,2,2,2
Cairo Santos,CHI,vs SF,L  14-15,0,0,2,2,2
