Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Mason Crosby,GB,@ NYJ,W  44-38,3,3,3,3,12
Harrison Butker,KC,@ SEA,L  31-38,3,3,2,2,11
Dustin Hopkins,WAS,@ TEN,L  16-25,3,3,1,1,10
Justin Tucker,BAL,@ LAC,W  22-10,3,5,1,1,10
Dan Bailey,MIN,@ DET,W  27-9,2,2,3,3,9
Daniel Carlson,OAK,vs DEN,W  27-14,2,2,3,3,9
Robbie Gould,SF,vs CHI,L  9-14,3,3,0,0,9
Brett Maher,DAL,vs TB,W  27-20,2,2,3,3,9
Matt Prater,DET,vs MIN,L  9-27,3,3,0,0,9
Aldrick Rosas,NYG,@ IND,L  27-28,2,2,3,3,9
Chris Boswell,PIT,@ NO,L  28-31,2,2,2,2,8
Jake Elliott,PHI,vs HOU,W  32-30,2,2,2,3,8
Sebastian Janikowski,SEA,vs KC,W  38-31,1,2,5,5,8
Greg Joseph,CLE,vs CIN,W  26-18,2,2,2,3,8
Jason Myers,NYJ,vs GB,L  38-44,1,2,5,5,8
Cairo Santos,TB,@ DAL,L  20-27,2,3,2,2,8
Wil Lutz,NO,vs PIT,W  31-28,1,2,4,4,7
Ryan Succop,TEN,vs WAS,W  25-16,2,2,1,2,7
Greg Zuerlein,LA,@ ARI,W  31-9,1,2,4,4,7
Matt Bryant,ATL,@ CAR,W  24-10,1,1,3,3,6
Ka'imi Fairbairn,HOU,@ PHI,L  30-32,1,1,3,4,6
Stephen Gostkowski,NE,vs BUF,W  24-12,1,1,3,3,6
Stephen Hauschka,BUF,@ NE,L  12-24,2,3,0,0,6
Kai Forbath,JAX,@ MIA,W  17-7,1,2,2,2,5
Michael Badgley,LAC,vs BAL,L  10-22,1,1,1,1,4
Randy Bullock,CIN,@ CLE,L  18-26,1,1,1,1,4
Chandler Catanzaro,CAR,vs ATL,L  10-24,1,1,1,1,4
Adam Vinatieri,IND,vs NYG,W  28-27,0,0,4,4,4
Zane Gonzalez,ARI,vs LA,L  9-31,1,2,0,1,3
Brandon McManus,DEN,@ OAK,L  14-27,0,1,2,2,2
Cody Parkey,CHI,@ SF,W  14-9,0,1,2,2,2
Jason Sanders,MIA,vs JAX,L  7-17,0,1,1,1,1
