Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Johnny Hekker,LA,vs ARI,W  33-0,2,119,59.5,55.0,0,2,65,0
Brad Nortman,JAX,@ IND,W  27-0,2,107,53.5,53.5,0,1,61,0
Michael Palardy,CAR,@ CHI,L  3-17,5,263,52.6,46.2,1,1,59,0
Brett Kern,TEN,@ CLE,W  12-9,4,208,52.0,43.8,1,2,58,0
Drew Kaser,LAC,vs DEN,W  21-0,8,413,51.6,44.8,0,3,69,0
Donnie Jones,PHI,vs WAS,W  34-24,3,153,51.0,43.0,0,1,52,0
Colton Schmidt,BUF,vs TB,W  30-27,2,101,50.5,50.5,0,1,55,0
Ryan Allen,NE,vs ATL,W  23-7,2,100,50.0,40.0,1,0,57,0
Kevin Huber,CIN,@ PIT,L  14-29,5,250,50.0,48.6,0,2,58,0
Pat O'Donnell,CHI,vs CAR,W  17-3,6,296,49.3,46.5,0,1,66,0
Marquette King,OAK,vs KC,W  31-30,3,146,48.7,44.3,0,1,51,0
Sam Koch,BAL,@ MIN,L  16-24,6,289,48.2,34.3,0,1,60,0
Tress Way,WAS,@ PHI,L  24-34,5,239,47.8,39.4,1,2,60,0
Justin Vogel,GB,vs NO,L  17-26,5,238,47.6,46.2,0,1,60,0
Chris Jones,DAL,@ SF,W  40-10,3,142,47.3,44.0,0,1,56,0
Ryan Quigley,MIN,vs BAL,W  24-16,2,92,46.0,46.0,0,0,47,0
Lachlan Edwards,NYJ,@ MIA,L  28-31,7,321,45.9,41.1,0,2,60,0
Dustin Colquitt,KC,@ OAK,L  30-31,3,137,45.7,45.7,0,3,56,0
Jordan Berry,PIT,vs CIN,W  29-14,2,90,45.0,35.5,0,0,51,0
Bradley Pinion,SF,vs DAL,L  10-40,4,180,45.0,45.0,0,2,48,0
Rigoberto Sanchez,IND,vs JAX,L  0-27,7,314,44.9,44.9,0,4,58,0
Britton Colquitt,CLE,vs TEN,L  9-12,4,178,44.5,39.5,0,0,53,0
Matt Haack,MIA,vs NYJ,W  31-28,6,267,44.5,40.5,0,2,58,0
Andy Lee,ARI,@ LA,L  0-33,6,263,43.8,32.2,2,0,51,0
Riley Dixon,DEN,@ LAC,L  0-21,8,349,43.6,32.6,0,2,46,0
Brad Wing,NYG,vs SEA,L  7-24,7,304,43.4,38.4,0,1,53,0
Matt Bosher,ATL,@ NE,L  7-23,2,84,42.0,42.5,0,0,49,0
Thomas Morstead,NO,@ GB,W  26-17,2,78,39.0,39.0,0,2,43,0
Bryan Anger,TB,@ BUF,L  27-30,2,77,38.5,18.5,2,0,40,0
Jon Ryan,SEA,@ NYG,W  24-7,5,190,38.0,38.0,0,5,49,0
