Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Wil Lutz,NO,@ NYG,W  33-18,4,4,3,3,15
Brett Maher,DAL,vs DET,W  26-24,4,4,2,2,14
Justin Tucker,BAL,@ PIT,W  26-14,4,4,2,2,14
Ka'imi Fairbairn,HOU,@ IND,W  37-34,3,4,4,4,13
Matthew McCrane,OAK,vs CLE,W  45-42,3,5,4,4,13
Matt Bryant,ATL,vs CIN,L  36-37,3,3,3,3,12
Cody Parkey,CHI,vs TB,W  48-10,2,2,6,6,12
Dan Bailey,MIN,@ LA,L  31-38,3,3,2,2,11
Jake Elliott,PHI,@ TEN,L  23-26,3,3,2,2,11
Josh Lambo,JAX,vs NYJ,W  31-12,3,3,2,2,11
Brandon McManus,DEN,vs KC,L  23-27,3,3,2,2,11
Mason Crosby,GB,vs BUF,W  22-0,3,3,1,2,10
Harrison Butker,KC,@ DEN,W  27-23,2,2,3,3,9
Robbie Gould,SF,@ LAC,L  27-29,2,2,3,3,9
Caleb Sturgis,LAC,vs SF,W  29-27,3,4,0,2,9
Sam Ficken,LA,vs MIN,W  38-31,1,2,5,5,8
Stephen Gostkowski,NE,vs MIA,W  38-7,1,1,5,5,8
Sebastian Janikowski,SEA,@ ARI,W  20-17,2,4,2,2,8
Greg Joseph,CLE,@ OAK,L  42-45,2,2,2,2,8
Ryan Succop,TEN,vs PHI,W  26-23,2,2,2,2,8
Adam Vinatieri,IND,vs HOU,L  34-37,2,2,2,2,8
Randy Bullock,CIN,@ ATL,W  37-36,1,1,4,4,7
Chris Boswell,PIT,vs BAL,L  14-26,2,2,0,0,6
Jason Myers,NYJ,@ JAX,L  12-31,2,2,0,0,6
Matt Prater,DET,@ DAL,L  24-26,1,1,3,3,6
Phil Dawson,ARI,vs SEA,L  17-20,1,3,2,2,5
Chandler Catanzaro,TB,@ CHI,L  10-48,1,1,1,1,4
Aldrick Rosas,NYG,vs NO,L  18-33,1,1,1,1,4
Jason Sanders,MIA,@ NE,L  7-38,0,0,1,1,1
