Name,Team,Opp,Score,Att,Yds,Avg,TD,FUM
Mark Ingram,NO,@ BUF,W  47-10,21,131,6.2,3,0
Jonathan Stewart,CAR,vs MIA,W  45-21,17,110,6.5,0,0
Alvin Kamara,NO,@ BUF,W  47-10,12,106,8.8,1,0
Carlos Hyde,SF,vs NYG,W  31-21,17,98,5.8,0,0
Cam Newton,CAR,vs MIA,W  45-21,5,95,19.0,0,0
Isaiah Crowell,CLE,@ DET,L  24-38,16,90,5.6,1,0
Tevin Coleman,ATL,vs DAL,W  27-7,20,83,4.2,1,0
Kenyan Drake,MIA,@ CAR,L  21-45,7,82,11.7,1,0
Le'Veon Bell,PIT,@ IND,W  20-17,26,80,3.1,0,0
Orleans Darkwa,NYG,@ SF,L  21-31,14,70,5.0,0,0
Cameron Artis-Payne,CAR,vs MIA,W  45-21,7,68,9.7,1,0
Todd Gurley,LA,vs HOU,W  33-7,11,68,6.2,0,0
Latavius Murray,MIN,@ WAS,W  38-30,17,68,4.0,1,0
Jamaal Williams,GB,@ CHI,W  23-16,20,67,3.4,0,0
Lamar Miller,HOU,@ LA,L  7-33,11,60,5.5,0,0
DeShone Kizer,CLE,@ DET,L  24-38,7,57,8.1,1,0
Corey Grant,JAX,vs LAC,W  20-17,1,56,56.0,1,0
Matt Breida,SF,vs NYG,W  31-21,9,55,6.1,1,0
Dion Lewis,NE,@ DEN,W  41-16,14,55,3.9,1,0
C.J. Anderson,DEN,vs NE,L  16-41,10,54,5.4,0,0
Frank Gore,IND,vs PIT,L  17-20,17,54,3.2,0,0
Jordan Howard,CHI,vs GB,L  16-23,15,54,3.6,0,0
Duke Johnson,CLE,@ DET,L  24-38,10,54,5.4,0,0
Ty Montgomery,GB,@ CHI,W  23-16,6,54,9.0,1,0
Alfred Morris,DAL,@ ATL,L  7-27,11,53,4.8,0,0
Ameer Abdullah,DET,vs CLE,W  38-24,11,52,4.7,1,0
Derrick Henry,TEN,vs CIN,W  24-20,11,52,4.7,0,0
Marcus Mariota,TEN,vs CIN,W  24-20,6,51,8.5,0,0
Doug Martin,TB,vs NYJ,W  15-10,20,51,2.6,0,0
LeSean McCoy,BUF,vs NO,L  10-47,8,49,6.1,0,0
Trey Edmunds,NO,@ BUF,W  47-10,9,48,5.3,1,0
Austin Ekeler,LAC,@ JAX,L  17-20,10,42,4.2,0,1
DeMarco Murray,TEN,vs CIN,W  24-20,14,42,3.0,2,0
Dak Prescott,DAL,@ ATL,L  7-27,6,42,7.0,1,2
Jamaal Charles,DEN,vs NE,L  16-41,8,38,4.8,0,0
Joe Mixon,CIN,@ TEN,L  20-24,9,37,4.1,1,0
Rex Burkhead,NE,@ DEN,W  41-16,10,36,3.6,0,0
Samaje Perine,WAS,vs MIN,L  30-38,9,35,3.9,0,0
Theo Riddick,DET,vs CLE,W  38-24,4,35,8.8,0,0
Blake Bortles,JAX,vs LAC,W  20-17,5,34,6.8,0,0
Leonard Fournette,JAX,vs LAC,W  20-17,17,33,1.9,0,0
Jerick McKinnon,MIN,@ WAS,W  38-30,10,32,3.2,0,0
Lance Dunbar,LA,vs HOU,W  33-7,5,31,6.2,0,0
Adoree' Jackson,TEN,vs CIN,W  24-20,3,30,10.0,0,0
Bilal Powell,NYJ,@ TB,L  10-15,10,30,3.0,0,1
Adrian Peterson,ARI,vs SEA,L  16-22,21,29,1.4,0,1
Melvin Gordon,LAC,@ JAX,L  17-20,16,27,1.7,0,0
Thomas Rawls,SEA,@ ARI,W  22-16,10,27,2.7,0,0
Tyrod Taylor,BUF,vs NO,L  10-47,3,27,9.0,0,0
J.D. McKissic,SEA,@ ARI,W  22-16,5,26,5.2,0,0
Chris Thompson,WAS,vs MIN,L  30-38,9,26,2.9,0,0
Devontae Booker,DEN,vs NE,L  16-41,8,24,3.0,0,0
Christian McCaffrey,CAR,vs MIA,W  45-21,5,23,4.6,1,0
Terron Ward,ATL,vs DAL,W  27-7,9,23,2.6,0,0
Wayne Gallman,NYG,@ SF,L  21-31,3,22,7.3,0,0
Elijah McGuire,NYJ,@ TB,L  10-15,8,22,2.8,0,0
Charles Sims,TB,vs NYJ,W  15-10,3,20,6.7,0,0
Damien Williams,MIA,@ CAR,L  21-45,9,19,2.1,0,0
Russell Wilson,SEA,@ ARI,W  22-16,5,19,3.8,0,0
D'Onta Foreman,HOU,@ LA,L  7-33,7,18,2.6,0,0
Marquise Goodwin,SF,vs NYG,W  31-21,1,18,18.0,0,0
Matthew Stafford,DET,vs CLE,W  38-24,4,17,4.2,0,0
Brett Hundley,GB,@ CHI,W  23-16,2,16,8.0,0,0
C.J. Beathard,SF,vs NYG,W  31-21,5,15,3.0,1,0
Taylor Gabriel,ATL,vs DAL,W  27-7,1,15,15.0,0,0
Rod Smith,DAL,@ ATL,L  7-27,3,14,4.7,0,0
Travis Benjamin,LAC,@ JAX,L  17-20,1,13,13.0,0,0
James Conner,PIT,@ IND,W  20-17,1,12,12.0,0,0
Aaron Jones,GB,@ CHI,W  23-16,3,12,4.0,0,0
Jacquizz Rodgers,TB,vs NYJ,W  15-10,3,12,4.0,0,0
Tavarres King,NYG,@ SF,L  21-31,1,11,11.0,0,0
Shane Vereen,NYG,@ SF,L  21-31,5,11,2.2,0,0
T.J. Yeldon,JAX,vs LAC,W  20-17,3,11,3.7,0,0
Giovani Bernard,CIN,@ TEN,L  20-24,2,10,5.0,0,0
Alfred Blue,HOU,@ LA,L  7-33,4,10,2.5,0,0
Rob Kelley,WAS,vs MIN,L  30-38,4,10,2.5,0,0
Ryan Fitzpatrick,TB,vs NYJ,W  15-10,3,9,3.0,0,0
