Name,Team,Opp,Score,Att,Yds,Avg,TD,FUM
Zach Line,NO,@ BUF,W  47-10,1,9,9.0,0,0
Randall Cobb,GB,@ CHI,W  23-16,4,8,2.0,0,0
Derrick Coleman,ATL,vs DAL,W  27-7,2,8,4.0,0,0
Jacoby Brissett,IND,vs PIT,L  17-20,4,7,1.8,0,0
Marlon Mack,IND,vs PIT,L  17-20,7,7,1.0,0,0
James White,NE,@ DEN,W  41-16,2,7,3.5,0,0
Keenan Allen,LAC,@ JAX,L  17-20,1,6,6.0,0,0
Drew Brees,NO,@ BUF,W  47-10,2,6,3.0,1,0
Alex Erickson,CIN,@ TEN,L  20-24,2,6,3.0,0,0
Kirk Cousins,WAS,vs MIN,L  30-38,4,5,1.2,2,0
Jamison Crowder,WAS,vs MIN,L  30-38,1,5,5.0,0,0
Ben Roethlisberger,PIT,@ IND,W  20-17,2,5,2.5,0,0
Andre Ellington,ARI,vs SEA,L  16-22,2,4,2.0,1,0
ArDarius Stewart,NYJ,@ TB,L  10-15,1,4,4.0,0,0
Taywan Taylor,TEN,vs CIN,W  24-20,1,4,4.0,0,0
Devonta Freeman,ATL,vs DAL,W  27-7,2,3,1.5,0,0
Jared Goff,LA,vs HOU,W  33-7,4,3,0.8,0,0
C.J. Ham,MIN,@ WAS,W  38-30,1,3,3.0,0,0
Andy Janovich,DEN,vs NE,L  16-41,1,3,3.0,0,0
C.J. Prosise,SEA,@ ARI,W  22-16,3,3,1.0,0,0
Aaron Ripkowski,GB,@ CHI,W  23-16,2,3,1.5,0,0
Chester Rogers,IND,vs PIT,L  17-20,1,3,3.0,0,0
Tavon Austin,LA,vs HOU,W  33-7,5,2,0.4,0,0
Brandon Bolden,NE,@ DEN,W  41-16,2,1,0.5,0,0
Tarik Cohen,CHI,vs GB,L  16-23,1,1,1.0,0,0
Jalston Fowler,TEN,vs CIN,W  24-20,1,1,1.0,0,0
Chris Ivory,JAX,vs LAC,W  20-17,1,1,1.0,0,0
Braxton Miller,HOU,@ LA,L  7-33,1,1,1.0,0,0
Drew Stanton,ARI,vs SEA,L  16-22,1,1,1.0,0,0
Tom Brady,NE,@ DEN,W  41-16,1,0,0.0,0,0
Benny Cunningham,CHI,vs GB,L  16-23,1,0,0.0,0,1
Andy Dalton,CIN,@ TEN,L  20-24,1,0,0.0,0,2
Patrick DiMarco,BUF,vs NO,L  10-47,1,0,0.0,0,0
Kyle Juszczyk,SF,vs NYG,W  31-21,1,0,0.0,0,1
Tom Savage,HOU,@ LA,L  7-33,2,0,0.0,0,2
Jay Cutler,MIA,@ CAR,L  21-45,1,-1,-1.0,0,0
Case Keenum,MIN,@ WAS,W  38-30,3,-1,-0.3,0,0
Brock Osweiler,DEN,vs NE,L  16-41,1,-1,-1.0,0,0
Philip Rivers,LAC,@ JAX,L  17-20,2,-1,-0.5,0,0
Derek Anderson,CAR,vs MIA,W  45-21,2,-2,-1.0,0,0
Peyton Barber,TB,vs NYJ,W  15-10,2,-2,-1.0,0,0
Chase Daniel,NO,@ BUF,W  47-10,3,-2,-0.7,0,0
Darren McFadden,DAL,@ ATL,L  7-27,1,-2,-2.0,0,0
Mike Tolbert,BUF,vs NO,L  10-47,2,-2,-1.0,0,0
Deonte Thompson,BUF,vs NO,L  10-47,1,-5,-5.0,0,0
Martavis Bryant,PIT,@ IND,W  20-17,1,-9,-9.0,0,0
