Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Dak Prescott,DAL,vs PHI,W  29-23,42,54,455,3,2,3,1,104.9
Andrew Luck,IND,@ HOU,W  24-21,27,41,399,2,1,2,0,103.6
Patrick Mahomes,KC,vs BAL,W  27-24,35,53,377,2,1,3,0,91.5
Tom Brady,NE,@ MIA,L  33-34,27,43,358,3,0,2,0,112.4
Nick Mullens,SF,vs DEN,W  20-14,20,33,332,2,1,3,0,102.1
Derek Carr,OAK,vs PIT,W  24-21,25,34,322,2,0,4,1,122.4
Ben Roethlisberger,PIT,@ OAK,L  21-24,25,29,282,2,0,1,0,130.2
Deshaun Watson,HOU,vs IND,L  21-24,27,38,267,1,0,5,0,99.3
Cam Newton,CAR,@ CLE,L  20-26,26,42,265,0,1,1,0,70.0
Ryan Tannehill,MIA,vs NE,W  34-33,14,19,265,3,0,4,0,155.2
Matt Ryan,ATL,@ GB,L  20-34,28,42,262,3,1,2,0,97.5
Cody Kessler,JAX,@ TEN,L  9-30,25,43,240,1,0,4,1,81.5
Josh Rosen,ARI,vs DET,L  3-17,26,41,240,0,1,3,0,69.2
Baker Mayfield,CLE,vs CAR,W  26-20,18,22,238,1,0,1,0,126.9
Carson Wentz,PHI,@ DAL,L  23-29,22,32,228,3,0,2,1,120.3
Philip Rivers,LAC,vs CIN,W  26-21,19,29,220,1,0,2,0,99.8
Jameis Winston,TB,vs NO,L  14-28,18,38,213,2,1,4,0,71.5
Kirk Cousins,MIN,@ SEA,L  7-21,20,33,208,1,0,2,1,89.0
Josh Allen,BUF,vs NYJ,L  23-27,18,36,206,0,2,3,1,44.4
Drew Brees,NO,@ TB,W  28-14,24,31,201,1,1,1,1,90.9
Eli Manning,NYG,@ WAS,W  40-16,14,22,197,3,0,2,0,132.0
Aaron Rodgers,GB,vs ATL,W  34-20,21,32,196,2,0,4,0,103.1
Josh Johnson,WAS,vs NYG,L  16-40,11,16,195,1,1,0,0,104.9
Case Keenum,DEN,@ SF,L  14-20,24,42,186,1,0,2,0,76.1
Jared Goff,LA,@ CHI,L  6-15,20,44,180,0,4,3,0,19.1
Sam Darnold,NYJ,@ BUF,W  27-23,16,24,170,1,1,0,0,83.7
Jeff Driskel,CIN,@ LAC,L  21-26,18,27,170,1,0,3,0,96.2
Marcus Mariota,TEN,vs JAX,W  30-9,18,24,162,0,1,1,0,75.3
Lamar Jackson,BAL,@ KC,L  24-27,13,24,147,2,0,2,1,100.5
Mitchell Trubisky,CHI,vs LA,W  15-6,16,30,110,1,3,1,0,33.3
Matthew Stafford,DET,@ ARI,W  17-3,15,23,101,0,0,1,0,74.7
Russell Wilson,SEA,vs MIN,W  21-7,10,20,72,0,1,2,0,37.9
Mark Sanchez,WAS,vs NYG,L  16-40,6,14,38,0,2,5,0,10.7
Taylor Heinicke,CAR,@ CLE,L  20-26,1,1,33,0,0,0,0,118.8
Joshua Dobbs,PIT,@ OAK,L  21-24,4,9,24,0,1,0,0,12.0
Johnny Hekker,LA,@ CHI,L  6-15,1,1,7,0,0,0,0,95.8
Robert Griffin,BAL,@ KC,L  24-27,0,2,0,0,0,0,0,39.6
Zay Jones,BUF,vs NYJ,L  23-27,0,1,0,0,0,0,0,39.6
Jarvis Landry,CLE,vs CAR,W  26-20,0,1,0,0,0,0,1,39.6
Kyle Lauletta,NYG,@ WAS,W  40-16,0,5,0,0,1,0,0,0.0
Josh McCown,NYJ,@ BUF,W  27-23,0,1,0,0,0,0,0,39.6
Brock Osweiler,MIA,vs NE,W  34-33,0,0,0,0,0,1,0,0.0
