Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Tress Way,WAS,@ TEN,L  16-25,2,107,53.5,45.5,0,0,57,0
Johnny Hekker,LA,@ ARI,W  31-9,2,103,51.5,51.0,0,2,59,0
Bryan Anger,TB,@ DAL,L  20-27,2,102,51.0,44.5,0,0,57,0
Colby Wadman,DEN,@ OAK,L  14-27,6,306,51.0,23.3,3,1,65,0
Sam Koch,BAL,@ LAC,W  22-10,3,150,50.0,39.0,0,1,57,0
Andy Lee,ARI,vs LA,L  9-31,5,246,49.2,44.0,0,4,56,0
Jordan Berry,PIT,@ NO,L  28-31,2,98,49.0,39.0,1,0,57,0
Riley Dixon,NYG,@ IND,L  27-28,3,145,48.3,47.3,0,1,52,0
Dustin Colquitt,KC,@ SEA,L  31-38,3,144,48.0,43.7,0,1,57,0
Cameron Johnston,PHI,vs HOU,W  32-30,2,96,48.0,34.0,1,0,48,0
Matt Wile,MIN,@ DET,W  27-9,6,288,48.0,45.0,0,1,58,0
Matt Bosher,ATL,@ CAR,W  24-10,5,235,47.0,43.8,0,2,54,0
Thomas Morstead,NO,vs PIT,W  31-28,3,141,47.0,47.0,0,1,56,0
Rigoberto Sanchez,IND,vs NYG,W  28-27,4,186,46.5,46.5,0,3,63,0
Matt Haack,MIA,vs JAX,L  7-17,6,278,46.3,38.7,0,3,54,0
Bradley Pinion,SF,vs CHI,L  9-14,4,181,45.3,45.3,0,1,49,0
Johnny Townsend,OAK,vs DEN,W  27-14,5,225,45.0,45.0,0,3,64,0
Britton Colquitt,CLE,vs CIN,W  26-18,2,88,44.0,28.7,0,0,47,1
Lachlan Edwards,NYJ,vs GB,L  38-44,4,176,44.0,44.0,0,2,52,0
Kevin Huber,CIN,@ CLE,L  18-26,5,219,43.8,37.4,1,2,51,0
Ryan Allen,NE,vs BUF,W  24-12,6,259,43.2,41.2,0,3,55,0
Michael Palardy,CAR,vs ATL,L  10-24,3,128,42.7,39.7,0,1,56,0
Brett Kern,TEN,vs WAS,W  25-16,4,169,42.3,42.3,0,4,50,0
Donnie Jones,LAC,vs BAL,L  10-22,7,291,41.6,39.1,0,2,49,0
Chris Jones,DAL,vs TB,W  27-20,4,166,41.5,41.5,0,1,48,0
Sam Martin,DET,vs MIN,L  9-27,6,249,41.5,40.2,0,4,52,0
Trevor Daniel,HOU,@ PHI,L  30-32,4,161,40.3,37.5,0,2,51,0
Pat O'Donnell,CHI,@ SF,W  14-9,3,119,39.7,33.0,1,1,49,0
Matt Darr,BUF,@ NE,L  12-24,6,230,38.3,32.2,0,0,55,0
J.K. Scott,GB,@ NYJ,W  44-38,3,113,37.7,33.7,0,0,41,0
Logan Cooke,JAX,@ MIA,W  17-7,5,188,37.6,35.2,0,4,45,0
Michael Dickson,SEA,vs KC,W  38-31,3,104,34.7,34.7,0,1,46,0
