Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Justin Tucker,BAL,vs,W  29-26,5,5,2,2,17
Adam Vinatieri,IND,@ CAR,L  26-29,4,4,2,2,14
Dan Bailey,DAL,vs SEA,L  12-13,4,4,0,0,12
Connor Barth,TB,@ ATL,W  23-20,3,3,2,2,11
Graham Gano,CAR,vs IND,W  29-26,3,3,2,3,11
Blair Walsh,MIN,@ CHI,W  23-20,3,3,2,2,11
Chandler Catanzaro,ARI,@ CLE,W  34-20,2,2,4,4,10
Kai Forbath,NO,vs NYG,W  52-49,1,1,7,7,10
Stephen Gostkowski,NE,vs MIA,W  36-7,2,2,4,4,10
Sebastian Janikowski,OAK,vs NYJ,W  34-20,2,3,4,4,10
Mike Nugent,CIN,@ PIT,W  16-10,3,4,1,1,10
Brandon McManus,DEN,vs GB,W  29-10,2,2,3,3,9
Cairo Santos,KC,vs DET,W  45-10,1,1,6,6,9
Matt Bryant,ATL,vs TB,L  20-23,2,2,2,2,8
Nick Folk,NYJ,@ OAK,L  20-34,2,2,2,2,8
Robbie Gould,CHI,vs MIN,L  20-23,2,3,2,2,8
Josh Lambo,,@ BAL,L  26-29,2,2,2,3,8
Nick Novak,HOU,vs TEN,W  20-6,2,2,2,2,8
Josh Brown,NYG,@ NO,L  49-52,0,0,7,7,7
Stephen Hauschka,SEA,@ DAL,W  13-12,2,3,1,1,7
Phil Dawson,SF,@,L  6-27,2,2,0,0,6
Ryan Succop,TEN,@ HOU,L  6-20,2,2,0,0,6
Greg Zuerlein,,vs SF,W  27-6,1,2,2,2,5
Chris Boswell,PIT,vs CIN,L  10-16,1,1,1,1,4
Mason Crosby,GB,@ DEN,L  10-29,1,1,1,1,4
Matt Prater,DET,@ KC,L  10-45,1,1,1,1,4
Travis Coons,CLE,vs ARI,L  20-34,0,0,2,3,2
Andrew Franks,MIA,@ NE,L  7-36,0,1,1,1,1
