Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Kyler Fackrell,GB,@ SEA,L  24-27,3.0,20.0,4,5,1,0,0
Vic Beasley,ATL,vs DAL,L  19-22,2.0,17.0,2,3,0,0,0
Frank Clark,SEA,vs GB,W  27-24,2.0,4.0,2,3,1,0,0
Aaron Donald,LA,vs KC,W  54-51,2.0,27.0,2,2,2,2,0
Javon Hargrave,PIT,@ JAX,W  20-16,2.0,13.0,2,4,0,0,0
Chandler Jones,ARI,vs OAK,L  21-23,2.0,8.0,2,3,0,0,0
Chris Jones,KC,@ LA,L  51-54,2.0,13.0,4,6,0,0,0
Ryan Kerrigan,WAS,vs HOU,L  21-23,2.0,15.0,2,2,1,0,0
Gerald McCoy,TB,@ NYG,L  35-38,2.0,18.0,2,4,0,0,0
T.J. Watt,PIT,@ JAX,W  20-16,2.0,11.0,1,6,0,2,0
Demarcus Lawrence,DAL,@ ATL,W  22-19,1.5,10.5,3,3,2,0,0
Jason Pierre-Paul,TB,@ NYG,L  35-38,1.5,13.0,2,4,3,0,0
Jabaal Sheard,IND,vs TEN,W  38-10,1.5,12.0,2,3,1,0,0
Ezekiel Ansah,DET,vs CAR,W  20-19,1.0,9.0,2,1,1,0,0
Geno Atkins,CIN,@ BAL,L  21-24,1.0,2.0,2,2,0,0,0
Denico Autry,IND,vs TEN,W  38-10,1.0,7.0,1,2,0,0,0
Allen Bailey,KC,@ LA,L  51-54,1.0,1.0,1,1,0,0,2
Antoine Bethea,ARI,vs OAK,L  21-23,1.0,4.0,1,6,2,0,0
Andrew Billings,CIN,@ BAL,L  21-24,1.0,7.0,1,3,0,0,0
Calais Campbell,JAX,vs PIT,L  16-20,1.0,9.0,1,2,2,0,0
Bradley Chubb,DEN,@ LAC,W  23-22,1.0,9.0,2,4,3,0,0
Jadeveon Clowney,HOU,@ WAS,W  23-21,1.0,9.0,1,4,0,0,0
Jarrad Davis,DET,vs CAR,W  20-19,1.0,12.0,1,6,0,0,0
Samson Ebukam,LA,vs KC,W  54-51,1.0,3.0,2,2,1,0,1
Adam Gotsis,DEN,@ LAC,W  23-22,1.0,5.0,1,2,2,0,0
Rasheem Green,SEA,vs GB,W  27-24,1.0,6.0,1,1,1,0,0
Randy Gregory,DAL,@ ATL,W  22-19,1.0,2.0,2,1,0,0,0
Cameron Heyward,PIT,@ JAX,W  20-16,1.0,7.0,1,4,1,0,1
Akiem Hicks,CHI,vs MIN,W  25-20,1.0,8.0,2,6,0,0,0
Justin Houston,KC,@ LA,L  51-54,1.0,12.0,0,4,0,1,0
Sam Hubbard,CIN,@ BAL,L  21-24,1.0,5.0,1,5,0,0,0
Maurice Hurst,OAK,@ ARI,W  23-21,1.0,8.0,1,5,0,0,0
Kareem Jackson,HOU,@ WAS,W  23-21,1.0,13.0,1,8,2,0,0
Devon Kennard,DET,vs CAR,W  20-19,1.0,5.0,1,3,1,0,0
Darius Leonard,IND,vs TEN,W  38-10,1.0,2.0,1,5,2,1,0
Khalil Mack,CHI,vs MIN,W  25-20,1.0,8.0,2,2,0,1,1
Kareem Martin,NYG,vs TB,W  38-35,1.0,7.0,1,4,3,0,0
Jacob Martin,SEA,vs GB,W  27-24,1.0,5.0,1,1,0,0,0
Tyrann Mathieu,HOU,@ WAS,W  23-21,1.0,7.0,1,8,1,0,0
Whitney Mercilus,HOU,@ WAS,W  23-21,1.0,2.0,1,2,1,0,0
Von Miller,DEN,@ LAC,W  23-22,1.0,3.0,1,1,0,0,0
Zach Moore,ARI,vs OAK,L  21-23,1.0,7.0,2,1,0,0,0
Yannick Ngakoue,JAX,vs PIT,L  16-20,1.0,8.0,3,1,0,0,0
Alex Okafor,NO,vs PHI,W  48-7,1.0,3.0,1,2,0,0,0
Julius Peppers,CAR,@ DET,L  19-20,1.0,5.0,1,2,0,0,0
Sheldon Rankins,NO,vs PHI,W  48-7,1.0,10.0,1,1,0,0,0
Craig Robertson,NO,vs PHI,W  48-7,1.0,5.0,1,2,0,0,0
Preston Smith,WAS,vs HOU,L  21-23,1.0,12.0,2,2,2,0,0
Kemoko Turay,IND,vs TEN,W  38-10,1.0,2.0,3,1,0,0,0
J.J. Watt,HOU,@ WAS,W  23-21,1.0,4.0,1,3,1,0,0
Vince Williams,PIT,@ JAX,W  20-16,1.0,9.0,2,6,4,0,0
Xavier Williams,KC,@ LA,L  51-54,1.0,8.0,1,3,1,0,0
