Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Marquette King,OAK,@ JAX,W  33-16,5,273,54.6,50.6,0,4,60,0
Sam Martin,DET,vs WAS,W  20-17,3,153,51.0,45.7,0,1,58,0
Pat McAfee,IND,@ TEN,W  34-26,4,204,51.0,39.3,2,0,60,0
Sam Koch,BAL,@ NYJ,L  16-24,6,305,50.8,47.8,0,3,59,0
Matt Bosher,ATL,vs,L  30-33,2,101,50.5,50.5,0,2,58,0
Donnie Jones,PHI,vs MIN,W  21-10,4,202,50.5,43.3,1,1,60,0
Brad Wing,NYG,@ LA,W  17-10,8,398,49.8,43.8,1,2,61,0
Jordan Berry,PIT,vs NE,L  16-27,4,195,48.8,41.8,0,1,55,0
Shane Lechler,HOU,@ DEN,L  9-27,5,242,48.4,41.8,0,1,62,0
Thomas Morstead,NO,@ KC,L  21-27,4,193,48.3,48.3,0,4,50,0
Dustin Colquitt,KC,vs NO,W  27-21,4,191,47.8,35.3,2,1,60,0
Brad Nortman,JAX,vs OAK,L  16-33,5,239,47.8,39.6,0,0,56,0
Brett Kern,TEN,vs IND,L  26-34,4,188,47.0,42.5,0,3,62,0
Johnny Hekker,LA,vs NYG,L  10-17,7,322,46.0,44.1,0,6,60,0
Jon Ryan,SEA,@ ARI,T 6-6,9,414,46.0,42.3,0,2,58,0
Jacob Schum,GB,vs CHI,W  26-10,1,46,46.0,46.0,0,0,46,0
Drew Kaser,,@ ATL,W  33-30,2,91,45.5,45.5,0,0,48,0
Jeff Locke,MIN,@ PHI,L  10-21,4,181,45.3,45.3,0,2,50,0
Colton Schmidt,BUF,@ MIA,L  25-28,7,316,45.1,41.1,0,2,57,0
Pat O'Donnell,CHI,@ GB,L  10-26,5,225,45.0,43.8,0,3,48,0
Kevin Huber,CIN,vs CLE,W  31-17,2,89,44.5,33.0,1,0,48,0
Tress Way,WAS,@ DET,L  17-20,2,86,43.0,33.0,1,1,59,0
Riley Dixon,DEN,vs HOU,W  27-9,6,255,42.5,40.7,0,2,49,0
Bradley Pinion,SF,vs TB,L  17-34,6,254,42.3,39.8,0,3,57,0
Britton Colquitt,CLE,@ CIN,L  17-31,5,209,41.8,41.2,0,4,54,0
Ryan Allen,NE,@ PIT,W  27-16,5,203,40.6,32.6,2,0,57,0
Lachlan Edwards,NYJ,vs BAL,W  24-16,6,237,39.5,38.0,0,3,52,0
Bryan Anger,TB,@ SF,W  34-17,3,117,39.0,39.0,0,2,42,0
Ryan Quigley,ARI,vs SEA,T 6-6,6,229,38.2,29.9,1,3,53,1
Matt Darr,MIA,vs BUF,W  28-25,5,175,35.0,25.0,1,0,45,0
