Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Matt Bryant,ATL,@ CAR,W  33-16,4,5,3,3,15
Jason Myers,JAX,vs TEN,W  38-17,4,4,2,4,14
Robbie Gould,NYG,@ PHI,L  19-24,4,4,1,1,13
Justin Tucker,BAL,@ PIT,L  27-31,4,4,1,1,13
Stephen Gostkowski,NE,vs NYJ,W  41-3,2,2,5,5,11
Dustin Hopkins,WAS,@ CHI,W  41-21,2,2,5,5,11
Wil Lutz,NO,vs TB,W  31-24,3,3,2,2,11
Chandler Catanzaro,ARI,@ SEA,W  34-31,2,3,4,4,10
Andrew Franks,MIA,@ BUF,W  34-31,2,3,4,4,10
Graham Gano,CAR,vs ATL,L  16-33,3,3,1,1,10
Cairo Santos,KC,vs DEN,W  33-10,2,3,3,4,9
Mason Crosby,GB,vs MIN,W  38-25,1,1,5,5,8
Cody Parkey,CLE,vs,W  20-17,2,2,2,2,8
Chris Boswell,PIT,vs BAL,W  31-27,1,1,4,4,7
Dan Carpenter,BUF,vs MIA,L  31-34,1,3,4,4,7
Kai Forbath,MIN,@ GB,L  25-38,2,2,1,2,7
Roberto Aguayo,TB,@ NO,L  24-31,1,1,3,3,6
Dan Bailey,DAL,vs DET,W  42-21,0,0,6,6,6
Nick Novak,HOU,vs CIN,W  12-10,2,2,0,1,6
Caleb Sturgis,PHI,vs NYG,W  24-19,1,1,3,3,6
Stephen Hauschka,SEA,vs ARI,L  31-34,1,2,2,3,5
Josh Lambo,,@ CLE,L  17-20,1,3,2,2,5
Ryan Succop,TEN,@ JAX,L  17-38,1,1,2,2,5
Adam Vinatieri,IND,@ OAK,L  25-33,1,1,2,2,5
Randy Bullock,CIN,@ HOU,L  10-12,1,2,1,1,4
Brandon McManus,DEN,@ KC,L  10-33,1,1,1,1,4
Connor Barth,CHI,vs WAS,L  21-41,0,1,3,3,3
Nick Folk,NYJ,@ NE,L  3-41,1,2,0,0,3
Sebastian Janikowski,OAK,vs IND,W  33-25,0,0,3,5,3
Matt Prater,DET,@ DAL,L  21-42,0,1,3,3,3
Greg Zuerlein,LA,vs SF,L  21-22,0,0,3,3,3
Phil Dawson,SF,@ LA,W  22-21,0,0,2,2,2
