Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Kevin Huber,CIN,@ BAL,W  28-24,3,164,54.7,43.0,0,1,57,0
Sam Martin,DET,vs DEN,L  12-24,5,266,53.2,46.6,1,1,66,0
Andy Lee,CLE,vs OAK,L  20-27,4,211,52.8,51.3,0,2,67,0
Matt Bosher,ATL,@ DAL,W  39-28,4,205,51.3,45.3,0,1,60,0
Dustin Colquitt,KC,@ GB,L  28-38,6,301,50.2,45.2,0,2,61,0
Pat McAfee,IND,@ TEN,W  35-33,5,249,49.8,50.0,0,1,54,0
Jordan Berry,PIT,@,W  12-6,4,196,49.0,41.0,0,2,57,0
Matt Darr,MIA,vs BUF,L  14-41,4,196,49.0,47.3,0,3,59,0
Donnie Jones,PHI,@ NYJ,W  24-17,9,440,48.9,41.2,0,2,56,0
Bryan Anger,,@ NE,L  17-51,4,195,48.8,42.3,0,1,57,0
Pat O'Donnell,CHI,@ SEA,L  0-26,10,477,47.7,38.4,1,3,72,0
Bradley Pinion,SF,@ ARI,L  7-47,6,283,47.2,44.8,0,4,56,0
Ryan Quigley,NYJ,vs PHI,L  17-24,8,371,46.4,35.3,0,3,54,0
Thomas Morstead,NO,@ CAR,L  22-27,2,92,46.0,46.0,0,2,47,0
Colton Schmidt,BUF,@ MIA,W  41-14,3,137,45.7,39.3,0,1,49,0
Jacob Schum,TB,@ HOU,L  9-19,7,312,44.6,42.1,0,3,55,0
Shane Lechler,HOU,vs TB,W  19-9,6,266,44.3,33.0,1,3,54,0
Mike Scifres,,@ MIN,L  14-31,6,263,43.8,37.5,0,2,68,0
Sam Koch,BAL,vs CIN,L  24-28,4,174,43.5,37.3,0,1,47,0
Brad Nortman,CAR,vs NO,W  27-22,4,173,43.3,22.8,0,1,55,0
Tim Masthay,GB,vs KC,W  38-28,5,215,43.0,39.4,0,2,49,0
Brad Wing,NYG,vs WAS,W  32-21,4,171,42.8,40.3,0,2,45,0
Britton Colquitt,DEN,@ DET,W  24-12,5,213,42.6,37.0,0,3,50,0
Johnny Hekker,,vs PIT,L  6-12,4,170,42.5,37.5,1,2,50,0
Brett Kern,TEN,vs IND,L  33-35,5,212,42.4,42.4,0,2,49,0
Jon Ryan,SEA,vs CHI,W  26-0,4,166,41.5,41.5,0,2,46,0
Jeff Locke,MIN,vs,W  31-14,4,165,41.3,41.3,0,2,60,0
Chris Jones,DAL,vs ATL,L  28-39,4,159,39.8,39.8,0,3,45,0
Marquette King,OAK,@ CLE,W  27-20,4,157,39.3,37.0,0,1,46,0
Drew Butler,ARI,vs SF,W  47-7,4,144,36.0,21.8,1,2,40,0
Tress Way,WAS,@ NYG,L  21-32,1,36,36.0,18.0,0,0,36,1
