Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Tress Way,WAS,@ CAR,L  16-44,5,266,53.2,53.0,0,3,57,0
Shane Lechler,HOU,vs NYJ,W  24-17,8,417,52.1,42.3,2,1,63,0
Pat McAfee,IND,@ ATL,W  24-21,5,260,52.0,47.8,1,2,60,0
Brad Nortman,CAR,vs WAS,W  44-16,4,207,51.8,46.0,1,1,56,0
Matt Bosher,ATL,vs IND,L  21-24,5,253,50.6,47.2,0,3,60,0
Chris Jones,DAL,@ MIA,W  24-14,3,146,48.7,44.7,0,0,54,0
Kevin Huber,CIN,@ ARI,L  31-34,5,243,48.6,44.0,0,0,57,0
Bryan Anger,JAX,vs TEN,W  19-13,4,192,48.0,44.3,0,3,59,0
Sam Koch,BAL,vs,W  16-13,7,336,48.0,46.3,0,2,56,0
Sam Martin,DET,vs OAK,W  18-13,5,238,47.6,44.4,0,1,57,0
Mike Scifres,,vs KC,L  3-33,6,281,46.8,44.7,0,2,57,0
Donnie Jones,PHI,vs TB,L  17-45,6,279,46.5,40.0,1,2,51,0
Drew Butler,ARI,vs CIN,W  34-31,4,185,46.3,45.0,0,3,55,0
Johnny Hekker,,@ BAL,L  13-16,8,367,45.9,42.8,1,4,63,0
Colton Schmidt,BUF,@ NE,L  13-20,7,319,45.6,40.7,0,2,59,0
Ryan Quigley,NYJ,@ HOU,L  17-24,8,364,45.5,40.0,1,3,51,0
Brett Kern,TEN,@ JAX,L  13-19,5,226,45.2,30.0,0,2,56,0
Jacob Schum,TB,@ PHI,W  45-17,4,179,44.8,38.3,1,2,51,0
Bradley Pinion,SF,@ SEA,L  13-29,7,306,43.7,43.6,0,2,52,0
Matt Darr,MIA,vs DAL,L  14-24,7,305,43.6,38.1,1,5,50,0
Marquette King,OAK,@ DET,L  13-18,5,217,43.4,39.0,0,3,66,0
Ryan Allen,NE,vs BUF,W  20-13,7,288,41.1,40.0,0,3,52,0
Jeff Locke,MIN,vs GB,L  13-30,6,245,40.8,36.0,1,1,48,0
Dustin Colquitt,KC,@,W  33-3,5,203,40.6,40.6,0,4,43,0
Britton Colquitt,DEN,@ CHI,W  17-15,7,277,39.6,39.0,0,3,46,0
Jon Ryan,SEA,vs SF,W  29-13,4,154,38.5,37.0,0,3,43,0
Tim Masthay,GB,@ MIN,W  30-13,4,152,38.0,38.0,0,2,50,0
Pat O'Donnell,CHI,vs DEN,L  15-17,4,137,34.3,34.3,0,2,41,0
