Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Ezekiel Ansah,DET,@ CIN,L  17-26,3.0,16.0,2,5,2,0,0
Mike Hilton,PIT,@ HOU,W  34-6,3.0,28.0,3,6,0,1,0
Marquis Flowers,NE,vs BUF,W  37-16,2.5,7.0,3,5,5,0,0
Kenny Clark,GB,vs MIN,L  0-16,2.0,11.0,2,2,3,0,0
Cameron Heyward,PIT,@ HOU,W  34-6,2.0,3.0,2,3,1,1,0
Cameron Jordan,NO,vs ATL,W  23-13,2.0,10.0,4,3,0,0,0
Ryan Kerrigan,WAS,vs DEN,W  27-11,2.0,17.0,4,3,1,0,0
Preston Smith,WAS,vs DEN,W  27-11,2.0,5.0,1,5,0,1,0
Wes Horton,CAR,vs TB,W  22-19,1.5,6.5,1,1,1,1,0
George Johnson,NO,vs ATL,W  23-13,1.5,4.5,3,1,1,0,0
Kawann Short,CAR,vs TB,W  22-19,1.5,13.5,2,1,4,1,0
Deatrich Wise,NE,vs BUF,W  37-16,1.5,4.0,2,1,1,0,0
Denico Autry,OAK,@ PHI,L  10-19,1.0,16.0,2,1,0,0,0
Michael Bennett,SEA,@ DAL,W  21-12,1.0,6.0,1,3,1,0,0
Malcom Brown,NE,vs BUF,W  37-16,1.0,15.0,1,3,3,0,0
Deone Bucannon,ARI,vs NYG,W  23-0,1.0,7.0,1,4,4,1,0
James Burgess,CLE,@ CHI,L  3-20,1.0,3.0,1,7,2,0,0
Malcolm Butler,NE,vs BUF,W  37-16,1.0,13.0,0,3,0,1,0
Taco Charlton,DAL,vs SEA,L  12-21,1.0,4.0,1,2,0,0,0
Frank Clark,SEA,@ DAL,W  21-12,1.0,11.0,2,2,2,0,0
Justin Currie,CLE,@ CHI,L  3-20,1.0,7.0,1,2,1,0,0
Carlos Dunlap,CIN,vs DET,W  26-17,1.0,5.0,2,2,2,0,0
Kyler Fackrell,GB,vs MIN,L  0-16,1.0,4.0,1,3,0,0,0
Myles Garrett,CLE,@ CHI,L  3-20,1.0,8.0,1,1,0,0,0
Shaquill Griffin,SEA,@ DAL,W  21-12,1.0,5.0,1,4,1,0,0
Charles Harris,MIA,@ KC,L  13-29,1.0,3.0,2,2,0,0,0
Willie Henry,BAL,vs IND,W  23-16,1.0,8.0,1,3,1,0,0
Jerry Hughes,BUF,@ NE,L  16-37,1.0,0.0,1,1,0,0,0
Dion Jordan,SEA,@ DAL,W  21-12,1.0,5.0,1,3,0,0,0
Demarcus Lawrence,DAL,vs SEA,L  12-21,1.0,22.0,2,2,0,0,0
Carl Lawson,CIN,vs DET,W  26-17,1.0,9.0,2,1,2,0,0
Cory Littleton,LA,@ TEN,W  27-23,1.0,6.0,2,3,4,0,0
Chris Long,PHI,vs OAK,W  19-10,1.0,3.0,4,2,1,1,0
Kareem Martin,ARI,vs NYG,W  23-0,1.0,6.0,0,1,2,1,0
Benson Mayowa,DAL,vs SEA,L  12-21,1.0,7.0,1,2,0,0,0
Gerald McCoy,TB,@ CAR,L  19-22,1.0,12.0,2,2,2,0,0
Barkevious Mingo,IND,@ BAL,L  16-23,1.0,17.0,1,7,0,0,0
