Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Bryan Anger,,@ BAL,W  22-20,7,364,52.0,41.4,1,0,56,0
Brett Kern,TEN,vs CAR,L  10-27,5,259,51.8,39.6,0,0,56,0
Ryan Quigley,NYJ,vs BUF,L  17-22,5,258,51.6,49.0,0,1,68,0
Ryan Allen,NE,@ NYG,W  27-26,4,200,50.0,39.8,0,1,57,0
Johnny Hekker,,vs CHI,L  13-37,6,296,49.3,47.8,0,3,60,0
Matt Darr,MIA,@ PHI,W  20-19,8,393,49.1,42.0,0,1,64,0
Jeff Locke,MIN,@ OAK,W  30-14,3,143,47.7,40.3,1,0,53,0
Thomas Morstead,NO,@ WAS,L  14-47,4,189,47.3,40.8,0,0,54,0
Brad Nortman,CAR,@ TEN,W  27-10,4,189,47.3,47.3,0,2,63,0
Shane Lechler,HOU,@ CIN,W  10-6,8,374,46.8,38.9,1,3,64,0
Pat O'Donnell,CHI,@,W  37-13,4,187,46.8,42.8,0,2,52,0
Britton Colquitt,DEN,vs KC,L  13-29,6,277,46.2,45.2,0,0,51,0
Dustin Colquitt,KC,@ DEN,W  29-13,5,226,45.2,43.0,0,4,59,0
Drew Butler,ARI,@ SEA,W  39-32,3,134,44.7,44.7,0,1,46,0
Tress Way,WAS,vs NO,W  47-14,2,87,43.5,38.5,0,1,56,0
Colton Schmidt,BUF,@ NYJ,W  22-17,8,347,43.4,41.6,0,2,57,0
Marquette King,OAK,vs MIN,L  14-30,6,257,42.8,40.3,0,2,50,0
Chris Jones,DAL,@ TB,L  6-10,6,255,42.5,42.0,0,4,56,0
Sam Martin,DET,@ GB,W  18-16,7,297,42.4,41.4,0,4,56,0
Donnie Jones,PHI,vs MIA,L  19-20,6,254,42.3,32.1,1,3,52,1
Jordan Berry,PIT,vs CLE,W  30-9,1,42,42.0,42.0,0,0,42,0
Jacob Schum,TB,vs DAL,W  10-6,4,167,41.8,36.0,0,1,49,0
Tim Masthay,GB,vs DET,L  16-18,9,372,41.3,37.0,0,3,55,0
Kevin Huber,CIN,vs HOU,L  6-10,7,288,41.1,39.7,0,1,59,0
Brad Wing,NYG,vs NE,L  26-27,4,164,41.0,20.0,0,1,53,0
Jon Ryan,SEA,vs ARI,L  32-39,5,204,40.8,35.0,0,2,57,0
Sam Koch,BAL,vs,L  20-22,5,202,40.4,36.0,1,3,45,0
Andy Lee,CLE,@ PIT,L  9-30,4,160,40.0,40.0,0,3,46,0
