Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Tyreek Hill,KC,@ LA,L  51-54,10,215,21.5,2,0
Davante Adams,GB,@ SEA,L  24-27,10,166,16.6,0,0
D.J. Moore,CAR,@ DET,L  19-20,7,157,22.4,1,0
Tre'Quan Smith,NO,vs PHI,W  48-7,10,157,15.7,1,0
T.Y. Hilton,IND,vs TEN,W  38-10,9,155,17.2,2,0
Travis Kelce,KC,@ LA,L  51-54,10,127,12.7,1,0
Stefon Diggs,MIN,@ CHI,L  20-25,13,126,9.7,1,0
Mike Evans,TB,@ NYG,L  35-38,6,120,20.0,1,0
Julio Jones,ATL,vs DAL,L  19-22,6,118,19.7,1,0
Antonio Brown,PIT,@ JAX,W  20-16,5,117,23.4,1,0
Kenny Golladay,DET,vs CAR,W  20-19,8,113,14.1,1,0
Brandin Cooks,LA,vs KC,W  54-51,8,107,13.4,0,0
JuJu Smith-Schuster,PIT,@ JAX,W  20-16,8,104,13.0,0,0
Michael Thomas,NO,vs PHI,W  48-7,4,92,23.0,1,0
Keenan Allen,LAC,vs DEN,L  22-23,9,89,9.9,1,0
Melvin Gordon,LAC,vs DEN,L  22-23,6,87,14.5,0,0
Antonio Gates,LAC,vs DEN,L  22-23,5,80,16.0,1,0
Josh Reynolds,LA,vs KC,W  54-51,6,80,13.3,1,0
Ezekiel Elliott,DAL,@ ATL,W  22-19,7,79,11.3,0,0
O.J. Howard,TB,@ NYG,L  35-38,5,78,15.6,0,0
Courtland Sutton,DEN,@ LAC,W  23-22,3,78,26.0,0,0
Keke Coutee,HOU,@ WAS,W  23-21,5,77,15.4,0,0
Christian Kirk,ARI,vs OAK,L  21-23,3,77,25.7,1,0
Odell Beckham,NYG,vs TB,W  38-35,4,74,18.5,1,0
Chris Conley,KC,@ LA,L  51-54,7,74,10.6,2,0
Robert Woods,LA,vs KC,W  54-51,4,72,18.0,1,0
Tyler Boyd,CIN,@ BAL,L  21-24,4,71,17.8,0,0
Tyler Lockett,SEA,vs GB,W  27-24,5,71,14.2,0,0
Jordan Reed,WAS,vs HOU,L  21-23,7,71,10.1,1,0
Evan Engram,NYG,vs TB,W  38-35,2,66,33.0,0,0
Adam Thielen,MIN,@ CHI,L  20-25,7,66,9.4,0,0
Tyler Higbee,LA,vs KC,W  54-51,6,63,10.5,0,0
Aaron Jones,GB,@ SEA,L  24-27,5,63,12.6,1,0
Adam Humphries,TB,@ NYG,L  35-38,3,60,20.0,1,0
Christian McCaffrey,CAR,@ DET,L  19-20,6,57,9.5,0,0
David Moore,SEA,vs GB,W  27-24,4,57,14.2,0,0
DeAndre Hopkins,HOU,@ WAS,W  23-21,5,56,11.2,1,1
Emmanuel Sanders,DEN,@ LAC,W  23-22,4,56,14.0,0,0
Mohamed Sanu,ATL,vs DAL,L  19-22,4,56,14.0,0,0
Mike Williams,LAC,vs DEN,L  22-23,2,56,28.0,0,0
Curtis Samuel,CAR,@ DET,L  19-20,5,55,11.0,1,0
Robert Tonyan,GB,@ SEA,L  24-27,1,54,54.0,1,0
Doug Baldwin,SEA,vs GB,W  27-24,7,52,7.4,1,0
Bruce Ellington,DET,vs CAR,W  20-19,6,52,8.7,0,0
Taylor Gabriel,CHI,vs MIN,W  25-20,7,52,7.4,0,0
Cole Beasley,DAL,@ ATL,W  22-19,5,51,10.2,0,0
Willie Snead,BAL,vs CIN,W  24-21,5,51,10.2,0,0
Marcell Ateman,OAK,@ ARI,W  23-21,4,50,12.5,0,0
Chris Godwin,TB,@ NYG,L  35-38,3,50,16.7,0,0
Gerald Everett,LA,vs KC,W  54-51,3,49,16.3,2,0
Trey Quinn,WAS,vs HOU,L  21-23,4,49,12.2,0,0
Golden Tate,PHI,@ NO,L  7-48,5,48,9.6,0,0
Leonard Fournette,JAX,vs PIT,L  16-20,2,46,23.0,0,0
Anthony Firkser,TEN,@ IND,L  10-38,3,44,14.7,0,0
Jonnu Smith,TEN,@ IND,L  10-38,6,44,7.3,0,0
Jack Doyle,IND,vs TEN,W  38-10,4,43,10.8,0,0
Jordan Akins,HOU,@ WAS,W  23-21,2,42,21.0,0,0
Kareem Hunt,KC,@ LA,L  51-54,3,41,13.7,1,0
C.J. Uzomah,CIN,@ BAL,L  21-24,3,41,13.7,0,0
Austin Ekeler,LAC,vs DEN,L  22-23,2,40,20.0,0,0
Jarius Wright,CAR,@ DET,L  19-20,3,40,13.3,0,0
Devin Funchess,CAR,@ DET,L  19-20,2,39,19.5,0,0
Todd Gurley,LA,vs KC,W  54-51,3,39,13.0,0,0
Allen Robinson,CHI,vs MIN,W  25-20,3,39,13.0,0,0
DeSean Jackson,TB,@ NYG,L  35-38,4,38,9.5,0,0
Joe Mixon,CIN,@ BAL,L  21-24,3,38,12.7,0,0
Seth Roberts,OAK,@ ARI,W  23-21,4,38,9.5,0,0
Alvin Kamara,NO,vs PHI,W  48-7,1,37,37.0,1,0
Jordan Matthews,PHI,@ NO,L  7-48,3,37,12.3,0,0
Tajae Sharpe,TEN,@ IND,L  10-38,5,37,7.4,1,0
Nick Boyle,BAL,vs CIN,W  24-21,4,36,9.0,0,0
Amari Cooper,DAL,@ ATL,W  22-19,3,36,12.0,0,0
Dontrelle Inman,IND,vs TEN,W  38-10,4,34,8.5,1,0
Alshon Jeffery,PHI,@ NO,L  7-48,4,33,8.2,0,0
Keith Kirkwood,NO,vs PHI,W  48-7,3,33,11.0,0,0
Josh Doctson,WAS,vs HOU,L  21-23,3,32,10.7,0,0
Jalen Richard,OAK,@ ARI,W  23-21,3,32,10.7,0,0
Calvin Ridley,ATL,vs DAL,L  19-22,3,32,10.7,0,0
Jared Cook,OAK,@ ARI,W  23-21,3,31,10.3,1,0
Corey Davis,TEN,@ IND,L  10-38,2,30,15.0,0,0
Theo Riddick,DET,vs CAR,W  20-19,5,30,6.0,0,0
Brandon LaFell,OAK,@ ARI,W  23-21,2,29,14.5,1,0
Ryan Switzer,PIT,@ JAX,W  20-16,3,28,9.3,0,0
Tevin Coleman,ATL,vs DAL,L  19-22,3,27,9.0,0,0
Virgil Green,LAC,vs DEN,L  22-23,2,27,13.5,0,0
Austin Hooper,ATL,vs DAL,L  19-22,4,27,6.8,0,0
Phillip Lindsay,DEN,@ LAC,W  23-22,4,27,6.8,0,0
Vance McDonald,PIT,@ JAX,W  20-16,3,27,9.0,1,0
John Ross,CIN,@ BAL,L  21-24,2,27,13.5,1,0
Josh Hill,NO,vs PHI,W  48-7,2,26,13.0,0,0
Dan Arnold,NO,vs PHI,W  48-7,2,25,12.5,0,0
Anthony Miller,CHI,vs MIN,W  25-20,2,25,12.5,1,0
James Conner,PIT,@ JAX,W  20-16,6,24,4.0,0,0
Mike Davis,SEA,vs GB,W  27-24,2,24,12.0,0,0
Wayne Gallman,NYG,vs TB,W  38-35,2,24,12.0,0,0
Aldrick Robinson,MIN,@ CHI,L  20-25,2,24,12.0,1,0
Geoff Swaim,DAL,@ ATL,W  22-19,4,24,6.0,0,0
John Brown,BAL,vs CIN,W  24-21,1,23,23.0,0,0
Tarik Cohen,CHI,vs MIN,W  25-20,3,23,7.7,0,1
Larry Fitzgerald,ARI,vs OAK,L  21-23,2,23,11.5,2,0
Lamar Miller,HOU,@ WAS,W  23-21,3,22,7.3,0,0
Sterling Shepard,NYG,vs TB,W  38-35,2,22,11.0,0,0
Tyrell Williams,LAC,vs DEN,L  22-23,2,22,11.0,0,0
Giovani Bernard,CIN,@ BAL,L  21-24,4,20,5.0,0,0
Jeff Heuerman,DEN,@ LAC,W  23-22,4,20,5.0,0,0
Nyheim Hines,IND,vs TEN,W  38-10,1,20,20.0,0,0
Josh Adams,PHI,@ NO,L  7-48,3,19,6.3,0,0
Mark Andrews,BAL,vs CIN,W  24-21,1,19,19.0,0,0
