Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Greg Zuerlein,LA,@ OAK,W  33-13,4,5,3,3,15
Chandler Catanzaro,TB,@ NO,W  48-40,2,3,6,6,12
Jason Myers,NYJ,@ DET,W  48-17,2,2,6,6,12
Cody Parkey,CHI,@ GB,L  23-24,3,3,2,2,11
Justin Tucker,BAL,vs BUF,W  47-3,2,2,5,5,11
Adam Vinatieri,IND,vs CIN,L  23-34,3,4,2,2,11
Randy Bullock,CIN,@ IND,W  34-23,2,2,4,4,10
Robbie Gould,SF,@ MIN,L  16-24,3,3,1,1,10
Stephen Gostkowski,NE,vs HOU,W  27-20,2,2,3,3,9
Brandon McManus,DEN,vs SEA,W  27-24,2,2,3,3,9
Aldrick Rosas,NYG,vs JAX,L  15-20,3,3,0,0,9
Jason Sanders,MIA,vs TEN,W  27-20,2,2,3,3,9
Harrison Butker,KC,@ LAC,W  38-28,1,1,5,5,8
Ka'imi Fairbairn,HOU,@ NE,L  20-27,2,2,2,2,8
Josh Lambo,JAX,@ NYG,W  20-15,2,2,2,2,8
Ryan Succop,TEN,@ MIA,L  20-27,2,2,2,2,8
Mike Nugent,OAK,vs LA,L  13-33,2,2,1,1,7
Matt Bryant,ATL,@ PHI,L  12-18,2,2,0,1,6
Daniel Carlson,MIN,vs SF,W  24-16,1,1,3,3,6
Mason Crosby,GB,vs CHI,W  24-23,1,1,3,3,6
Dustin Hopkins,WAS,@ ARI,W  24-6,1,1,3,3,6
Sebastian Janikowski,SEA,@ DEN,L  24-27,1,2,3,3,6
Wil Lutz,NO,vs TB,L  40-48,1,1,3,3,6
Caleb Sturgis,LAC,vs KC,L  28-38,2,3,0,0,6
Matt Prater,DET,vs NYJ,L  17-48,1,3,2,2,5
Jake Elliott,PHI,vs ATL,W  18-12,1,1,1,1,4
Graham Gano,CAR,vs DAL,W  16-8,1,1,1,1,4
Chris Boswell,PIT,@ CLE,T 21-21,0,1,3,3,3
Zane Gonzalez,CLE,vs PIT,T 21-21,0,1,3,3,3
Stephen Hauschka,BUF,@ BAL,L  3-47,1,2,0,0,3
Brett Maher,DAL,@ CAR,L  8-16,0,1,0,0,0
