Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Matt Haack,MIA,vs TB,L  20-30,2,106,53.0,49.5,0,1,64,0
Jordan Berry,PIT,vs TEN,W  40-17,3,152,50.7,47.3,0,1,59,0
Tress Way,WAS,@ NO,L  31-34,5,248,49.6,38.0,1,1,60,0
Ryan Allen,NE,@ OAK,W  33-8,2,95,47.5,47.5,0,2,51,0
Brett Kern,TEN,@ PIT,L  17-40,3,142,47.3,39.7,0,0,54,0
Britton Colquitt,CLE,vs JAX,L  7-19,8,376,47.0,39.8,1,2,60,0
Chris Jones,DAL,vs PHI,L  9-37,5,234,46.8,46.8,0,3,61,0
Shane Lechler,HOU,vs ARI,W  31-21,6,281,46.8,42.3,1,0,55,0
Andy Lee,ARI,@ HOU,L  21-31,6,279,46.5,45.0,0,6,60,0
Pat O'Donnell,CHI,vs DET,L  24-27,4,186,46.5,40.8,0,1,55,0
Donnie Jones,PHI,@ DAL,W  37-9,6,275,45.8,42.5,1,1,61,0
Marquette King,OAK,vs NE,L  8-33,3,137,45.7,32.3,2,1,47,0
Ryan Quigley,MIN,vs LA,W  24-7,3,137,45.7,41.7,0,1,50,0
Kevin Huber,CIN,@ DEN,W  20-17,7,318,45.4,35.6,1,2,58,1
Brad Wing,NYG,vs KC,W  12-9,6,272,45.3,42.5,0,2,57,0
Riley Dixon,DEN,vs CIN,L  17-20,5,222,44.4,43.6,0,4,46,0
Dustin Colquitt,KC,@ NYG,L  9-12,5,215,43.0,41.4,0,4,58,0
Sam Martin,DET,@ CHI,W  27-24,4,172,43.0,40.0,0,3,53,0
Jon Ryan,SEA,vs ATL,L  31-34,1,43,43.0,43.0,0,0,43,0
Johnny Hekker,LA,@ MIN,L  7-24,6,254,42.3,40.8,0,4,56,0
Bryan Anger,TB,@ MIA,W  30-20,6,249,41.5,38.2,0,2,62,0
Sam Koch,BAL,@ GB,W  23-0,7,290,41.4,37.3,1,5,53,0
Justin Vogel,GB,vs BAL,L  0-23,5,202,40.4,34.8,0,1,47,0
Colton Schmidt,BUF,@ LAC,L  24-54,3,120,40.0,39.3,0,0,46,0
Thomas Morstead,NO,vs WAS,W  34-31,3,119,39.7,39.7,0,3,42,0
Brad Nortman,JAX,@ CLE,W  19-7,9,354,39.3,36.1,1,2,54,0
Matt Bosher,ATL,@ SEA,W  34-31,3,116,38.7,38.7,0,1,48,0
Drew Kaser,LAC,vs BUF,W  54-24,2,73,36.5,35.0,0,2,46,0
