Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Pat McAfee,IND,vs TB,W  25-12,3,156,52.0,49.7,0,2,57,0
Brad Wing,NYG,@ WAS,L  14-20,7,353,50.4,41.0,2,3,61,0
Mike Scifres,,@ JAX,W  31-25,5,247,49.4,36.5,0,1,54,1
Matt Bosher,ATL,vs MIN,L  10-20,2,98,49.0,47.5,0,0,53,0
Kevin Huber,CIN,vs,W  31-7,4,193,48.3,42.8,0,1,53,0
Donnie Jones,PHI,@ DET,L  14-45,6,288,48.0,46.3,0,2,60,0
Brett Kern,TEN,vs OAK,L  21-24,6,287,47.8,39.7,0,1,60,0
Jeff Locke,MIN,@ ATL,W  20-10,2,95,47.5,39.0,0,1,52,0
Shane Lechler,HOU,vs NO,W  24-6,4,189,47.3,29.3,3,0,51,0
Jacob Schum,TB,@ IND,L  12-25,3,142,47.3,40.7,0,0,54,0
Andy Lee,CLE,vs BAL,L  27-33,6,283,47.2,28.5,0,1,61,0
Chris Jones,DAL,vs CAR,L  14-33,3,141,47.0,47.0,0,0,50,0
Thomas Morstead,NO,@ HOU,L  6-24,6,281,46.8,41.7,0,2,53,0
Ryan Quigley,NYJ,vs MIA,W  38-20,5,234,46.8,37.4,0,1,57,0
Sam Martin,DET,vs PHI,W  45-14,4,184,46.0,45.3,0,0,47,0
Drew Butler,ARI,@ SF,W  19-13,4,183,45.8,35.8,2,0,58,0
Ryan Allen,NE,@ DEN,L  24-30,10,450,45.0,40.6,1,5,58,0
Matt Darr,MIA,@ NYJ,L  20-38,8,360,45.0,33.0,0,2,55,0
Johnny Hekker,,@ CIN,L  7-31,5,225,45.0,37.8,1,1,56,0
Tress Way,WAS,vs NYG,W  20-14,6,268,44.7,42.3,0,3,60,0
Britton Colquitt,DEN,vs NE,W  30-24,8,347,43.4,38.3,1,0,59,0
Sam Koch,BAL,@ CLE,W  33-27,4,171,42.8,39.8,0,1,46,0
Jon Ryan,SEA,vs PIT,W  39-30,6,255,42.5,36.3,1,3,63,0
Marquette King,OAK,@ TEN,W  24-21,4,169,42.3,41.0,0,3,59,0
Bradley Pinion,SF,vs ARI,L  13-19,4,166,41.5,37.8,0,2,46,0
Bryan Anger,JAX,vs,L  25-31,3,124,41.3,30.3,0,1,51,0
Pat O'Donnell,CHI,@ GB,W  17-13,8,323,40.4,37.8,1,4,46,0
Brad Nortman,CAR,@ DAL,W  33-14,2,80,40.0,36.0,0,1,58,0
Colton Schmidt,BUF,@ KC,L  22-30,3,119,39.7,33.0,1,1,44,0
Jordan Berry,PIT,@ SEA,L  30-39,2,79,39.5,39.5,0,1,43,0
Dustin Colquitt,KC,vs BUF,W  30-22,3,117,39.0,37.3,0,0,41,0
Tim Masthay,GB,vs CHI,L  13-17,5,178,35.6,34.2,0,2,45,0
