Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Drew Kaser,,@ DEN,L  19-27,5,285,57.0,46.0,2,2,62,0
Jacob Schum,GB,@ ATL,L  32-33,3,163,54.3,38.3,1,0,58,0
Andy Lee,CAR,vs ARI,W  30-20,3,157,52.3,50.3,0,1,60,0
Kevin Huber,CIN,vs WAS,T 27-27,5,261,52.2,43.6,1,1,61,0
Shane Lechler,HOU,vs DET,W  20-13,4,203,50.8,49.5,0,3,59,0
Riley Dixon,DEN,vs,W  27-19,5,253,50.6,47.8,0,0,68,0
Matt Bosher,ATL,vs GB,W  33-32,2,101,50.5,20.5,0,0,52,0
Pat McAfee,IND,vs KC,L  14-30,7,347,49.6,38.6,1,1,58,0
Dustin Colquitt,KC,@ IND,W  30-14,5,245,49.0,48.0,0,3,54,0
Jon Ryan,SEA,@ NO,L  20-25,3,146,48.7,42.0,1,1,58,0
Bryan Anger,TB,vs OAK,L  24-30,8,384,48.0,41.4,1,3,55,0
Lachlan Edwards,NYJ,@ CLE,W  31-28,6,282,47.0,42.3,0,3,57,0
Thomas Morstead,NO,vs SEA,W  25-20,2,92,46.0,39.0,0,0,48,0
Brad Nortman,JAX,@ TEN,L  22-36,6,275,45.8,41.0,1,1,60,0
Donnie Jones,PHI,@ DAL,L  23-29,6,269,44.8,41.7,0,2,62,0
Ryan Allen,NE,@ BUF,W  41-25,3,134,44.7,44.0,0,0,49,0
Sam Martin,DET,@ HOU,L  13-20,5,223,44.6,37.6,0,0,52,0
Chris Jones,DAL,vs PHI,W  29-23,5,222,44.4,38.6,1,1,60,0
Pat O'Donnell,CHI,vs MIN,W  20-10,5,222,44.4,41.4,0,3,53,0
Jeff Locke,MIN,@ CHI,L  10-20,7,309,44.1,37.6,1,3,71,0
Colton Schmidt,BUF,vs NE,L  25-41,3,131,43.7,37.3,0,1,56,0
Ryan Quigley,ARI,@ CAR,L  20-30,6,259,43.2,43.2,0,1,54,0
Tress Way,WAS,@ CIN,T 27-27,3,128,42.7,39.7,0,1,51,0
Britton Colquitt,CLE,vs NYJ,L  28-31,5,207,41.4,38.4,0,3,59,0
Marquette King,OAK,@ TB,W  30-24,6,240,40.0,40.0,0,4,67,0
Brett Kern,TEN,vs JAX,W  36-22,4,155,38.8,38.8,0,2,44,0
