Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Jon Ryan,SEA,@ BAL,W  35-6,3,153,51.0,35.7,0,0,63,0
Donnie Jones,PHI,vs BUF,W  23-20,7,353,50.4,43.3,0,1,63,0
Jordan Berry,PIT,@ CIN,W  33-20,2,98,49.0,49.0,0,1,53,0
Brad Nortman,CAR,vs ATL,W  38-0,4,196,49.0,46.5,0,0,65,0
Brett Kern,TEN,@ NYJ,L  8-30,6,289,48.2,42.8,0,1,55,0
Kevin Huber,CIN,vs PIT,L  20-33,2,96,48.0,46.5,0,0,48,0
Pat McAfee,IND,@,L  16-51,7,335,47.9,34.6,1,1,63,0
Johnny Hekker,,vs DET,W  21-14,6,284,47.3,45.5,0,4,61,0
Tim Masthay,GB,vs DAL,W  28-7,6,282,47.0,44.7,1,0,53,0
Mike Scifres,,@ KC,L  3-10,5,234,46.8,39.6,0,2,56,0
Matt Darr,MIA,vs NYG,L  24-31,6,280,46.7,37.5,1,4,68,0
Chris Jones,DAL,@ GB,L  7-28,7,325,46.4,44.6,0,3,55,0
Marquette King,OAK,@ DEN,W  15-12,10,460,46.0,44.3,0,5,55,0
Sam Martin,DET,@,L  14-21,7,322,46.0,41.0,1,2,59,0
Ryan Quigley,NYJ,vs TEN,W  30-8,3,138,46.0,38.7,1,2,51,0
Bryan Anger,,vs IND,W  51-16,5,228,45.6,44.2,0,1,53,0
Matt Bosher,ATL,@ CAR,L  0-38,5,228,45.6,37.6,2,3,61,0
Pat O'Donnell,CHI,vs WAS,L  21-24,5,228,45.6,40.2,1,3,54,0
Jeff Locke,MIN,@ ARI,L  20-23,2,91,45.5,43.5,0,0,49,0
Shane Lechler,HOU,vs NE,L  6-27,7,317,45.3,38.7,0,1,58,0
Sam Koch,BAL,vs SEA,L  6-35,5,226,45.2,41.2,1,3,56,0
Colton Schmidt,BUF,@ PHI,L  20-23,7,315,45.0,35.4,1,2,54,0
Brad Wing,NYG,@ MIA,W  31-24,4,180,45.0,37.5,0,0,54,0
Britton Colquitt,DEN,vs OAK,L  12-15,4,178,44.5,37.3,0,0,50,0
Drew Butler,ARI,vs MIN,W  23-20,3,133,44.3,37.7,1,1,49,0
Ryan Allen,NE,@ HOU,W  27-6,6,264,44.0,40.3,0,3,54,0
Thomas Morstead,NO,@ TB,W  24-17,4,175,43.8,33.8,2,2,53,0
Tress Way,WAS,@ CHI,W  24-21,4,172,43.0,34.0,1,1,64,0
Jacob Schum,TB,vs NO,L  17-24,5,206,41.2,39.8,0,1,52,0
Bradley Pinion,SF,@ CLE,L  10-24,7,286,40.9,36.4,1,3,44,0
Andy Lee,CLE,vs SF,W  24-10,3,119,39.7,27.7,0,2,51,0
Dustin Colquitt,KC,vs,W  10-3,4,154,38.5,33.5,1,2,48,0
