Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Blair Walsh,MIN,vs NYG,W  49-17,5,5,4,5,19
Robbie Gould,CHI,@ TB,W  26-21,4,4,2,2,14
Matt Prater,DET,vs SF,W  32-17,4,4,2,2,14
Nick Novak,HOU,@ TEN,W  34-6,2,2,4,4,10
Randy Bullock,NYJ,vs NE,W  26-20,2,2,2,2,8
Chandler Catanzaro,ARI,vs GB,W  38-8,1,1,5,5,8
Kai Forbath,NO,vs JAX,W  38-27,1,3,5,5,8
Stephen Gostkowski,NE,@ NYJ,L  20-26,2,2,2,2,8
Shayne Graham,ATL,vs CAR,W  20-13,2,3,2,2,8
Josh Lambo,,@ OAK,L  20-23,2,3,2,2,8
Brandon McManus,DEN,vs CIN,W  20-17,2,3,2,2,8
Justin Tucker,BAL,vs PIT,W  20-17,2,2,2,2,8
Travis Coons,CLE,@ KC,L  13-17,2,3,1,1,7
Graham Gano,CAR,@ ATL,L  13-20,2,2,1,1,7
Sebastian Janikowski,OAK,vs,W  23-20,2,2,1,1,7
Dan Bailey,DAL,@ BUF,L  6-16,2,3,0,0,6
Andrew Franks,MIA,vs IND,L  12-18,2,2,0,0,6
Dustin Hopkins,WAS,@ PHI,W  38-24,1,1,3,4,6
Caleb Sturgis,PHI,vs WAS,L  24-38,1,1,3,3,6
Chris Boswell,PIT,@ BAL,L  17-20,1,1,2,2,5
Josh Brown,NYG,@ MIN,L  17-49,1,1,2,2,5
Phil Dawson,SF,@ DET,L  17-32,1,2,2,2,5
Stephen Hauschka,SEA,vs,L  17-23,1,1,2,2,5
Mike Nugent,CIN,@ DEN,L  17-20,1,2,2,2,5
Cairo Santos,KC,vs CLE,W  17-13,1,1,2,2,5
Greg Zuerlein,,@ SEA,W  23-17,1,1,2,3,5
Dan Carpenter,BUF,vs DAL,W  16-6,1,1,1,2,4
Adam Vinatieri,IND,@ MIA,W  18-12,1,1,1,2,4
Connor Barth,TB,vs CHI,L  21-26,0,1,3,3,3
Jason Myers,JAX,@ NO,L  27-38,0,0,1,1,1
