Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Vic Beasley,ATL,@ PHI,L  15-24,2.0,10.0,1,3,1,1,0
Trey Flowers,NE,vs SEA,L  24-31,2.0,15.0,2,3,0,0,0
Chandler Jones,ARI,vs SF,W  23-20,2.0,7.0,2,4,0,0,0
Brian Orakpo,TEN,vs GB,W  47-25,2.0,19.0,2,4,0,0,0
Preston Smith,WAS,vs MIN,W  26-20,2.0,16.0,2,2,2,0,0
Robert Ayers,TB,vs CHI,W  36-10,1.5,6.5,3,5,1,1,0
Leonard Floyd,CHI,@ TB,L  10-36,1.5,9.0,2,3,2,0,0
Steve McLendon,NYJ,vs LA,L  6-9,1.5,2.5,2,3,1,0,0
Cameron Wake,MIA,@,W  31-24,1.5,7.0,2,2,1,0,0
Mario Addison,CAR,vs KC,L  17-20,1.0,5.0,1,1,0,0,0
Geno Atkins,CIN,@ NYG,L  20-21,1.0,11.0,3,2,0,0,0
Shaquil Barrett,DEN,@ NO,W  25-23,1.0,10.0,1,1,0,0,0
Connor Barwin,PHI,vs ATL,W  24-15,1.0,6.0,1,2,0,0,0
DeForest Buckner,SF,@ ARI,L  20-23,1.0,9.0,3,3,0,0,1
Morgan Burnett,GB,@ TEN,L  25-47,1.0,13.0,1,3,2,0,0
Kevin Byard,TEN,vs GB,W  47-25,1.0,8.0,1,7,0,0,0
Calais Campbell,ARI,vs SF,W  23-20,1.0,5.0,1,2,1,0,0
Anthony Chickillo,PIT,vs DAL,L  30-35,1.0,12.0,1,2,2,1,0
Frank Clark,SEA,@ NE,W  31-24,1.0,5.0,1,3,2,0,0
Jamie Collins,CLE,@ BAL,L  7-28,1.0,9.0,1,7,3,0,0
Aaron Colvin,JAX,vs HOU,L  21-24,1.0,7.0,1,1,0,0,0
Demario Davis,CLE,@ BAL,L  7-28,1.0,10.0,2,1,2,0,0
Dannell Ellerbe,NO,vs DEN,L  23-25,1.0,6.0,2,2,5,0,0
Nick Fairley,NO,vs DEN,L  23-25,1.0,5.0,2,3,1,0,0
Dee Ford,KC,@ CAR,W  20-17,1.0,7.0,2,2,1,0,0
Eddie Goldman,CHI,@ TB,L  10-36,1.0,6.0,1,3,1,0,0
Brandon Graham,PHI,vs ATL,W  24-15,1.0,6.0,1,3,0,0,0
Eli Harold,SF,@ ARI,L  20-23,1.0,4.0,1,1,0,1,0
William Hayes,LA,@ NYJ,W  9-6,1.0,6.0,2,3,0,0,0
Danielle Hunter,MIN,@ WAS,L  20-26,1.0,2.0,2,1,2,0,0
Melvin Ingram,,vs MIA,L  24-31,1.0,9.0,3,4,0,1,0
Timmy Jernigan,BAL,vs CLE,W  28-7,1.0,12.0,1,2,0,0,0
DaQuan Jones,TEN,vs GB,W  47-25,1.0,10.0,1,1,1,0,0
Chris Jones,KC,@ CAR,W  20-17,1.0,12.0,1,3,0,0,0
Cameron Jordan,NO,vs DEN,L  23-25,1.0,4.0,3,8,1,0,0
Demarcus Lawrence,DAL,@ PIT,W  35-30,1.0,8.0,1,4,0,1,0
Clinton McDonald,TB,vs CHI,W  36-10,1.0,5.0,2,1,0,0,0
Pernell McPhee,CHI,@ TB,L  10-36,1.0,15.0,1,2,0,0,0
Derrick Morgan,TEN,vs GB,W  47-25,1.0,9.0,2,2,0,0,0
Trent Murphy,WAS,vs MIN,W  26-20,1.0,7.0,3,2,1,0,0
Rob Ninkovich,NE,vs SEA,L  24-31,1.0,9.0,1,3,3,0,0
Sheldon Rankins,NO,vs DEN,L  23-25,1.0,2.0,1,2,0,0,0
D.J. Reader,HOU,@ JAX,W  24-21,1.0,8.0,1,2,0,0,0
Craig Robertson,NO,vs DEN,L  23-25,1.0,6.0,2,5,4,0,0
Kawann Short,CAR,vs KC,L  17-20,1.0,4.0,2,1,2,0,0
John Simon,HOU,@ JAX,W  24-21,1.0,10.0,2,6,0,0,0
Za'Darius Smith,BAL,vs CLE,W  28-7,1.0,9.0,1,2,1,1,0
Noah Spence,TB,vs CHI,W  36-10,1.0,6.0,1,2,0,1,0
Terrell Suggs,BAL,vs CLE,W  28-7,1.0,8.0,1,1,0,1,0
Robert Thomas,NYG,vs CIN,W  21-20,1.0,4.0,1,1,0,0,0
Stephon Tuitt,PIT,vs DAL,L  30-35,1.0,12.0,1,2,1,0,0
