Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Drew Brees,NO,vs TB,L  40-48,37,45,439,3,0,1,0,129.5
Philip Rivers,LAC,vs KC,L  28-38,34,51,424,3,1,1,0,103.7
Ryan Fitzpatrick,TB,@ NO,W  48-40,21,28,417,4,0,0,0,156.2
Ben Roethlisberger,PIT,@ CLE,T 21-21,23,41,335,1,3,4,2,60.5
Case Keenum,DEN,vs SEA,W  27-24,25,39,329,3,3,1,0,84.2
Andrew Luck,IND,vs CIN,L  23-34,39,53,319,2,1,2,0,93.2
Derek Carr,OAK,vs LA,L  13-33,29,40,303,0,3,1,0,62.8
Russell Wilson,SEA,@ DEN,L  24-27,19,33,298,3,2,6,0,92.7
Aaron Rodgers,GB,vs CHI,W  24-23,20,30,286,3,0,2,0,130.7
Matthew Stafford,DET,vs NYJ,L  17-48,27,46,286,1,4,0,0,47.9
Tom Brady,NE,vs HOU,W  27-20,26,39,277,3,1,2,0,102.2
Jimmy Garoppolo,SF,@ MIN,L  16-24,15,33,261,1,3,3,0,45.1
Patrick Mahomes,KC,@ LAC,W  38-28,15,27,256,4,0,1,0,127.5
Alex Smith,WAS,@ ARI,W  24-6,21,30,255,2,0,3,0,118.1
Matt Ryan,ATL,@ PHI,L  12-18,21,43,251,0,1,4,0,57.4
Kirk Cousins,MIN,vs SF,W  24-16,20,36,244,2,0,3,0,95.1
Andy Dalton,CIN,@ IND,W  34-23,21,28,243,2,1,2,0,109.7
Joe Flacco,BAL,vs BUF,W  47-3,25,34,236,3,0,1,0,121.7
Jared Goff,LA,@ OAK,W  33-13,18,33,233,2,0,1,0,97.2
Ryan Tannehill,MIA,vs TEN,W  27-20,20,28,230,2,2,1,0,89.9
Eli Manning,NYG,vs JAX,L  15-20,23,37,224,0,1,2,0,67.8
Sam Darnold,NYJ,@ DET,W  48-17,16,21,198,2,1,2,0,116.8
Tyrod Taylor,CLE,vs PIT,T 21-21,15,40,197,1,1,7,0,51.8
Blake Bortles,JAX,@ NYG,W  20-15,18,33,176,1,1,1,0,67.2
Deshaun Watson,HOU,@ NE,L  20-27,17,34,176,1,1,3,1,62.9
Mitchell Trubisky,CHI,@ GB,L  23-24,23,35,171,0,0,4,1,77.2
Dak Prescott,DAL,@ CAR,L  8-16,19,29,170,0,0,6,1,81.1
Cam Newton,CAR,vs DAL,W  16-8,17,26,161,0,0,3,0,82.4
Sam Bradford,ARI,vs WAS,L  6-24,20,34,153,0,1,2,1,57.6
Nick Foles,PHI,vs ATL,W  18-12,19,34,117,0,1,2,0,50.7
Blaine Gabbert,TEN,@ MIA,L  20-27,11,22,117,0,1,0,0,47.0
Marcus Mariota,TEN,@ MIA,L  20-27,9,16,103,0,2,0,0,36.2
Josh Allen,BUF,@ BAL,L  3-47,6,15,74,0,0,3,0,56.0
DeShone Kizer,GB,vs CHI,W  24-23,4,7,55,0,1,2,1,42.9
Lamar Jackson,BAL,vs BUF,W  47-3,1,4,24,0,0,1,0,52.1
Nathan Peterman,BUF,@ BAL,L  3-47,5,18,24,0,2,3,0,0.0
Nelson Agholor,PHI,vs ATL,W  18-12,1,1,15,0,0,0,0,118.8
Matt Cassel,DET,vs NYJ,L  17-48,2,6,14,0,1,0,0,2.8
