Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Wil Lutz,NO,vs SEA,W  25-20,4,4,1,1,13
Graham Gano,CAR,vs ARI,W  30-20,3,3,3,3,12
Cairo Santos,KC,@ IND,W  30-14,3,4,3,3,12
Ryan Succop,TEN,vs JAX,W  36-22,3,3,3,4,12
Dan Bailey,DAL,vs PHI,W  29-23,3,3,2,2,11
Stephen Gostkowski,NE,@ BUF,W  41-25,2,2,5,5,11
Caleb Sturgis,PHI,@ DAL,L  23-29,3,3,2,2,11
Matt Bryant,ATL,vs GB,W  33-32,2,2,3,3,9
Dustin Hopkins,WAS,@ CIN,T 27-27,2,4,3,3,9
Brandon McManus,DEN,vs,W  27-19,2,2,3,3,9
Connor Barth,CHI,vs MIN,W  20-10,2,2,2,2,8
Stephen Hauschka,SEA,@ NO,L  20-25,2,2,2,2,8
Nick Novak,HOU,vs DET,W  20-13,2,2,2,2,8
Cody Parkey,CLE,vs NYJ,L  28-31,2,2,2,2,8
Nick Folk,NYJ,@ CLE,W  31-28,1,1,4,4,7
Matt Prater,DET,@ HOU,L  13-20,2,3,1,1,7
Mason Crosby,GB,@ ATL,L  32-33,1,1,3,3,6
Sebastian Janikowski,OAK,@ TB,W  30-24,1,3,3,3,6
Dan Carpenter,BUF,vs NE,L  25-41,1,2,2,2,5
Roberto Aguayo,TB,vs OAK,L  24-30,1,1,1,2,4
Blair Walsh,MIN,@ CHI,L  10-20,1,1,1,1,4
Mike Nugent,CIN,vs WAS,T 27-27,0,1,3,4,3
Chandler Catanzaro,ARI,@ CAR,L  20-30,0,0,2,2,2
Jason Myers,JAX,@ TEN,L  22-36,0,0,2,2,2
Adam Vinatieri,IND,vs KC,L  14-30,0,0,2,2,2
Josh Lambo,,@ DEN,L  19-27,0,1,1,2,1
