Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Cameron Johnston,PHI,@ TEN,L  23-26,6,308,51.3,40.0,3,2,68,0
Riley Dixon,NYG,vs NO,L  18-33,4,204,51.0,42.3,1,0,60,0
Brett Kern,TEN,vs PHI,W  26-23,5,254,50.8,38.4,1,2,58,0
Andy Lee,ARI,vs SEA,L  17-20,5,253,50.6,42.8,0,1,56,0
Britton Colquitt,CLE,@ OAK,L  42-45,7,350,50.0,36.0,0,2,59,0
Lachlan Edwards,NYJ,@ JAX,L  12-31,7,345,49.3,44.9,1,1,61,0
Pat O'Donnell,CHI,vs TB,W  48-10,2,96,48.0,47.0,0,0,51,0
Michael Dickson,SEA,@ ARI,W  20-17,4,190,47.5,42.5,1,2,56,0
Thomas Morstead,NO,@ NYG,W  33-18,2,95,47.5,47.5,0,0,51,0
Bradley Pinion,SF,@ LAC,L  27-29,5,235,47.0,30.6,0,0,55,0
Logan Cooke,JAX,vs NYJ,W  31-12,4,185,46.3,44.5,0,3,54,0
Johnny Townsend,OAK,vs CLE,W  45-42,6,267,44.5,39.5,1,1,50,0
Rigoberto Sanchez,IND,vs HOU,L  34-37,5,220,44.0,40.0,0,2,57,0
Sam Koch,BAL,@ PIT,W  26-14,4,175,43.8,38.0,1,2,51,0
Corey Bojorquez,BUF,@ GB,L  0-22,8,348,43.5,41.0,0,4,50,0
Drew Kaser,LAC,vs SF,W  29-27,4,174,43.5,42.3,0,3,55,0
Bryan Anger,TB,@ CHI,L  10-48,5,214,42.8,40.0,0,1,51,0
Sam Martin,DET,@ DAL,L  24-26,4,171,42.8,37.8,1,2,52,0
J.K. Scott,GB,vs BUF,W  22-0,4,171,42.8,38.0,1,2,51,0
Dustin Colquitt,KC,@ DEN,W  27-23,4,168,42.0,31.5,2,0,44,0
Matt Haack,MIA,@ NE,L  7-38,7,293,41.9,35.4,0,0,52,0
Trevor Daniel,HOU,@ IND,W  37-34,5,207,41.4,37.6,0,4,51,0
Jordan Berry,PIT,vs BAL,L  14-26,5,206,41.2,40.4,0,1,47,0
Matt Bosher,ATL,vs CIN,L  36-37,1,41,41.0,28.0,0,0,41,0
Marquette King,DEN,vs KC,L  23-27,3,123,41.0,28.7,0,1,51,0
Ryan Allen,NE,vs MIA,W  38-7,2,80,40.0,28.5,0,0,44,0
Matt Wile,MIN,@ LA,L  31-38,4,159,39.8,38.8,0,1,48,0
Chris Jones,DAL,vs DET,W  26-24,2,78,39.0,39.0,0,1,42,0
Johnny Hekker,LA,vs MIN,W  38-31,2,71,35.5,35.5,0,0,39,0
Kevin Huber,CIN,@ ATL,W  37-36,1,31,31.0,15.5,0,1,31,1
