Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Eli Manning,NYG,vs PHI,L  29-34,37,57,434,3,1,1,0,98.1
Jimmy Garoppolo,SF,vs TEN,W  25-23,31,43,381,1,0,3,0,106.8
Blake Bortles,JAX,vs HOU,W  45-7,21,29,326,3,0,1,0,143.8
Mitchell Trubisky,CHI,@ DET,L  10-20,31,46,314,1,3,2,0,66.8
Jameis Winston,TB,vs ATL,L  21-24,27,35,299,3,0,2,0,130.5
Tom Brady,NE,@ PIT,W  27-24,22,35,298,1,1,2,0,87.6
Aaron Rodgers,GB,@ CAR,L  24-31,26,45,290,3,3,3,0,71.5
Joe Flacco,BAL,@ CLE,W  27-10,26,42,288,1,0,1,0,90.2
Drew Brees,NO,vs NYJ,W  31-19,26,36,281,2,1,0,0,101.7
Ben Roethlisberger,PIT,vs NE,L  24-27,22,30,281,2,1,2,0,110.6
Jay Cutler,MIA,@ BUF,L  16-24,28,49,274,0,3,3,0,47.5
Cam Newton,CAR,vs GB,W  31-24,20,31,242,4,0,1,0,128.0
Marcus Mariota,TEN,@ SF,L  23-25,23,33,241,2,0,1,0,110.8
Nick Foles,PHI,@ NYG,W  34-29,24,38,237,4,0,1,0,115.8
Matthew Stafford,DET,vs CHI,W  20-10,25,33,237,2,0,4,0,115.3
Case Keenum,MIN,vs CIN,W  34-7,20,23,236,2,0,2,0,138.4
Alex Smith,KC,vs LAC,W  30-13,23,30,231,2,0,1,0,120.3
Philip Rivers,LAC,@ KC,L  13-30,20,36,227,1,3,2,0,49.2
Tyrod Taylor,BUF,vs MIA,W  24-16,17,29,224,1,0,2,0,94.6
Dak Prescott,DAL,@ OAK,W  20-17,18,27,212,0,2,2,0,59.5
Matt Ryan,ATL,@ TB,W  24-21,17,31,212,1,0,1,0,87.0
Kirk Cousins,WAS,vs ARI,W  20-15,18,26,196,2,0,1,0,116.8
Brock Osweiler,DEN,@ IND,W  25-13,12,17,194,2,0,0,0,147.7
Blaine Gabbert,ARI,@ WAS,L  15-20,16,41,189,0,1,5,1,43.6
Bryce Petty,NYJ,@ NO,L  19-31,19,39,179,1,2,1,0,49.0
Derek Carr,OAK,vs DAL,L  17-20,21,38,171,2,0,0,1,84.4
Jacoby Brissett,IND,vs DEN,L  13-25,17,30,158,0,0,1,0,71.2
DeShone Kizer,CLE,vs BAL,L  10-27,20,37,146,0,2,2,1,41.0
Russell Wilson,SEA,vs LA,L  7-42,14,30,142,1,0,7,1,71.8
T.J. Yates,HOU,@ JAX,L  7-45,12,31,128,1,1,4,0,48.9
Jared Goff,LA,@ SEA,W  42-7,14,21,120,2,1,2,0,93.4
Andy Dalton,CIN,@ MIN,L  7-34,11,22,113,0,2,3,0,27.3
Trevor Siemian,DEN,@ IND,W  25-13,5,9,67,0,1,2,0,39.8
A.J. McCarron,CIN,@ MIN,L  7-34,3,6,19,0,0,0,0,56.9
Sean Mannion,LA,@ SEA,W  42-7,1,2,4,0,0,0,0,56.2
Teddy Bridgewater,MIN,vs CIN,W  34-7,0,2,0,0,1,0,0,0.0
