Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Dustin Colquitt,KC,@ NE,L  40-43,1,51,51.0,51.0,0,0,51,0
Riley Dixon,NYG,vs PHI,L  13-34,5,253,50.6,41.2,0,2,52,0
Corey Bojorquez,BUF,@ HOU,L  13-20,5,243,48.6,39.3,0,2,60,1
Cameron Johnston,PHI,@ NYG,W  34-13,5,240,48.0,48.0,0,2,53,0
Andy Lee,ARI,@ MIN,L  17-27,6,288,48.0,43.7,0,1,61,0
Rigoberto Sanchez,IND,@ NYJ,L  34-42,2,93,46.5,43.5,0,0,48,0
Matt Bosher,ATL,vs TB,W  34-29,4,180,45.0,41.3,0,1,54,0
Kevin Huber,CIN,vs PIT,L  21-28,6,270,45.0,41.3,0,4,63,0
Matt Wile,MIN,vs ARI,W  27-17,5,225,45.0,41.6,0,2,51,0
Michael Palardy,CAR,@ WAS,L  17-23,3,133,44.3,34.3,1,0,53,0
Sam Koch,BAL,@ TEN,W  21-0,4,175,43.8,43.8,0,2,48,0
Jordan Berry,PIT,@ CIN,W  28-21,4,172,43.0,41.5,0,3,69,0
Michael Dickson,SEA,@ OAK,W  27-3,2,86,43.0,43.0,0,2,50,0
Lachlan Edwards,NYJ,vs IND,W  42-34,1,43,43.0,43.0,0,0,43,0
Colby Wadman,DEN,vs LA,L  20-23,4,169,42.3,35.0,0,2,48,0
Bradley Pinion,SF,@ GB,L  30-33,3,126,42.0,40.0,0,0,47,0
Brett Kern,TEN,vs BAL,L  0-21,9,375,41.7,36.1,0,3,52,0
Donnie Jones,LAC,@ CLE,W  38-14,5,208,41.6,31.4,0,0,47,0
Logan Cooke,JAX,@ DAL,L  7-40,6,248,41.3,36.5,1,2,61,0
Chris Jones,DAL,vs JAX,W  40-7,3,123,41.0,41.7,0,1,49,0
Tress Way,WAS,vs CAR,W  23-17,4,164,41.0,40.8,0,2,51,0
Trevor Daniel,HOU,vs BUF,W  20-13,5,203,40.6,39.0,0,2,53,0
Bryan Anger,TB,@ ATL,L  29-34,2,81,40.5,33.5,0,1,44,0
Matt Haack,MIA,vs CHI,W  31-28,4,162,40.5,34.3,1,2,47,0
Britton Colquitt,CLE,vs LAC,L  14-38,6,242,40.3,34.3,0,5,54,0
Johnny Hekker,LA,@ DEN,W  23-20,3,120,40.0,40.0,0,3,52,0
Pat O'Donnell,CHI,@ MIA,L  28-31,2,79,39.5,39.5,0,1,42,0
J.K. Scott,GB,vs SF,W  33-30,4,155,38.8,33.8,1,1,41,0
Johnny Townsend,OAK,vs SEA,L  3-27,3,92,30.7,30.7,0,0,37,0
