Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Nick Foles,PHI,vs HOU,W  32-30,35,49,471,4,1,1,1,120.4
Aaron Rodgers,GB,@ NYJ,W  44-38,37,55,442,2,0,4,0,103.8
Ben Roethlisberger,PIT,@ NO,L  28-31,33,50,380,3,0,3,0,108.8
Andrew Luck,IND,vs NYG,W  28-27,31,47,357,2,1,1,0,94.0
Sam Darnold,NYJ,vs GB,L  38-44,24,35,341,3,0,2,0,128.4
Deshaun Watson,HOU,@ PHI,L  30-32,29,40,339,2,0,4,1,114.5
Jameis Winston,TB,@ DAL,L  20-27,34,48,336,1,0,3,2,97.2
Drew Brees,NO,vs PIT,W  31-28,27,39,326,1,0,2,0,103.2
Eli Manning,NYG,@ IND,L  27-28,25,33,309,1,1,0,0,101.7
Baker Mayfield,CLE,vs CIN,W  26-18,27,37,284,3,0,0,0,121.9
Taylor Heinicke,CAR,vs ATL,L  10-24,33,53,274,1,3,2,0,58.2
Patrick Mahomes,KC,@ SEA,L  31-38,23,40,273,3,0,1,0,103.4
Russell Wilson,SEA,vs KC,W  38-31,18,29,271,3,0,3,0,127.2
Kirk Cousins,MIN,@ DET,W  27-9,21,28,253,3,0,2,0,137.9
Mitchell Trubisky,CHI,@ SF,W  14-9,25,29,246,1,0,3,1,113.5
Nick Mullens,SF,vs CHI,L  9-14,22,38,241,0,1,1,0,65.8
Matt Ryan,ATL,@ CAR,W  24-10,15,26,239,3,0,1,1,126.9
Josh Allen,BUF,@ NE,L  12-24,20,41,217,1,2,0,0,52.6
Jared Goff,LA,@ ARI,W  31-9,19,24,216,1,0,2,1,118.1
Lamar Jackson,BAL,@ LAC,W  22-10,12,22,204,1,0,3,0,101.3
Case Keenum,DEN,@ OAK,L  14-27,23,37,202,2,2,1,0,72.1
Philip Rivers,LAC,vs BAL,L  10-22,23,37,181,0,2,4,0,51.7
Derek Carr,OAK,vs DEN,W  27-14,19,26,167,0,0,1,0,89.7
Dak Prescott,DAL,vs TB,W  27-20,20,25,161,1,0,1,0,106.8
Josh Johnson,WAS,@ TEN,L  16-25,13,23,153,1,2,2,0,55.2
Ryan Tannehill,MIA,vs JAX,L  7-17,15,22,146,1,1,3,0,82.8
Jeff Driskel,CIN,@ CLE,L  18-26,13,19,133,2,0,3,0,123.4
Tom Brady,NE,vs BUF,W  24-12,13,24,126,1,2,1,0,48.3
Matthew Stafford,DET,vs MIN,L  9-27,18,32,116,0,0,2,0,64.1
Marcus Mariota,TEN,vs WAS,W  25-16,10,13,110,0,0,2,0,101.4
Cody Kessler,JAX,@ MIA,W  17-7,12,17,106,0,0,5,1,86.9
Blaine Gabbert,TEN,vs WAS,W  25-16,7,11,101,1,0,1,0,123.7
Josh Rosen,ARI,vs LA,L  9-31,12,23,87,0,0,4,0,61.3
Mike Glennon,ARI,vs LA,L  9-31,5,7,63,0,0,0,0,99.1
Jarvis Landry,CLE,vs CIN,W  26-18,1,1,63,0,0,0,0,118.8
Matt Cassel,DET,vs MIN,L  9-27,5,11,45,0,0,1,0,57.0
Blake Bortles,JAX,@ MIA,W  17-7,5,6,39,0,0,1,0,93.8
Kyle Allen,CAR,vs ATL,L  10-24,4,4,38,0,0,0,0,106.2
Larry Fitzgerald,ARI,vs LA,L  9-31,1,1,32,1,0,0,0,158.3
Matt Darr,BUF,@ NE,L  12-24,0,0,0,0,0,0,0,0.0
Derrick Henry,TEN,vs WAS,W  25-16,0,1,0,0,0,0,0,39.6
Taysom Hill,NO,vs PIT,W  31-28,0,1,0,0,1,0,0,0.0
Brian Hoyer,NE,vs BUF,W  24-12,0,1,0,0,0,0,0,39.6
Nate Sudfeld,PHI,vs HOU,W  32-30,0,1,0,0,0,0,0,39.6
Dede Westbrook,JAX,@ MIA,W  17-7,0,1,0,0,0,0,0,39.6
