Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Aaron Donald,LA,vs SEA,W  36-31,2.5,16.5,5,3,1,0,0
Michael Bennett,PHI,vs DAL,L  20-27,2.0,18.0,4,2,0,0,0
Cameron Heyward,PIT,vs CAR,W  52-21,2.0,15.0,2,2,1,0,0
Chandler Jones,ARI,@ KC,L  14-26,2.0,15.0,2,3,0,0,0
Chris Jones,KC,vs ARI,W  26-14,2.0,21.0,3,2,1,1,0
Khalil Mack,CHI,vs DET,W  34-22,2.0,11.0,2,4,1,0,0
Brandon Graham,PHI,vs DAL,L  20-27,1.5,6.5,3,3,2,0,0
Robert Quinn,MIA,@ GB,L  12-31,1.5,14.0,3,2,1,0,0
Isaac Rochell,LAC,@ OAK,W  20-6,1.5,13.0,2,1,1,0,0
Wesley Woodyard,TEN,vs NE,W  34-10,1.5,13.5,3,7,3,0,0
Montravius Adams,GB,vs MIA,W  31-12,1.0,2.0,1,1,0,0,0
Alex Anzalone,NO,@ CIN,W  51-14,1.0,9.0,1,4,1,0,0
Allen Bailey,KC,vs ARI,W  26-14,1.0,8.0,2,2,0,0,0
Josh Bynes,ARI,@ KC,L  14-26,1.0,7.0,1,2,1,0,0
Bryce Callahan,CHI,vs DET,W  34-22,1.0,9.0,1,4,1,0,0
Kenny Clark,GB,vs MIA,W  31-12,1.0,9.0,1,5,1,0,0
Tyrone Crawford,DAL,@ PHI,W  27-20,1.0,1.0,1,3,0,0,0
Bud Dupree,PIT,vs CAR,W  52-21,1.0,11.0,1,2,0,0,0
Kyler Fackrell,GB,vs MIA,W  31-12,1.0,8.0,1,4,0,0,0
Leonard Floyd,CHI,vs DET,W  34-22,1.0,5.0,3,1,0,0,0
Dee Ford,KC,vs ARI,W  26-14,1.0,7.0,4,4,2,0,0
Dante Fowler,LA,vs SEA,W  36-31,1.0,15.0,1,2,2,1,1
Reggie Gilbert,GB,vs MIA,W  31-12,1.0,12.0,1,1,2,0,1
Stephon Gilmore,NE,@ TEN,L  10-34,1.0,7.0,1,4,0,1,0
Raven Greene,GB,vs MIA,W  31-12,1.0,12.0,1,1,0,0,0
Randy Gregory,DAL,@ PHI,W  27-20,1.0,9.0,1,1,0,0,0
Rodney Gunter,ARI,@ KC,L  14-26,1.0,7.0,2,2,0,0,0
Da'Shawn Hand,DET,@ CHI,L  22-34,1.0,7.0,1,1,0,0,0
Jerry Hughes,BUF,@ NYJ,W  41-10,1.0,8.0,2,2,1,0,0
Maurice Hurst,OAK,vs LAC,L  6-20,1.0,1.0,1,4,0,0,0
Melvin Ingram,LAC,@ OAK,W  20-6,1.0,15.0,1,3,1,1,0
Matt Ioannidis,WAS,@ TB,W  16-3,1.0,3.0,2,1,1,0,0
Quinton Jefferson,SEA,@ LA,L  31-36,1.0,7.0,1,3,0,0,0
Cameron Jordan,NO,@ CIN,W  51-14,1.0,2.0,1,1,0,0,0
Shaq Lawson,BUF,@ NYJ,W  41-10,1.0,5.0,2,2,1,0,0
Dean Lowry,GB,vs MIA,W  31-12,1.0,7.0,1,5,1,0,0
Benson Mayowa,ARI,@ KC,L  14-26,1.0,8.0,1,2,0,0,0
Gerald McCoy,TB,vs WAS,L  3-16,1.0,0.0,3,1,0,0,0
Carl Nassib,TB,vs WAS,L  3-16,1.0,8.0,2,1,0,0,0
Bilal Nichols,CHI,vs DET,W  34-22,1.0,12.0,0,1,0,1,0
Alex Okafor,NO,@ CIN,W  51-14,1.0,6.0,1,3,0,0,0
Ron Parker,KC,vs ARI,W  26-14,1.0,6.0,1,2,0,0,0
Julius Peppers,CAR,@ PIT,L  21-52,1.0,6.0,1,1,2,0,0
Jordan Poyer,BUF,@ NYJ,W  41-10,1.0,6.0,1,3,3,0,0
Sheldon Rankins,NO,@ CIN,W  51-14,1.0,7.0,2,2,0,0,0
Elandon Roberts,NE,@ TEN,L  10-34,1.0,7.0,1,4,2,0,0
Logan Ryan,TEN,vs NE,W  34-10,1.0,7.0,1,5,1,0,0
Preston Smith,WAS,@ TB,W  16-3,1.0,5.0,2,2,1,0,0
Chris Smith,CLE,vs ATL,W  28-16,1.0,13.0,1,2,1,1,0
Roquan Smith,CHI,vs DET,W  34-22,1.0,8.0,1,9,1,0,0
Vita Vea,TB,vs WAS,L  3-16,1.0,0.0,1,1,0,0,0
T.J. Watt,PIT,vs CAR,W  52-21,1.0,12.0,2,1,0,1,0
Vince Williams,PIT,vs CAR,W  52-21,1.0,8.0,1,3,1,0,0
Jamal Adams,NYJ,vs BUF,L  10-41,0.5,4.0,2,3,1,0,0
Jayon Brown,TEN,vs NE,W  34-10,0.5,2.5,1,1,3,0,0
DeForest Buckner,SF,vs NYG,L  23-27,0.5,4.0,1,0,5,0,0
Frank Clark,SEA,@ LA,L  31-36,0.5,2.0,1,0,1,0,0
Jordan Jenkins,NYJ,vs BUF,L  10-41,0.5,4.0,1,1,2,0,0
Justin Jones,LAC,@ OAK,W  20-6,0.5,3.5,1,0,2,0,0
Dion Jordan,SEA,@ LA,L  31-36,0.5,2.0,1,4,1,0,0
Chris Long,PHI,vs DAL,L  20-27,0.5,6.5,1,1,2,0,0
Uchenna Nwosu,LAC,@ OAK,W  20-6,0.5,3.5,3,1,1,0,0
Emmanuel Ogbah,CLE,vs ATL,W  28-16,0.5,3.0,1,0,1,0,0
Larry Ogunjobi,CLE,vs ATL,W  28-16,0.5,3.0,2,2,2,0,0
Darius Philon,LAC,@ OAK,W  20-6,0.5,5.0,1,0,1,0,0
Ndamukong Suh,LA,vs SEA,W  36-31,0.5,3.5,3,5,4,0,0
Cameron Wake,MIA,@ GB,L  12-31,0.5,3.0,1,1,2,0,0
