Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
John Phillips,,@ MIN,L  14-31,4,35,8.8,0,0
Giovani Bernard,CIN,@ BAL,W  28-24,3,34,11.3,0,0
Jermaine Gresham,ARI,vs SF,W  47-7,2,34,17.0,0,0
Jamaal Charles,KC,@ GB,L  28-38,5,33,6.6,0,0
Jeremy Kerley,NYJ,vs PHI,L  17-24,6,33,5.5,1,0
Keshawn Martin,NE,vs,W  51-17,3,33,11.0,1,0
Larry Donnell,NYG,vs WAS,W  32-21,3,32,10.7,0,0
Jack Doyle,IND,@ TEN,W  35-33,3,32,10.7,0,0
Duke Johnson,CLE,vs OAK,L  20-27,6,32,5.3,0,0
Donte Moncrief,IND,@ TEN,W  35-33,4,32,8.0,1,0
Danny Woodhead,,@ MIN,L  14-31,3,32,10.7,0,0
Bishop Sankey,TEN,vs IND,L  33-35,2,31,15.5,0,0
Zach Ertz,PHI,@ NYJ,W  24-17,2,30,15.0,0,0
Dion Lewis,NE,vs,W  51-17,5,30,6.0,0,0
Marlon Brown,BAL,vs CIN,L  24-28,2,29,14.5,0,0
Garrett Celek,SF,@ ARI,L  7-47,3,29,9.7,0,0
Justin Hunter,TEN,vs IND,L  33-35,1,29,29.0,0,0
Craig Stevens,TEN,vs IND,L  33-35,2,29,14.5,0,0
Owen Daniels,DEN,@ DET,W  24-12,5,28,5.6,1,0
Taylor Gabriel,CLE,vs OAK,L  20-27,3,28,9.3,0,0
Mohamed Sanu,CIN,@ BAL,W  28-24,2,28,14.0,0,0
Mike Tolbert,CAR,vs NO,W  27-22,3,28,9.3,0,0
Bryan Walters,,@ NE,L  17-51,2,28,14.0,0,0
Jarius Wright,MIN,vs,W  31-14,3,28,9.3,0,0
Daniel Fells,NYG,vs WAS,W  32-21,3,27,9.0,0,0
Lamar Miller,MIA,vs BUF,L  14-41,3,27,9.0,0,0
Jordan Norwood,DEN,@ DET,W  24-12,3,27,9.0,0,0
Rashad Ross,WAS,@ NYG,L  21-32,2,27,13.5,0,0
Anthony Fasano,TEN,vs IND,L  33-35,1,26,26.0,0,0
Virgil Green,DEN,@ DET,W  24-12,1,26,26.0,0,0
James White,NE,vs,W  51-17,4,26,6.5,0,0
Scott Chandler,NE,vs,W  51-17,2,25,12.5,0,0
Rashad Jennings,NYG,vs WAS,W  32-21,3,25,8.3,0,0
Ricardo Lockette,SEA,vs CHI,W  26-0,1,23,23.0,0,0
Dorial Green-Beckham,TEN,vs IND,L  33-35,2,22,11.0,1,0
C.J. Spiller,NO,@ CAR,L  22-27,2,22,11.0,0,0
Zach Miller,CHI,@ SEA,L  0-26,1,21,21.0,0,0
