Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Pat O'Donnell,CHI,@ NO,L  12-20,5,270,54.0,45.6,1,2,61,0
Shane Lechler,HOU,@ SEA,L  38-41,5,265,53.0,51.0,0,2,63,0
Lachlan Edwards,NYJ,vs ATL,L  20-25,5,262,52.4,45.8,1,3,60,0
Thomas Morstead,NO,vs CHI,W  20-12,4,204,51.0,46.3,1,2,61,0
Michael Palardy,CAR,@ TB,W  17-3,7,353,50.4,47.1,0,4,55,0
Kevin Huber,CIN,vs IND,W  24-23,4,197,49.3,34.3,2,0,60,0
Jon Ryan,SEA,vs HOU,W  41-38,5,237,47.4,42.0,0,1,55,0
Jordan Berry,PIT,@ DET,W  20-15,4,188,47.0,41.8,0,2,53,0
Tress Way,WAS,vs DAL,L  19-33,3,140,46.7,40.3,0,1,49,0
Britton Colquitt,CLE,vs MIN,L  16-33,6,279,46.5,44.0,0,3,54,0
Donnie Jones,PHI,vs SF,W  33-10,6,275,45.8,41.0,1,2,50,0
Rigoberto Sanchez,IND,@ CIN,L  23-24,4,183,45.8,30.8,0,0,51,1
Bryan Anger,TB,vs CAR,L  3-17,6,274,45.7,42.0,0,3,56,0
Chris Jones,DAL,@ WAS,W  33-19,3,137,45.7,46.0,0,1,51,0
Bradley Pinion,SF,@ PHI,L  10-33,8,364,45.5,41.3,1,2,57,0
Colton Schmidt,BUF,vs OAK,W  34-14,5,226,45.2,43.0,0,4,55,0
Drew Kaser,LAC,@ NE,L  13-21,5,225,45.0,39.8,0,1,56,0
Sam Koch,BAL,vs MIA,W  40-0,5,225,45.0,44.0,0,4,55,0
Ryan Allen,NE,vs LAC,W  21-13,3,130,43.3,46.0,0,3,57,0
Matt Bosher,ATL,@ NYJ,W  25-20,5,214,42.8,41.6,0,2,55,0
Dustin Colquitt,KC,vs DEN,W  29-19,5,209,41.8,41.2,0,2,53,0
Matt Haack,MIA,@ BAL,L  0-40,8,328,41.0,39.9,0,0,50,0
Riley Dixon,DEN,@ KC,L  19-29,4,162,40.5,40.5,0,1,48,0
Sam Martin,DET,vs PIT,L  15-20,3,119,39.7,39.7,0,1,55,0
Marquette King,OAK,@ BUF,L  14-34,4,153,38.3,34.0,0,1,51,0
Ryan Quigley,MIN,@ CLE,W  33-16,6,221,36.8,35.0,0,2,44,0
