Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Antonio Brown,PIT,vs DEN,W  34-27,16,189,11.8,2,0
Emmanuel Sanders,DEN,@ PIT,L  27-34,10,181,18.1,1,0
Jordan Matthews,PHI,vs ARI,L  17-40,8,159,19.9,1,0
Mike Evans,TB,@,L  23-31,9,157,17.4,0,0
DeSean Jackson,WAS,vs BUF,W  35-25,6,153,25.5,1,0
Kamar Aiken,BAL,vs KC,L  14-34,8,128,16.0,1,0
Brandin Cooks,NO,vs DET,L  27-35,10,124,12.4,1,0
Amari Cooper,OAK,vs GB,L  20-30,6,120,20.0,2,0
Julio Jones,ATL,@ JAX,W  23-17,9,118,13.1,1,0
Dorial Green-Beckham,TEN,@ NE,L  16-33,6,113,18.8,0,0
Sammy Watkins,BUF,@ WAS,L  25-35,5,111,22.2,2,0
Jermaine Kearse,SEA,vs CLE,W  30-13,7,110,15.7,0,0
DeAndre Hopkins,HOU,@ IND,W  16-10,8,94,11.8,0,0
Marvin Jones,CIN,@ SF,W  24-14,4,89,22.2,0,0
Antonio Gates,,vs MIA,W  30-14,6,88,14.7,0,0
Brandon LaFell,NE,vs TEN,W  33-16,4,88,22.0,0,0
Martavis Bryant,PIT,vs DEN,W  34-27,10,87,8.7,0,0
DeVante Parker,MIA,@,L  14-30,4,87,21.8,0,0
Ted Ginn,CAR,@ NYG,W  38-35,6,85,14.2,2,0
Jordan Reed,WAS,vs BUF,W  35-25,7,84,12.0,2,0
James Jones,GB,@ OAK,W  30-20,6,82,13.7,1,0
Eric Ebron,DET,@ NO,W  35-27,4,79,19.8,0,0
Greg Olsen,CAR,@ NYG,W  38-35,6,79,13.2,1,0
Julius Thomas,JAX,vs ATL,L  17-23,6,79,13.2,0,0
Zach Ertz,PHI,vs ARI,L  17-40,8,78,9.8,1,0
Dontrelle Inman,,vs MIA,W  30-14,3,78,26.0,0,0
Odell Beckham,NYG,vs CAR,L  35-38,6,76,12.7,1,0
Jerick McKinnon,MIN,vs CHI,W  38-17,4,76,19.0,1,0
Willie Snead,NO,vs DET,L  27-35,10,76,7.6,0,0
Anquan Boldin,SF,vs CIN,L  14-24,8,74,9.2,1,1
Brandon Marshall,NYJ,@ DAL,W  19-16,4,74,18.5,0,0
Travis Kelce,KC,@ BAL,W  34-14,6,73,12.2,0,0
Kenny Britt,,vs TB,W  31-23,2,71,35.5,1,0
James White,NE,vs TEN,W  33-16,7,71,10.1,1,0
Michael Crabtree,OAK,vs GB,L  20-30,6,70,11.7,0,0
Michael Floyd,ARI,@ PHI,W  40-17,5,70,14.0,0,0
Jared Cook,,vs TB,W  31-23,4,64,16.0,0,0
Delanie Walker,TEN,@ NE,L  16-33,2,64,32.0,2,0
Markus Wheaton,PIT,vs DEN,W  34-27,6,62,10.3,1,0
Demaryius Thomas,DEN,@ PIT,L  27-34,5,61,12.2,2,0
Jeremy Butler,BAL,vs KC,L  14-34,3,60,20.0,0,0
Adam Humphries,TB,@,L  23-31,6,60,10.0,0,0
Matt Forte,CHI,@ MIN,L  17-38,6,57,9.5,1,0
Zach Miller,CHI,@ MIN,L  17-38,6,57,9.5,0,0
Allen Robinson,JAX,vs ATL,L  17-23,3,57,19.0,1,0
Eric Decker,NYJ,@ DAL,W  19-16,6,55,9.2,1,0
Stefon Diggs,MIN,vs CHI,W  38-17,3,55,18.3,2,0
Tyler Lockett,SEA,vs CLE,W  30-13,5,55,11.0,1,0
Darren Fells,ARI,@ PHI,W  40-17,3,54,18.0,0,0
Rob Gronkowski,NE,vs TEN,W  33-16,5,54,10.8,1,0
Jarvis Landry,MIA,@,L  14-30,8,54,6.8,0,0
Bilal Powell,NYJ,@ DAL,W  19-16,7,54,7.7,0,0
Kendall Gaskins,SF,vs CIN,L  14-24,6,52,8.7,0,0
Josh Huff,PHI,vs ARI,L  17-40,4,52,13.0,0,0
Corey Brown,CAR,@ NYG,W  38-35,3,51,17.0,1,0
Donte Moncrief,IND,vs HOU,L  10-16,5,51,10.2,1,0
Dez Bryant,DAL,vs NYJ,L  16-19,4,50,12.5,1,0
Jeremy Maclin,KC,@ BAL,W  34-14,7,50,7.1,1,0
Kenbrell Thompkins,NYJ,@ DAL,W  19-16,2,50,25.0,0,0
Danny Woodhead,,vs MIA,W  30-14,6,50,8.3,3,0
Quincy Enunwa,NYJ,@ DAL,W  19-16,4,49,12.2,0,0
Benjamin Watson,NO,vs DET,L  27-35,6,49,8.2,1,0
Jason Witten,DAL,vs NYJ,L  16-19,5,49,9.8,0,0
Jerricho Cotchery,CAR,@ NYG,W  38-35,4,47,11.8,0,0
Rueben Randle,NYG,vs CAR,L  35-38,4,47,11.8,1,0
Roddy White,ATL,@ JAX,W  23-17,3,47,15.7,0,0
Marqise Lee,JAX,vs ATL,L  17-23,2,46,23.0,0,0
Denard Robinson,JAX,vs ATL,L  17-23,8,46,5.8,0,0
Doug Baldwin,SEA,vs CLE,W  30-13,4,45,11.2,2,0
Devonta Freeman,ATL,@ JAX,W  23-17,7,45,6.4,0,0
Golden Tate,DET,@ NO,W  35-27,6,45,7.5,2,0
Donteea Dye,TB,@,L  23-31,1,44,44.0,0,0
Allen Hurns,JAX,vs ATL,L  17-23,2,44,22.0,0,0
Robert Woods,BUF,@ WAS,L  25-35,4,44,11.0,0,0
Blake Bell,SF,vs CIN,L  14-24,4,43,10.8,0,0
Larry Fitzgerald,ARI,@ PHI,W  40-17,3,43,14.3,0,0
