Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Derek Carr,OAK,vs KC,W  31-30,29,52,417,3,0,0,0,101.2
Jameis Winston,TB,@ BUF,L  27-30,32,44,384,3,1,1,1,112.3
Alex Smith,KC,@ OAK,L  30-31,25,36,342,3,0,1,0,127.3
Russell Wilson,SEA,@ NYG,W  24-7,27,39,334,3,0,1,0,121.1
Drew Brees,NO,@ GB,W  26-17,27,38,331,1,2,1,0,84.4
Blake Bortles,JAX,@ IND,W  27-0,18,26,330,1,0,1,1,124.7
Kirk Cousins,WAS,@ PHI,L  24-34,30,40,303,3,1,4,0,110.7
Tyrod Taylor,BUF,vs TB,W  30-27,20,33,268,1,0,1,0,96.5
Carson Wentz,PHI,vs WAS,W  34-24,17,25,268,4,1,3,0,126.3
Tom Brady,NE,vs ATL,W  23-7,21,29,249,2,0,2,0,121.2
C.J. Beathard,SF,vs DAL,L  10-40,22,38,235,0,0,5,2,76.1
Jared Goff,LA,vs ARI,W  33-0,22,37,235,1,1,1,0,75.8
Dak Prescott,DAL,@ SF,W  40-10,16,25,234,3,0,0,0,134.0
Matt Ryan,ATL,@ NE,L  7-23,23,33,233,1,0,1,0,99.7
Ben Roethlisberger,PIT,vs CIN,W  29-14,14,24,224,2,0,0,0,117.4
Cam Newton,CAR,@ CHI,L  3-17,21,34,211,0,2,5,1,54.9
Josh McCown,NYJ,@ MIA,L  28-31,17,27,209,3,1,3,0,108.4
Trevor Siemian,DEN,@ LAC,L  0-21,25,35,207,0,1,5,1,74.3
Marcus Mariota,TEN,@ CLE,W  12-9,21,34,203,0,0,2,0,78.4
Jacoby Brissett,IND,vs JAX,L  0-27,22,37,200,0,0,10,0,74.2
Case Keenum,MIN,vs BAL,W  24-16,20,31,188,0,1,0,0,67.7
Matt Moore,MIA,vs NYJ,W  31-28,13,21,188,2,1,1,0,102.9
Joe Flacco,BAL,@ MIN,L  16-24,27,39,186,1,0,5,0,88.2
Philip Rivers,LAC,vs DEN,W  21-0,15,26,183,2,0,3,0,105.1
Andy Dalton,CIN,@ PIT,L  14-29,17,30,140,2,2,4,0,63.2
Jay Cutler,MIA,vs NYJ,W  31-28,12,16,138,2,1,2,0,114.1
Eli Manning,NYG,vs SEA,L  7-24,19,39,134,1,0,1,1,65.5
Carson Palmer,ARI,@ LA,L  0-33,10,18,122,0,1,1,0,53.5
Cody Kessler,CLE,vs TEN,L  9-12,10,19,121,0,1,2,0,50.5
DeShone Kizer,CLE,vs TEN,L  9-12,12,20,114,0,2,0,0,36.2
Mitchell Trubisky,CHI,vs CAR,W  17-3,4,7,107,0,0,4,0,101.8
Brett Hundley,GB,vs NO,L  17-26,12,25,87,0,1,1,0,39.9
Drew Stanton,ARI,@ LA,L  0-33,5,14,66,0,1,2,0,21.7
Robert Golden,PIT,vs CIN,W  29-14,1,1,44,0,0,0,0,118.8
Cooper Rush,DAL,@ SF,W  40-10,1,2,2,0,0,0,0,56.2
Marqise Lee,JAX,@ IND,W  27-0,0,1,0,0,0,0,0,39.6
