Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Bryan Anger,TB,@ NO,L  24-31,3,153,51.0,51.0,0,3,55,0
Pat O'Donnell,CHI,vs WAS,L  21-41,1,51,51.0,51.0,0,0,51,0
Drew Kaser,,@ CLE,L  17-20,5,251,50.2,46.4,0,1,57,0
Pat McAfee,IND,@ OAK,L  25-33,2,100,50.0,46.0,0,0,53,0
Sam Martin,DET,@ DAL,L  21-42,4,196,49.0,47.8,0,2,54,0
Brad Wing,NYG,@ PHI,L  19-24,3,145,48.3,48.3,0,1,56,0
Brad Nortman,JAX,vs TEN,W  38-17,3,143,47.7,48.3,0,1,55,0
Donnie Jones,PHI,vs NYG,W  24-19,5,237,47.4,47.8,0,2,55,0
Chris Jones,DAL,vs DET,W  42-21,4,189,47.3,41.5,0,1,57,0
Marquette King,OAK,vs IND,W  33-25,5,235,47.0,37.0,2,1,58,0
Ryan Allen,NE,vs NYJ,W  41-3,4,187,46.8,45.0,0,1,51,0
Riley Dixon,DEN,@ KC,L  10-33,7,326,46.6,40.7,1,2,61,0
Shane Lechler,HOU,vs CIN,W  12-10,8,371,46.4,44.5,0,4,55,0
Johnny Hekker,LA,vs SF,L  21-22,8,368,46.0,44.9,0,4,53,0
Kevin Huber,CIN,@ HOU,L  10-12,8,366,45.8,41.8,0,3,54,0
Jordan Berry,PIT,vs BAL,W  31-27,3,137,45.7,37.3,0,1,55,0
Lachlan Edwards,NYJ,@ NE,L  3-41,4,180,45.0,41.0,0,2,49,0
Brett Kern,TEN,@ JAX,L  17-38,7,313,44.7,43.3,0,3,54,0
Matt Wile,ARI,@ SEA,W  34-31,5,222,44.4,43.0,0,1,59,0
Michael Palardy,CAR,vs ATL,L  16-33,3,130,43.3,39.7,0,2,51,0
Jacob Schum,GB,vs MIN,W  38-25,6,259,43.2,36.5,1,2,49,0
Britton Colquitt,CLE,vs,W  20-17,6,258,43.0,39.7,0,3,51,0
Matt Bosher,ATL,@ CAR,W  33-16,3,127,42.3,38.3,0,1,59,0
Colton Schmidt,BUF,vs MIA,L  31-34,4,169,42.3,36.0,0,1,48,0
Tress Way,WAS,@ CHI,W  41-21,2,83,41.5,40.0,0,2,49,0
Matt Darr,MIA,@ BUF,W  34-31,5,207,41.4,36.8,0,3,47,0
Thomas Morstead,NO,vs TB,W  31-24,3,124,41.3,33.3,0,1,45,0
Bradley Pinion,SF,@ LA,W  22-21,9,372,41.3,37.8,1,3,47,0
Dustin Colquitt,KC,vs DEN,W  33-10,4,164,41.0,41.0,0,3,52,0
Jeff Locke,MIN,@ GB,L  25-38,5,186,37.2,29.2,0,0,45,0
Sam Koch,BAL,@ PIT,L  27-31,3,109,36.3,36.3,0,3,43,0
Jon Ryan,SEA,vs ARI,L  31-34,4,144,36.0,36.0,0,1,50,0
