Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Mason Crosby,GB,@ MIN,W  30-13,5,5,1,1,16
Graham Gano,CAR,vs WAS,W  44-16,3,3,5,5,14
Jason Myers,JAX,vs TEN,W  19-13,4,4,1,1,13
Chandler Catanzaro,ARI,vs CIN,W  34-31,2,2,4,4,10
Matt Prater,DET,vs OAK,W  18-13,3,3,1,1,10
Justin Tucker,BAL,vs,W  16-13,3,5,1,1,10
Connor Barth,TB,@ PHI,W  45-17,1,1,6,6,9
Robbie Gould,CHI,vs DEN,L  15-17,3,3,0,0,9
Cairo Santos,KC,@,W  33-3,2,2,3,4,9
Stephen Gostkowski,NE,vs BUF,W  20-13,2,3,2,2,8
Dan Carpenter,BUF,@ NE,L  13-20,2,3,1,1,7
Phil Dawson,SF,@ SEA,L  13-29,2,2,1,1,7
Sebastian Janikowski,OAK,@ DET,L  13-18,2,2,1,1,7
Mike Nugent,CIN,@ ARI,L  31-34,1,1,4,4,7
Ryan Succop,TEN,@ JAX,L  13-19,2,3,1,1,7
Dan Bailey,DAL,@ MIA,W  24-14,1,1,3,3,6
Nick Novak,HOU,vs NYJ,W  24-17,1,1,3,3,6
Adam Vinatieri,IND,@ ATL,W  24-21,1,1,3,3,6
Randy Bullock,NYJ,@ HOU,L  17-24,1,1,2,2,5
Stephen Hauschka,SEA,vs SF,W  29-13,1,1,2,4,5
Brandon McManus,DEN,@ CHI,W  17-15,1,1,2,2,5
Caleb Sturgis,PHI,vs TB,L  17-45,1,1,2,2,5
Matt Bryant,ATL,vs IND,L  21-24,0,1,3,3,3
Josh Lambo,,vs KC,L  3-33,1,1,0,0,3
Andrew Franks,MIA,vs DAL,L  14-24,0,0,2,2,2
Dustin Hopkins,WAS,@ CAR,L  16-44,0,0,2,2,2
Blair Walsh,MIN,vs GB,L  13-30,0,0,1,2,1
Greg Zuerlein,,@ BAL,L  13-16,0,1,1,2,1
