Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Philip Rivers,,@ GB,L  20-27,43,65,503,2,0,3,0,99.7
Carson Palmer,ARI,@ PIT,L  13-25,29,45,421,1,2,1,0,83.7
Matthew Stafford,DET,vs CHI,W  37-34,27,42,405,4,1,2,0,117.7
Jay Cutler,CHI,@ DET,L  34-37,26,41,353,1,1,1,0,88.8
Joe Flacco,BAL,@ SF,L  20-25,33,53,343,2,2,0,0,77.8
Colin Kaepernick,SF,vs BAL,W  25-20,16,27,340,2,0,3,0,128.2
Blake Bortles,,vs HOU,L  20-31,30,53,331,3,3,3,0,70.6
Tom Brady,NE,@ IND,W  34-27,23,37,312,3,1,2,0,104.8
Drew Brees,NO,vs ATL,W  31-21,30,39,312,1,0,1,0,108.1
Andrew Luck,IND,vs NE,L  27-34,30,50,312,3,0,3,0,98.1
Matt Ryan,ATL,@ NO,L  21-31,30,44,295,2,0,5,1,102.0
Brian Hoyer,HOU,@,W  31-20,24,36,293,3,0,1,0,119.3
Peyton Manning,DEN,@ CLE,W  26-23,26,48,290,1,3,0,0,53.3
Alex Smith,KC,@ MIN,L  10-16,22,37,282,1,0,2,0,92.4
Sam Bradford,PHI,vs NYG,W  27-7,24,38,280,1,3,1,0,61.3
Cam Newton,CAR,@ SEA,W  27-23,20,36,269,1,2,3,0,65.6
Ryan Tannehill,MIA,@ TEN,W  38-10,22,29,266,2,2,2,0,97.8
E.J. Manuel,BUF,vs CIN,L  21-34,28,42,263,1,1,2,0,81.7
Aaron Rodgers,GB,vs,W  27-20,16,29,255,2,0,3,0,107.7
Ryan Fitzpatrick,NYJ,vs WAS,W  34-20,19,26,253,2,1,0,0,113.1
Teddy Bridgewater,MIN,vs KC,W  16-10,17,31,249,1,2,2,0,65.1
Andy Dalton,CIN,@ BUF,W  34-21,22,33,243,3,0,0,0,118.6
Russell Wilson,SEA,vs CAR,L  23-27,18,30,241,1,0,4,0,96.7
Marcus Mariota,TEN,vs MIA,L  10-38,21,33,219,1,2,5,2,67.6
Josh McCown,CLE,vs DEN,L  23-26,20,39,213,2,2,4,1,63.3
Kirk Cousins,WAS,@ NYJ,L  20-34,25,43,196,1,2,1,0,57.9
Eli Manning,NYG,@ PHI,L  7-27,24,38,189,1,2,3,0,62.3
Landry Jones,PIT,vs ARI,W  25-13,8,12,168,2,0,0,0,149.3
Zach Mettenberger,TEN,vs MIA,L  10-38,5,8,63,0,0,1,0,87.0
Michael Vick,PIT,vs ARI,W  25-13,3,8,6,0,0,1,0,45.8
Jamison Crowder,WAS,@ NYJ,L  20-34,0,1,0,0,0,0,0,39.6
