Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Chandler Catanzaro,ARI,@ LA,W  44-6,3,3,5,5,14
Stephen Hauschka,SEA,@ SF,W  25-23,4,4,1,2,13
Cairo Santos,KC,@,W  37-27,3,3,4,4,13
Nick Folk,NYJ,vs BUF,W  30-10,3,3,3,3,12
Randy Bullock,CIN,vs BAL,W  27-10,2,2,3,3,9
Stephen Gostkowski,NE,@ MIA,W  35-14,2,3,3,3,9
Josh Lambo,,vs KC,L  27-37,2,2,3,3,9
Caleb Sturgis,PHI,vs DAL,W  27-13,2,3,3,3,9
Matt Bryant,ATL,vs NO,W  38-32,1,1,5,5,8
Kai Forbath,MIN,vs CHI,W  38-10,1,1,5,5,8
Wil Lutz,NO,@ ATL,L  32-38,2,2,2,2,8
Jason Myers,JAX,@ IND,L  20-24,2,4,2,2,8
Dan Bailey,DAL,@ PHI,L  13-27,2,2,1,1,7
Robbie Gould,NYG,@ WAS,W  19-10,2,2,1,1,7
Brandon McManus,DEN,vs OAK,W  24-6,1,2,3,3,6
Cody Parkey,CLE,@ PIT,L  24-27,1,2,3,3,6
Matt Prater,DET,vs GB,L  24-31,1,2,3,3,6
Ryan Succop,TEN,vs HOU,W  24-17,1,1,3,3,6
Adam Vinatieri,IND,vs JAX,W  24-20,1,2,3,3,6
Greg Zuerlein,LA,vs ARI,L  6-44,2,2,0,0,6
Roberto Aguayo,TB,vs CAR,W  17-16,1,3,2,2,5
Mason Crosby,GB,@ DET,W  31-24,1,1,2,3,5
Nick Novak,HOU,@ TEN,L  17-24,1,2,2,2,5
Connor Barth,CHI,@ MIN,L  10-38,1,1,1,1,4
Dan Carpenter,BUF,@ NYJ,L  10-30,1,1,1,1,4
Graham Gano,CAR,@ TB,L  16-17,1,4,1,1,4
Dustin Hopkins,WAS,vs NYG,L  10-19,1,2,1,1,4
Justin Tucker,BAL,@ CIN,L  10-27,1,1,1,1,4
Chris Boswell,PIT,vs CLE,W  27-24,0,0,3,3,3
Phil Dawson,SF,vs SEA,L  23-25,0,0,3,3,3
Andrew Franks,MIA,vs NE,L  14-35,0,0,2,2,2
