Name,Team,Opp,Score,Sacks,Sack Yds,QB Hits,Tackles,Assists,Fumbles Forced,Fumbles Recovered
Matt Judon,BAL,vs OAK,W  34-17,3.0,12.0,3,3,2,1,0
Christian Covington,HOU,vs TEN,W  34-17,2.5,16.0,3,3,1,0,0
Robert Nkemdiche,ARI,@ LAC,L  10-45,2.5,13.0,3,6,1,0,0
Joey Bosa,LAC,vs ARI,W  45-10,2.0,18.0,2,3,2,0,0
Cameron Jordan,NO,vs ATL,W  31-17,2.0,9.0,3,4,0,0,0
Sheldon Richardson,MIN,vs GB,W  24-17,2.0,16.0,2,3,4,0,0
Damon Harrison,DET,vs CHI,L  16-23,1.5,3.0,3,2,1,0,0
Whitney Mercilus,HOU,vs TEN,W  34-17,1.5,12.0,2,3,2,0,0
Preston Smith,WAS,@ DAL,L  23-31,1.5,13.5,4,3,5,0,0
J.J. Watt,HOU,vs TEN,W  34-17,1.5,12.0,2,6,3,1,0
Kyle Williams,BUF,vs JAX,W  24-21,1.5,13.5,2,4,2,0,0
Lorenzo Alexander,BUF,vs JAX,W  24-21,1.0,1.0,1,7,0,0,0
Jonathan Allen,WAS,@ DAL,L  23-31,1.0,7.0,1,5,5,0,0
Ezekiel Ansah,DET,vs CHI,L  16-23,1.0,0.0,2,2,1,0,0
Shaquil Barrett,DEN,vs PIT,W  24-17,1.0,6.0,1,1,0,0,0
Michael Bennett,PHI,vs NYG,W  25-22,1.0,11.0,1,1,0,0,0
James Bradberry,CAR,vs SEA,L  27-30,1.0,9.0,1,2,1,0,0
Anthony Brown,DAL,vs WAS,W  31-23,1.0,7.0,1,4,0,0,0
DeForest Buckner,SF,@ TB,L  9-27,1.0,8.0,2,5,0,0,0
Deon Bush,CHI,@ DET,W  23-16,1.0,7.0,1,1,0,0,0
Jurrell Casey,TEN,@ HOU,L  17-34,1.0,10.0,1,3,2,0,0
Kenny Clark,GB,@ MIN,L  17-24,1.0,9.0,1,3,1,0,0
Jack Crawford,ATL,@ NO,L  17-31,1.0,3.0,1,1,2,0,0
Demario Davis,NO,vs ATL,W  31-17,1.0,7.0,4,5,1,1,0
Tae Davis,NYG,@ PHI,L  22-25,1.0,7.0,1,3,0,0,0
Mario Edwards,NYG,@ PHI,L  22-25,1.0,7.0,1,1,0,0,0
Trey Flowers,NE,@ NYJ,W  27-13,1.0,5.0,4,1,1,0,0
Myles Garrett,CLE,@ CIN,W  35-20,1.0,12.0,1,1,0,0,0
Everson Griffen,MIN,vs GB,W  24-17,1.0,9.0,2,1,0,0,0
Rodney Gunter,ARI,@ LAC,L  10-45,1.0,5.0,0,3,0,1,0
Tom Johnson,MIN,vs GB,W  24-17,1.0,1.0,1,1,0,0,0
Darius Leonard,IND,vs MIA,W  27-24,1.0,3.0,1,9,1,0,0
Chris Long,PHI,vs NYG,W  25-22,1.0,10.0,1,1,0,0,0
Dean Lowry,GB,@ MIN,L  17-24,1.0,8.0,2,2,1,0,0
Terrell McClain,ATL,@ NO,L  17-31,1.0,6.0,1,2,0,0,0
Gerald McCoy,TB,vs SF,W  27-9,1.0,4.0,1,1,0,0,0
Von Miller,DEN,vs PIT,W  24-17,1.0,6.0,1,1,1,0,0
Nicholas Morrow,OAK,@ BAL,L  17-34,1.0,4.0,1,3,0,0,0
Carl Nassib,TB,vs SF,W  27-9,1.0,5.0,2,2,0,1,0
Alec Ogletree,NYG,@ PHI,L  22-25,1.0,8.0,1,2,2,0,0
Da'Ron Payne,WAS,@ DAL,L  23-31,1.0,4.0,1,3,1,0,0
Jason Pierre-Paul,TB,vs SF,W  27-9,1.0,11.0,2,3,0,0,0
Glover Quin,DET,vs CHI,L  16-23,1.0,6.0,1,7,0,0,0
Sheldon Rankins,NO,vs ATL,W  31-17,1.0,5.0,2,2,0,0,0
Jaylon Smith,DAL,vs WAS,W  31-23,1.0,5.0,1,6,0,1,0
Roquan Smith,CHI,@ DET,W  23-16,1.0,7.0,1,7,4,0,0
Shaq Thompson,CAR,vs SEA,L  27-30,1.0,8.0,1,5,2,1,0
Kenny Vaccaro,TEN,@ HOU,L  17-34,1.0,0.0,1,4,4,0,0
Vita Vea,TB,vs SF,W  27-9,1.0,7.0,1,4,0,0,0
Cameron Wake,MIA,@ IND,L  24-27,1.0,10.0,3,1,0,1,0
Vince Williams,PIT,@ DEN,L  17-24,1.0,6.0,2,3,0,0,0
P.J. Williams,NO,vs ATL,W  31-17,1.0,10.0,1,5,1,1,0
Marcus Williams,NO,vs ATL,W  31-17,1.0,6.0,0,5,0,1,1
Deatrich Wise,NE,@ NYJ,W  27-13,1.0,7.0,3,1,0,0,0
Jayon Brown,TEN,@ HOU,L  17-34,0.5,5.5,1,2,4,0,0
Jadeveon Clowney,HOU,vs TEN,W  34-17,0.5,3.0,1,2,1,0,0
Tyrone Crawford,DAL,vs WAS,W  31-23,0.5,2.5,1,0,1,0,0
Javon Hargrave,PIT,@ DEN,L  17-24,0.5,3.5,1,1,3,0,0
Cameron Heyward,PIT,@ DEN,L  17-24,0.5,3.5,1,2,1,0,0
Jerry Hughes,BUF,vs JAX,W  24-21,0.5,5.5,3,1,1,0,0
Chandler Jones,ARI,@ LAC,L  10-45,0.5,5.0,2,2,1,0,0
Ryan Kerrigan,WAS,@ DAL,L  23-31,0.5,6.5,1,1,3,0,0
Harold Landry,TEN,@ HOU,L  17-34,0.5,4.0,1,2,5,0,0
Demarcus Lawrence,DAL,vs WAS,W  31-23,0.5,2.5,3,2,1,0,0
Derrick Morgan,TEN,@ HOU,L  17-34,0.5,5.5,1,2,2,0,0
Romeo Okwara,DET,vs CHI,L  16-23,0.5,3.0,1,2,2,0,0
Brian Orakpo,TEN,@ HOU,L  17-34,0.5,4.0,1,2,2,0,0
Mike Adams,CAR,vs SEA,L  27-30,0.0,0.0,0,1,4,0,0
Andrew Adams,TB,vs SF,W  27-9,0.0,0.0,0,0,1,0,0
Montravius Adams,GB,@ MIN,L  17-24,0.0,0.0,0,2,1,0,0
Jamal Adams,NYJ,vs NE,L  13-27,0.0,0.0,0,7,3,0,0
Matthew Adams,IND,vs MIA,W  27-24,0.0,0.0,0,3,0,0,0
