Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Brett Kern,TEN,vs JAX,W  30-9,2,118,59.0,59.0,0,1,62,0
Sam Koch,BAL,@ KC,L  24-27,3,158,52.7,48.3,0,1,54,0
Thomas Morstead,NO,@ TB,W  28-14,3,155,51.7,41.7,1,1,60,0
Tress Way,WAS,vs NYG,L  16-40,8,409,51.1,44.8,0,3,63,0
Chris Jones,DAL,vs PHI,W  29-23,2,102,51.0,46.5,0,1,63,0
Matt Bosher,ATL,@ GB,L  20-34,4,200,50.0,50.0,0,1,55,0
Logan Cooke,JAX,@ TEN,L  9-30,5,250,50.0,47.6,0,3,56,0
Andy Lee,ARI,vs DET,L  3-17,6,299,49.8,45.2,1,3,57,0
Johnny Hekker,LA,@ CHI,L  6-15,3,146,48.7,41.3,0,1,62,0
Johnny Townsend,OAK,vs PIT,W  24-21,4,194,48.5,41.5,0,1,57,0
Colby Wadman,DEN,@ SF,L  14-20,6,287,47.8,40.2,1,2,55,0
Britton Colquitt,CLE,vs CAR,W  26-20,3,143,47.7,45.7,0,0,49,0
Ryan Allen,NE,@ MIA,L  33-34,3,142,47.3,42.0,0,1,49,0
Rigoberto Sanchez,IND,@ HOU,W  24-21,6,278,46.3,36.7,2,2,55,0
Cameron Johnston,PHI,@ DAL,L  23-29,6,276,46.0,43.7,0,3,53,0
Pat O'Donnell,CHI,vs LA,W  15-6,5,229,45.8,41.8,1,4,57,0
Trevor Daniel,HOU,vs IND,L  21-24,8,362,45.3,39.4,0,3,53,0
Sam Martin,DET,@ ARI,W  17-3,7,317,45.3,41.6,0,4,51,0
Bryan Anger,TB,vs NO,L  14-28,5,225,45.0,32.7,0,1,62,1
Michael Dickson,SEA,vs MIN,W  21-7,5,220,44.0,44.0,0,3,55,0
Kevin Huber,CIN,@ LAC,L  21-26,3,132,44.0,44.0,0,3,50,0
Donnie Jones,LAC,vs CIN,W  26-21,4,173,43.3,37.5,0,0,56,0
Riley Dixon,NYG,@ WAS,W  40-16,6,258,43.0,43.3,0,1,50,0
Matt Wile,MIN,@ SEA,L  7-21,5,213,42.6,39.2,0,1,46,0
J.K. Scott,GB,vs ATL,W  34-20,4,169,42.3,38.8,0,0,57,0
Bradley Pinion,SF,vs DEN,W  20-14,5,210,42.0,34.0,1,1,47,0
Matt Darr,BUF,vs NYJ,L  23-27,1,40,40.0,40.0,0,1,40,0
Lachlan Edwards,NYJ,@ BUF,W  27-23,3,120,40.0,38.7,0,1,56,0
Michael Palardy,CAR,@ CLE,L  20-26,4,158,39.5,34.8,0,2,54,0
Jordan Berry,PIT,@ OAK,L  21-24,3,116,38.7,38.7,0,2,45,0
Dustin Colquitt,KC,vs BAL,W  27-24,3,111,37.0,18.7,0,2,50,0
Matt Haack,MIA,vs NE,W  34-33,5,170,34.0,27.2,0,0,57,1
