Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Carson Palmer,ARI,vs CIN,W  34-31,20,31,317,4,2,2,0,111.2
Andy Dalton,CIN,@ ARI,L  31-34,22,39,315,2,0,4,1,99.8
Joe Flacco,BAL,vs,W  16-13,27,44,299,1,2,1,0,70.2
Teddy Bridgewater,MIN,vs GB,L  13-30,25,37,296,1,0,6,0,100.7
Matthew Stafford,DET,vs OAK,W  18-13,22,35,282,0,0,4,0,88.0
Matt Ryan,ATL,vs IND,L  21-24,25,46,280,3,3,1,0,67.3
Tom Brady,NE,vs BUF,W  20-13,20,39,277,1,1,1,0,72.3
Jay Cutler,CHI,vs DEN,L  15-17,18,32,265,0,1,2,1,70.4
Blaine Gabbert,SF,@ SEA,L  13-29,22,34,264,1,0,2,0,98.2
Mark Sanchez,PHI,vs TB,L  17-45,26,41,261,2,3,3,0,67.2
Russell Wilson,SEA,vs SF,W  29-13,24,29,260,3,0,2,0,138.5
Alex Smith,KC,@,W  33-3,20,25,253,0,0,3,0,108.8
Brock Osweiler,DEN,@ CHI,W  17-15,20,27,250,2,0,5,0,127.1
Cam Newton,CAR,vs WAS,W  44-16,21,34,246,5,0,2,0,123.3
Jameis Winston,TB,@ PHI,W  45-17,19,29,246,5,0,1,0,131.6
Blake Bortles,JAX,vs TEN,W  19-13,21,30,242,1,1,4,1,91.2
Tyrod Taylor,BUF,@ NE,L  13-20,20,36,233,0,0,2,0,75.3
Marcus Mariota,TEN,@ JAX,L  13-19,22,35,231,0,0,4,0,82.0
T.J. Yates,HOU,vs NYJ,W  24-17,16,34,229,2,0,1,1,89.0
Tony Romo,DAL,@ MIA,W  24-14,18,28,227,2,2,2,0,83.5
Ryan Fitzpatrick,NYJ,@ HOU,L  17-24,19,39,216,1,2,3,0,52.9
Matt Hasselbeck,IND,@ ATL,W  24-21,23,32,213,2,2,2,0,84.5
Aaron Rodgers,GB,@ MIN,W  30-13,16,34,212,2,0,2,0,86.9
Kirk Cousins,WAS,@ CAR,L  16-44,22,30,207,1,1,5,2,89.2
Ryan Tannehill,MIA,vs DAL,L  14-24,13,24,188,2,1,3,0,90.3
Philip Rivers,,vs KC,L  3-33,19,30,178,0,1,3,0,65.7
Derek Carr,OAK,@ DET,L  13-18,13,25,169,0,0,1,0,73.6
Case Keenum,,@ BAL,L  13-16,12,26,136,1,0,1,2,75.2
Cecil Shorts,HOU,vs NYJ,W  24-17,1,1,21,1,0,0,0,158.3
Shaun Hill,MIN,vs GB,L  13-30,0,1,0,0,0,0,0,39.6
Bryan Walters,JAX,vs TEN,W  19-13,0,1,0,0,0,0,0,39.6
