Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Matt Bryant,ATL,@ TB,W  43-28,3,3,4,4,13
Josh Lambo,,vs TEN,W  43-35,3,3,4,5,13
Cairo Santos,KC,vs JAX,W  19-14,4,4,1,1,13
Sebastian Janikowski,OAK,vs DEN,W  30-20,3,4,3,3,12
Phil Dawson,SF,vs NO,L  23-41,3,3,2,2,11
Nick Folk,NYJ,@ MIA,L  23-27,3,3,2,2,11
Wil Lutz,NO,@ SF,W  41-23,2,3,5,5,11
Caleb Sturgis,PHI,@ NYG,L  23-28,3,4,2,2,11
Matt Prater,DET,@ MIN,W  22-16,3,3,1,1,10
Andrew Franks,MIA,vs NYJ,W  27-23,2,2,3,3,9
Mason Crosby,GB,vs IND,L  26-31,2,3,2,2,8
Brandon McManus,DEN,@ OAK,L  20-30,2,2,2,2,8
Graham Gano,CAR,@ LA,W  13-10,2,3,1,1,7
Stephen Hauschka,SEA,vs BUF,W  31-25,1,1,4,4,7
Justin Tucker,BAL,vs PIT,W  21-14,2,2,1,1,7
Adam Vinatieri,IND,@ GB,W  31-26,1,1,4,4,7
Dan Bailey,DAL,@ CLE,W  35-10,0,0,5,5,5
Dan Carpenter,BUF,@ SEA,L  25-31,1,2,2,2,5
Ryan Succop,TEN,@,L  35-43,0,0,5,5,5
Robbie Gould,NYG,vs PHI,W  28-23,0,0,4,4,4
Cody Parkey,CLE,vs DAL,L  10-35,1,2,1,1,4
Blair Walsh,MIN,vs DET,L  16-22,1,2,1,2,4
Greg Zuerlein,LA,vs CAR,L  10-13,1,3,1,1,4
Roberto Aguayo,TB,vs ATL,L  28-43,0,0,2,2,2
Chris Boswell,PIT,@ BAL,L  14-21,0,0,2,2,2
Jason Myers,JAX,@ KC,L  14-19,0,1,2,2,2
