Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Graham Gano,CAR,@ DAL,W  33-14,4,5,3,3,15
Jason Myers,JAX,vs,L  25-31,4,4,1,2,13
Adam Vinatieri,IND,vs TB,W  25-12,4,4,1,2,13
Cairo Santos,KC,vs BUF,W  30-22,3,4,3,3,12
Chris Boswell,PIT,@ SEA,L  30-39,3,3,1,1,10
Travis Coons,CLE,vs BAL,L  27-33,2,3,3,3,9
Matt Prater,DET,vs PHI,W  45-14,1,1,6,6,9
Justin Tucker,BAL,@ CLE,W  33-27,2,2,3,3,9
Randy Bullock,NYJ,vs MIA,W  38-20,1,1,5,5,8
Dustin Hopkins,WAS,vs NYG,W  20-14,2,3,2,2,8
Blair Walsh,MIN,@ ATL,W  20-10,2,3,2,2,8
Chandler Catanzaro,ARI,@ SF,W  19-13,2,2,1,2,7
Mason Crosby,GB,vs CHI,L  13-17,2,2,1,1,7
Phil Dawson,SF,vs ARI,L  13-19,2,2,1,1,7
Josh Lambo,,@ JAX,W  31-25,1,1,4,4,7
Mike Nugent,CIN,vs,W  31-7,1,1,4,4,7
Dan Bailey,DAL,vs CAR,L  14-33,2,2,0,0,6
Connor Barth,TB,@ IND,L  12-25,2,3,0,1,6
Kai Forbath,NO,@ HOU,L  6-24,2,2,0,0,6
Stephen Gostkowski,NE,@ DEN,L  24-30,1,1,3,3,6
Sebastian Janikowski,OAK,@ TEN,W  24-21,1,1,3,3,6
Brandon McManus,DEN,vs NE,W  30-24,1,2,3,3,6
Nick Novak,HOU,vs NO,W  24-6,1,1,3,3,6
Robbie Gould,CHI,@ GB,W  17-13,1,1,2,2,5
Dan Carpenter,BUF,@ KC,L  22-30,1,1,1,2,4
Shayne Graham,ATL,vs MIN,L  10-20,1,1,1,1,4
Stephen Hauschka,SEA,vs PIT,W  39-30,0,0,3,4,3
Josh Brown,NYG,@ WAS,L  14-20,0,0,2,2,2
Andrew Franks,MIA,@ NYJ,L  20-38,0,0,2,3,2
Caleb Sturgis,PHI,@ DET,L  14-45,0,1,2,2,2
Zach Hocker,,@ CIN,L  7-31,0,0,1,1,1
Ryan Succop,TEN,vs OAK,L  21-24,0,0,1,2,1
