Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Nick Novak,LAC,vs BUF,W  54-24,4,5,6,6,18
Chris Boswell,PIT,vs TEN,W  40-17,4,4,4,4,16
Stephen Gostkowski,NE,@ OAK,W  33-8,4,4,3,3,15
Wil Lutz,NO,vs WAS,W  34-31,4,4,2,2,14
Patrick Murray,TB,@ MIA,W  30-20,3,4,3,3,12
Justin Tucker,BAL,@ GB,W  23-0,3,3,2,2,11
Blair Walsh,SEA,vs ATL,L  31-34,3,4,2,2,11
Matt Bryant,ATL,@ SEA,W  34-31,2,2,4,4,10
Harrison Butker,KC,@ NYG,L  9-12,3,3,0,0,9
Mike Nugent,DAL,vs PHI,L  9-37,3,3,0,0,9
Matt Prater,DET,@ CHI,W  27-24,2,2,3,3,9
Cody Parkey,MIA,vs TB,L  20-30,2,2,2,2,8
Ka'imi Fairbairn,HOU,vs ARI,W  31-21,1,1,4,4,7
Josh Lambo,JAX,@ CLE,W  19-7,2,3,1,1,7
Nick Rose,WAS,@ NO,L  31-34,1,1,4,4,7
Connor Barth,CHI,vs DET,L  24-27,1,2,3,3,6
Kai Forbath,MIN,vs LA,W  24-7,1,3,3,3,6
Stephen Hauschka,BUF,@ LAC,L  24-54,1,1,3,3,6
Aldrick Rosas,NYG,vs KC,W  12-9,2,2,0,1,6
Brandon McManus,DEN,vs CIN,L  17-20,1,2,2,2,5
Ryan Succop,TEN,@ PIT,L  17-40,1,2,2,2,5
Phil Dawson,ARI,@ HOU,L  21-31,0,0,3,3,3
Randy Bullock,CIN,@ DEN,W  20-17,0,0,2,3,2
Jake Elliott,PHI,@ DAL,W  37-9,0,1,1,1,1
Zane Gonzalez,CLE,vs JAX,L  7-19,0,0,1,1,1
Greg Zuerlein,LA,@ MIN,L  7-24,0,0,1,1,1
