Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Keelan Cole,JAX,vs HOU,W  45-7,7,186,26.6,1,0
Rob Gronkowski,NE,@ PIT,W  27-24,9,168,18.7,0,0
Sterling Shepard,NYG,vs PHI,L  29-34,11,139,12.6,1,0
Greg Olsen,CAR,vs GB,W  31-24,9,116,12.9,1,0
Marquise Goodwin,SF,vs TEN,W  25-23,10,114,11.4,0,0
Jerick McKinnon,MIN,vs CIN,W  34-7,7,114,16.3,0,0
JuJu Smith-Schuster,PIT,vs NE,L  24-27,6,114,19.0,0,0
Jarvis Landry,MIA,@ BUF,L  16-24,10,99,9.9,0,0
Rishard Matthews,TEN,@ SF,L  23-25,6,95,15.8,1,0
Michael Thomas,NO,vs NYJ,W  31-19,9,93,10.3,1,0
Melvin Gordon,LAC,@ KC,L  13-30,6,91,15.2,0,0
DeVante Parker,MIA,@ BUF,L  16-24,6,89,14.8,0,0
Mike Wallace,BAL,@ CLE,W  27-10,6,89,14.8,0,0
Tyreek Hill,KC,vs LAC,W  30-13,5,88,17.6,1,0
Evan Engram,NYG,vs PHI,L  29-34,8,87,10.9,0,0
Kendrick Bourne,SF,vs TEN,W  25-23,4,85,21.2,0,0
Marvin Jones,DET,vs CHI,W  20-10,3,85,28.3,0,0
Randall Cobb,GB,@ CAR,L  24-31,7,84,12.0,1,0
Kendall Wright,CHI,@ DET,L  10-20,7,81,11.6,0,0
DeAndre Hopkins,HOU,@ JAX,L  7-45,4,80,20.0,1,0
Mike Evans,TB,vs ATL,L  21-24,5,79,15.8,1,0
Mark Ingram,NO,vs NYJ,W  31-19,5,77,15.4,0,0
Richard Rodgers,GB,@ CAR,L  24-31,4,77,19.2,1,0
Roger Lewis,NYG,vs PHI,L  29-34,4,74,18.5,0,0
Benjamin Watson,BAL,@ CLE,W  27-10,4,74,18.5,1,0
Christian McCaffrey,CAR,vs GB,W  31-24,6,73,12.2,1,0
Josh Bellamy,CHI,@ DET,L  10-20,5,70,14.0,0,0
Tavarres King,NYG,vs PHI,L  29-34,2,70,35.0,2,0
Demaryius Thomas,DEN,@ IND,W  25-13,5,69,13.8,0,0
Charles Clay,BUF,vs MIA,W  24-16,5,68,13.6,0,0
Devonta Freeman,ATL,@ TB,W  24-21,5,68,13.6,0,0
Emmanuel Sanders,DEN,@ IND,W  25-13,7,68,9.7,0,0
Garrett Celek,SF,vs TEN,W  25-23,3,63,21.0,1,0
Eric Decker,TEN,@ SF,L  23-25,5,63,12.6,0,0
Jaydon Mickens,JAX,vs HOU,W  45-7,4,61,15.2,2,0
Brandin Cooks,NE,@ PIT,W  27-24,4,60,15.0,1,0
Larry Fitzgerald,ARI,@ WAS,L  15-20,5,60,12.0,0,0
Cody Latimer,DEN,@ IND,W  25-13,3,60,20.0,1,0
Nelson Agholor,PHI,@ NYG,W  34-29,7,59,8.4,1,0
Martavis Bryant,PIT,vs NE,L  24-27,4,59,14.8,1,0
Dez Bryant,DAL,@ OAK,W  20-17,2,59,29.5,0,0
Davante Adams,GB,@ CAR,L  24-31,5,57,11.4,1,0
Zach Ertz,PHI,@ NYG,W  34-29,6,56,9.3,1,0
Jamison Crowder,WAS,vs ARI,W  20-15,5,55,11.0,1,0
Keenan Allen,LAC,@ KC,L  13-30,5,54,10.8,0,0
Jeff Heuerman,DEN,@ IND,W  25-13,1,54,54.0,1,0
Julio Jones,ATL,@ TB,W  24-21,3,54,18.0,0,0
Brandon LaFell,CIN,@ MIN,L  7-34,2,53,26.5,0,0
George Kittle,SF,vs TEN,W  25-23,4,52,13.0,0,0
Seth Roberts,OAK,vs DAL,L  17-20,3,52,17.3,0,0
Kareem Hunt,KC,vs LAC,W  30-13,7,51,7.3,1,0
Cameron Brate,TB,vs ATL,L  21-24,4,49,12.2,0,0
Alshon Jeffery,PHI,@ NYG,W  34-29,4,49,12.2,1,0
Le'Veon Bell,PIT,vs NE,L  24-27,5,48,9.6,0,0
Elijah McGuire,NYJ,@ NO,L  19-31,3,48,16.0,1,0
Kapri Bibbs,WAS,vs ARI,W  20-15,4,47,11.8,1,0
Jack Doyle,IND,vs DEN,L  13-25,7,47,6.7,0,0
Josh Gordon,CLE,vs BAL,L  10-27,5,47,9.4,0,0
Jason Witten,DAL,@ OAK,W  20-17,4,47,11.8,0,0
Travis Kelce,KC,vs LAC,W  30-13,6,46,7.7,0,0
LeSean McCoy,BUF,vs MIA,W  24-16,4,46,11.5,1,0
J.J. Nelson,ARI,@ WAS,L  15-20,1,46,46.0,0,0
Alvin Kamara,NO,vs NYJ,W  31-19,6,45,7.5,1,0
Robert Woods,LA,@ SEA,W  42-7,6,45,7.5,1,0
Will Fuller,HOU,@ JAX,L  7-45,5,44,8.8,0,0
