Name,Team,Opp,Score,Comp,Att,Yds,TD,Int,Sck,FUM,Rate
Josh McCown,CLE,@ BAL,W  33-30,36,51,457,2,0,4,0,111.3
Eli Manning,NYG,vs SF,W  30-27,41,54,441,3,1,0,0,110.2
Philip Rivers,,vs PIT,L  20-24,35,48,365,2,1,2,0,99.7
Drew Brees,NO,@ PHI,L  17-39,26,43,335,2,1,5,2,90.7
Sam Bradford,PHI,vs NO,W  39-17,32,45,333,2,2,0,0,88.5
Andy Dalton,CIN,vs SEA,W  27-24,30,44,331,2,1,4,0,95.9
Brian Hoyer,HOU,vs IND,L  20-27,24,31,312,2,1,0,0,116.6
Blake Bortles,,@ TB,L  31-38,23,33,303,4,1,6,0,125.4
Tom Brady,NE,@ DAL,W  30-6,20,27,275,2,0,5,0,130.9
Peyton Manning,DEN,@ OAK,W  16-10,22,35,266,0,2,2,0,62.3
Colin Kaepernick,SF,@ NYG,L  27-30,23,35,262,2,0,2,0,107.1
Matt Ryan,ATL,vs WAS,W  25-19,24,42,254,0,2,3,1,55.1
Jay Cutler,CHI,@ KC,W  18-17,26,45,252,2,0,2,1,88.4
Derek Carr,OAK,vs DEN,L  10-16,26,39,249,1,1,4,1,82.1
Aaron Rodgers,GB,vs,W  24-10,19,30,241,2,2,2,1,82.8
Kirk Cousins,WAS,@ ATL,L  19-25,21,32,219,1,2,1,0,69.7
Matt Hasselbeck,IND,@ HOU,W  27-20,18,29,213,2,0,0,0,107.4
Russell Wilson,SEA,@ CIN,L  24-27,15,23,213,1,1,4,0,91.4
Joe Flacco,BAL,vs CLE,L  30-33,19,35,210,1,0,1,0,81.8
Jameis Winston,TB,vs,W  38-31,13,19,209,1,0,2,0,122.5
Michael Vick,PIT,@,W  24-20,13,26,203,1,1,3,0,73.1
Dan Orlovsky,DET,vs ARI,L  17-42,21,38,191,1,1,0,0,66.9
Matthew Stafford,DET,vs ARI,L  17-42,20,32,188,1,3,1,0,50.0
Marcus Mariota,TEN,vs BUF,L  13-14,21,32,187,0,1,2,0,68.1
Brandon Weeden,DAL,vs NE,L  6-30,26,39,187,0,1,3,0,66.9
Alex Smith,KC,vs CHI,L  17-18,16,30,181,1,0,3,0,82.8
Carson Palmer,ARI,@ DET,W  42-17,11,14,161,3,0,2,0,154.2
Nick Foles,,@ GB,L  10-24,11,30,141,1,4,3,0,23.8
Tyrod Taylor,BUF,@ TEN,W  14-13,10,17,109,1,0,4,0,97.4
Ryan Mallett,HOU,vs IND,L  20-27,7,10,50,0,1,1,0,41.7
Johnny Hekker,,@ GB,L  10-24,1,1,20,0,0,0,0,118.8
Drew Stanton,ARI,@ DET,W  42-17,1,4,10,0,0,0,0,39.6
Chris Hogan,BUF,@ TEN,W  14-13,1,1,4,0,0,0,0,83.3
