Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Stefon Diggs,MIN,vs TB,W  34-17,8,173,21.6,2,0
T.Y. Hilton,IND,vs CLE,W  31-28,7,153,21.9,1,0
Chris Thompson,WAS,vs OAK,W  27-10,6,150,25.0,1,0
Larry Fitzgerald,ARI,vs DAL,L  17-28,13,149,11.5,1,0
Pierre Garcon,SF,vs LA,L  39-41,7,142,20.3,0,0
Sterling Shepard,NYG,@ PHI,L  24-27,7,133,19.0,1,0
Brandin Cooks,NE,vs HOU,W  36-33,5,131,26.2,2,0
Geronimo Allison,GB,vs CIN,W  27-24,6,122,20.3,0,0
A.J. Green,CIN,@ GB,L  24-27,10,111,11.1,1,0
Antonio Brown,PIT,@ CHI,L  17-23,10,110,11.0,1,0
Robert Woods,LA,@ SF,W  41-39,6,108,18.0,0,0
Sammy Watkins,LA,@ SF,W  41-39,6,106,17.7,2,0
Doug Baldwin,SEA,@ TEN,L  27-33,10,105,10.5,1,0
Travis Benjamin,LAC,vs KC,L  10-24,5,105,21.0,0,0
Christian McCaffrey,CAR,vs NO,L  13-34,9,101,11.2,0,0
Adam Thielen,MIN,vs TB,W  34-17,5,98,19.6,0,0
Demaryius Thomas,DEN,@ BUF,L  16-26,6,98,16.3,0,0
Robby Anderson,NYJ,vs MIA,W  20-6,3,95,31.7,1,0
Julio Jones,ATL,@ DET,W  30-26,7,91,13.0,0,0
Brice Butler,DAL,@ ARI,W  28-17,2,90,45.0,1,0
Rob Gronkowski,NE,vs HOU,W  36-33,8,89,11.1,1,0
Rishard Matthews,TEN,vs SEA,W  33-27,6,87,14.5,1,0
Michael Thomas,NO,@ CAR,W  34-13,7,87,12.4,1,0
DeSean Jackson,TB,@ MIN,L  17-34,4,84,21.0,1,0
Duke Johnson,CLE,@ IND,L  28-31,6,81,13.5,0,0
Odell Beckham,NYG,@ PHI,L  24-27,9,79,8.8,2,0
Taylor Gabriel,ATL,@ DET,W  30-26,5,79,15.8,1,0
Tyreek Hill,KC,@ LAC,W  24-10,5,77,15.4,1,0
DeAndre Hopkins,HOU,@ NE,L  33-36,7,76,10.9,0,0
DeVante Parker,MIA,@ NYJ,L  6-20,8,76,9.5,1,0
Emmanuel Sanders,DEN,@ BUF,L  16-26,7,75,10.7,0,0
Dalvin Cook,MIN,vs TB,W  34-17,5,72,14.4,0,0
Jimmy Graham,SEA,@ TEN,L  27-33,7,72,10.3,0,0
Chris Hogan,NE,vs HOU,W  36-33,4,68,17.0,2,0
Adam Humphries,TB,@ MIN,L  17-34,6,68,11.3,0,0
Mike Evans,TB,@ MIN,L  17-34,7,67,9.6,0,0
Brandon Marshall,NYG,@ PHI,L  24-27,8,66,8.2,0,0
D'Onta Foreman,HOU,@ NE,L  33-36,2,65,32.5,0,0
Marqise Lee,JAX,vs BAL,W  44-7,4,65,16.2,0,0
