Name,Team,Opp,Score,No.,Yds,Gross Avg,Net Avg,Touchbacks,Inside 20,Long,Blocked
Johnny Hekker,,vs ARI,L  3-27,8,436,54.5,48.3,1,5,68,0
Sam Koch,BAL,@ MIA,L  13-15,5,267,53.4,46.4,1,2,67,0
Bryan Anger,JAX,@ TEN,L  39-42,3,160,53.3,43.0,1,0,58,0
Ryan Allen,NE,vs PHI,L  28-35,6,303,50.5,26.9,0,1,55,1
Dustin Colquitt,KC,@ OAK,W  34-20,5,250,50.0,45.8,0,2,55,0
Matt Bosher,ATL,@ TB,L  19-23,4,193,48.3,33.0,1,0,61,0
Bradley Pinion,SF,@ CHI,W  26-20,9,433,48.1,37.9,1,3,62,0
Mike Scifres,,vs DEN,L  3-17,4,192,48.0,42.8,0,2,51,0
Tim Masthay,GB,@ DET,W  27-23,6,286,47.7,44.3,1,1,62,0
Donnie Jones,PHI,@ NE,W  35-28,7,328,46.9,40.6,2,2,64,0
Matt Darr,MIA,vs BAL,W  15-13,9,412,45.8,38.3,1,2,59,0
Sam Martin,DET,vs GB,L  23-27,6,274,45.7,45.7,0,2,56,0
Colton Schmidt,BUF,vs HOU,W  30-21,6,272,45.3,45.3,0,2,64,0
Ryan Quigley,NYJ,@ NYG,W  23-20,5,224,44.8,25.6,0,1,55,0
Brett Kern,TEN,vs JAX,W  42-39,3,133,44.3,38.3,0,1,51,0
Drew Butler,ARI,@,W  27-3,6,261,43.5,33.0,1,2,57,0
Pat O'Donnell,CHI,vs SF,L  20-26,6,257,42.8,42.8,0,3,54,0
Pat McAfee,IND,@ PIT,L  10-45,5,211,42.2,27.4,0,2,55,0
Tress Way,WAS,vs DAL,L  16-19,6,253,42.2,33.7,1,1,53,0
Brad Wing,NYG,vs NYJ,L  20-23,5,211,42.2,42.4,0,4,49,0
Chris Jones,DAL,@ WAS,W  19-16,4,166,41.5,41.5,0,2,50,0
Thomas Morstead,NO,vs CAR,L  38-41,5,204,40.8,40.8,0,2,49,0
Shane Lechler,HOU,@ BUF,L  21-30,7,285,40.7,38.4,0,4,57,0
Jeff Locke,MIN,vs SEA,L  7-38,7,281,40.1,36.4,0,2,47,0
Andy Lee,CLE,vs CIN,L  3-37,3,119,39.7,33.7,0,1,45,0
Marquette King,OAK,vs KC,L  20-34,4,158,39.5,32.3,0,3,52,0
Jon Ryan,SEA,@ MIN,W  38-7,2,78,39.0,27.0,0,0,40,0
Brad Nortman,CAR,@ NO,W  41-38,3,114,38.0,35.7,0,1,45,0
Jacob Schum,TB,vs ATL,W  23-19,3,112,37.3,29.7,1,1,41,0
Jordan Berry,PIT,vs IND,W  45-10,1,37,37.0,37.0,0,0,37,0
Britton Colquitt,DEN,@,W  17-3,5,183,36.6,31.8,1,2,47,0
Kevin Huber,CIN,@ CLE,W  37-3,1,27,27.0,27.0,0,0,27,0
