Name,Team,Opp,Score,FG Made,FG Att,XP Made,XP Att,Pts
Giorgio Tavecchio,OAK,@ TEN,W  26-16,4,4,2,2,14
Greg Zuerlein,LA,vs IND,W  46-9,3,3,5,5,14
Dan Bailey,DAL,vs NYG,W  19-3,4,4,1,1,13
Wil Lutz,NO,@ MIN,L  19-29,4,4,1,1,13
Matt Bryant,ATL,@ CHI,W  23-17,3,3,2,2,11
Kai Forbath,MIN,vs NO,W  29-19,3,3,2,3,11
Graham Gano,CAR,@ SF,W  23-3,3,3,2,2,11
Jason Myers,JAX,@ HOU,W  29-7,3,4,2,3,11
Caleb Sturgis,PHI,@ WAS,W  30-17,3,3,1,2,10
Ryan Succop,TEN,vs OAK,L  16-26,3,4,1,1,10
Stephen Gostkowski,NE,vs KC,L  27-42,2,2,3,3,9
Blair Walsh,SEA,@ GB,L  9-17,3,3,0,0,9
Justin Tucker,BAL,@ CIN,W  20-0,2,2,2,2,8
Chandler Catanzaro,NYJ,@ BUF,L  12-21,2,2,0,0,6
Brandon McManus,DEN,vs LAC,W  24-21,1,2,3,3,6
Cairo Santos,KC,@ NE,W  42-27,0,0,6,6,6
Connor Barth,CHI,vs ATL,L  17-23,1,1,2,2,5
Mason Crosby,GB,vs SEA,W  17-9,1,1,2,2,5
Phil Dawson,ARI,@ DET,L  23-35,1,2,2,2,5
Dustin Hopkins,WAS,vs PHI,L  17-30,1,1,2,2,5
Matt Prater,DET,vs ARI,W  35-23,1,1,2,2,5
Zane Gonzalez,CLE,vs PIT,L  18-21,1,1,1,1,4
Chris Boswell,PIT,@ CLE,W  21-18,0,0,3,3,3
Robbie Gould,SF,vs CAR,L  3-23,1,1,0,0,3
Stephen Hauschka,BUF,vs NYJ,W  21-12,0,1,3,3,3
Younghoe Koo,LAC,@ DEN,L  21-24,0,1,3,3,3
Aldrick Rosas,NYG,@ DAL,L  3-19,1,1,0,0,3
Adam Vinatieri,IND,@ LA,L  9-46,1,2,0,1,3
Ka'imi Fairbairn,HOU,vs JAX,L  7-29,0,0,1,1,1
